group,sqrt_s_GeV,cos_lo,cos_hi,cos_ctr,obs_pb,stat_pb,sys1_frac,sys2_frac
0,189.0,-1.0,-0.8,-0.9,0.67,0.28500000000000003,0.0108,0.0021
0,189.0,-0.8,-0.6,-0.7,0.47,0.16,0.0108,0.0021
0,189.0,-0.6,-0.4,-0.5,0.54,0.18,0.0108,0.0021
0,189.0,-0.4,-0.2,-0.30000000000000004,0.62,0.13,0.0108,0.0021
0,189.0,-0.2,0.0,-0.1,1.27,0.19,0.0108,0.0021
0,189.0,0.0,0.2,0.1,1.35,0.2,0.0108,0.0021
0,189.0,0.2,0.4,0.30000000000000004,2.03,0.25,0.0108,0.0021
0,189.0,0.4,0.6,0.5,2.15,0.26,0.0108,0.0021
0,189.0,0.6,0.8,0.7,2.85,0.3,0.0108,0.0021
0,189.0,0.8,1.0,0.9,3.77,0.42,0.0108,0.0021
1,192.0,-1.0,-0.8,-0.9,1.3,1.05,0.0108,0.0032
1,192.0,-0.8,-0.6,-0.7,0.7,0.55,0.0108,0.0032
1,192.0,-0.6,-0.4,-0.5,0.4,0.44999999999999996,0.0108,0.0032
1,192.0,-0.4,-0.2,-0.30000000000000004,0.5,0.44999999999999996,0.0108,0.0032
1,192.0,-0.2,0.0,-0.1,1.9,0.7,0.0108,0.0032
1,192.0,0.0,0.2,0.1,0.8,0.5,0.0108,0.0032
1,192.0,0.2,0.4,0.30000000000000004,2.0,0.8,0.0108,0.0032
1,192.0,0.4,0.6,0.5,1.9,0.8,0.0108,0.0032
1,192.0,0.6,0.8,0.7,2.7,0.9,0.0108,0.0032
1,192.0,0.8,1.0,0.9,1.9,1.1,0.0108,0.0032
2,196.0,-1.0,-0.8,-0.9,0.19,0.29000000000000004,0.010700000000000001,0.0026
2,196.0,-0.8,-0.6,-0.7,0.28,0.21000000000000002,0.010700000000000001,0.0026
2,196.0,-0.6,-0.4,-0.5,0.79,0.33499999999999996,0.010700000000000001,0.0026
2,196.0,-0.4,-0.2,-0.30000000000000004,0.54,0.275,0.010700000000000001,0.0026
2,196.0,-0.2,0.0,-0.1,0.54,0.255,0.010700000000000001,0.0026
2,196.0,0.0,0.2,0.1,1.7,0.3,0.010700000000000001,0.0026
2,196.0,0.2,0.4,0.30000000000000004,1.6,0.3,0.010700000000000001,0.0026
2,196.0,0.4,0.6,0.5,2.2,0.4,0.010700000000000001,0.0026
2,196.0,0.6,0.8,0.7,3.0,0.5,0.010700000000000001,0.0026
2,196.0,0.8,1.0,0.9,3.9,0.6,0.010700000000000001,0.0026
