reaction,sqrt_s,sigma_tot,error,experiment
pp,13000.0,110.5,2.4,TOTEM
pp,13000.0,104.7,1.1,ATLAS
pp,8000.0,101.7,2.9,TOTEM
pp,8000.0,96.07,0.92,ATLAS
pp,7000.0,98.0,2.5,TOTEM
pp,7000.0,95.35,1.36,ATLAS
pp,2760.0,84.7,3.3,TOTEM
pp,2760.0,85.6,1.4,ALICE
p_pbar,1960.0,78.6,2.9,CDF_Tevatron
p_pbar,1800.0,80.03,2.24,E811
p_pbar,1800.0,71.71,2.02,CDF
p_pbar,1800.0,72.8,3.1,E710
p_pbar,900.0,65.3,2.3,UA5
p_pbar,546.0,61.26,0.93,UA4
p_pbar,546.0,61.9,1.5,UA5
pp,200.0,41.6,1.2,STAR_RHIC
pp,62.5,43.55,0.31,ISR
pp,62.3,44.0,0.9,ISR
pp,52.8,42.38,0.15,ISR
pp,44.7,41.8,0.25,ISR
pp,30.6,40.15,0.2,ISR
pp,23.5,39.1,0.25,ISR
