galaxy,n_points,v_flat_kms,env_scale,file
CamB_rotmod,9,15.080000000000002,0.25267377777777783,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\CamB_rotmod.dat
D512-2_rotmod,4,32.375,1.1646006944444443,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\D512-2_rotmod.dat
D564-8_rotmod,6,21.16,0.49749511111111117,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\D564-8_rotmod.dat
D631-7_rotmod,16,57.7,3.699211111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\D631-7_rotmod.dat
DDO064_rotmod,14,46.46,2.3983684444444444,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\DDO064_rotmod.dat
DDO154_rotmod,12,46.959999999999994,2.4502684444444434,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\DDO154_rotmod.dat
DDO161_rotmod,31,66.52000000000001,4.916567111111113,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\DDO161_rotmod.dat
DDO168_rotmod,10,53.36,3.163655111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\DDO168_rotmod.dat
DDO170_rotmod,8,59.08,3.878273777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\DDO170_rotmod.dat
ESO079-G014_rotmod,15,172.6,33.10084444444444,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\ESO079-G014_rotmod.dat
ESO116-G012_rotmod,15,110.0,13.444444444444443,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\ESO116-G012_rotmod.dat
ESO444-G084_rotmod,7,56.879999999999995,3.594816,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\ESO444-G084_rotmod.dat
ESO563-G021_rotmod,30,317.6,112.07751111111114,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\ESO563-G021_rotmod.dat
F561-1_rotmod,6,47.220000000000006,2.477476000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F561-1_rotmod.dat
F563-1_rotmod,17,110.6,13.59151111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F563-1_rotmod.dat
F563-V1_rotmod,6,27.140000000000004,0.8184217777777781,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F563-V1_rotmod.dat
F563-V2_rotmod,10,116.6,15.106177777777775,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F563-V2_rotmod.dat
F565-V2_rotmod,7,72.25999999999999,5.80167511111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\F565-V2_rotmod.dat
