target_label,target_mz_nominal,window_ppm,source,n_points,n_scans,rebuilt_mz_weighted,ppm_shift_from_nominal
T01,1359.8,30.0,ModeB_points,2072,322,1359.800168321732,0.12378418294039631
T01,1359.8,30.0,ALL,2072,322,1359.800168321732,0.12378418294039631
T02,1359.47,30.0,ModeB_points,2008,316,1359.4670907916216,-2.1399577618255456
T02,1359.47,30.0,ALL,2008,316,1359.4670907916216,-2.1399577618255456
T03,1359.59,30.0,ModeB_points,2060,323,1359.5760603878325,-10.252805748354547
T03,1359.59,30.0,ALL,2060,323,1359.5760603878325,-10.252805748354547
T04,1359.68,30.0,ModeB_points,1885,321,1359.692103898025,8.902019611130072
T04,1359.68,30.0,ALL,1885,321,1359.692103898025,8.902019611130072
T05,816.22,30.0,ModeB_points,3872,526,816.2167007237565,-4.042140897704318
T05,816.22,30.0,ALL,3872,526,816.2167007237565,-4.042140897704318
T06,874.45,30.0,ModeB_points,2061,318,874.4453328372649,-5.337255114793949
T06,874.45,30.0,ALL,2061,318,874.4453328372649,-5.337255114793949
T07,874.37,30.0,ModeB_points,1927,313,874.3724938549005,2.852173451211218
T07,874.37,30.0,ALL,1927,313,874.3724938549005,2.852173451211218
T08,816.28,30.0,ModeB_points,2103,325,816.2832467439532,3.9774880595397333
T08,816.28,30.0,ALL,2103,325,816.2832467439532,3.9774880595397333
T09,816.15,30.0,ModeB_points,2078,320,816.1508423429284,1.0320932774883451
T09,816.15,30.0,ALL,2078,320,816.1508423429284,1.0320932774883451
T10,1359.91,30.0,ModeB_points,1924,314,1359.9082147277895,-1.312787030431769
T10,1359.91,30.0,ALL,1924,314,1359.9082147277895,-1.312787030431769
T11,1529.53,30.0,ModeB_points,2175,335,1529.528504859221,-0.9775164783106086
T11,1529.53,30.0,ALL,2175,335,1529.528504859221,-0.9775164783106086
T12,816.35,30.0,ModeB_points,2101,314,816.3494625084064,-0.6584082729276657
T12,816.35,30.0,ALL,2101,314,816.3494625084064,-0.6584082729276657
