target_label,target_mz_nominal,window_ppm,source,n_points,n_scans,rebuilt_mz_weighted,ppm_shift_from_nominal
T01,1359.8,30.0,ModeA_A2_B3_points,2072,322,1359.800168321732,0.12378418294039631
T01,1359.8,30.0,ModeA_points,2079,314,1359.8014120746163,1.0384428712918055
T01,1359.8,30.0,ModeB_holdout_points,2126,326,1359.8011364458528,0.8357448542490148
T01,1359.8,30.0,ModeB_points,2072,322,1359.800168321732,0.12378418294039631
T01,1359.8,30.0,ALL,8349,339,1359.800869447395,0.6393935835871107
T02,1359.47,30.0,ModeA_A2_B3_points,2008,316,1359.4670907916216,-2.1399577618255456
T02,1359.47,30.0,ModeA_points,2069,320,1359.4683021868375,-1.248878726662947
T02,1359.47,30.0,ModeB_holdout_points,2097,330,1359.4680842760208,-1.4091697346828989
T02,1359.47,30.0,ModeB_points,2008,316,1359.4670907916216,-2.1399577618255456
T02,1359.47,30.0,ALL,8182,347,1359.4677308255318,-1.6691611202973378
T03,1359.59,30.0,ModeA_A2_B3_points,2060,323,1359.5760603878325,-10.252805748354547
T03,1359.59,30.0,ModeA_points,2066,314,1359.5761874211696,-10.159370714929793
T03,1359.59,30.0,ModeB_holdout_points,2165,335,1359.5822437305258,-5.704859166482033
T03,1359.59,30.0,ModeB_points,2060,323,1359.5760603878325,-10.252805748354547
T03,1359.59,30.0,ALL,8351,351,1359.5761916327867,-10.156273003763644
T04,1359.68,30.0,ModeA_A2_B3_points,1885,321,1359.692103898025,8.902019611130072
T04,1359.68,30.0,ModeA_points,1885,316,1359.693640591063,10.032206889117031
T04,1359.68,30.0,ModeB_holdout_points,1913,324,1359.6930508631303,9.598481356109225
T04,1359.68,30.0,ModeB_points,1885,321,1359.692103898025,8.902019611130072
T04,1359.68,30.0,ALL,7568,337,1359.692456956251,9.161682344995945
T05,816.22,30.0,ModeA_A2_B3_points,3872,526,816.2167007237565,-4.042140897704318
T05,816.22,30.0,ModeA_points,3957,528,816.2179591887738,-2.5003200439412896
T05,816.22,30.0,ModeB_holdout_points,3984,529,816.217195966588,-3.4353892480900043
T05,816.22,30.0,ModeB_points,3872,526,816.2167007237565,-4.042140897704318
T05,816.22,30.0,ALL,15685,529,816.2170287663264,-3.6402363010387306
T06,874.45,30.0,ModeA_A2_B3_points,2061,318,874.4453328372649,-5.337255114793949
T06,874.45,30.0,ModeA_points,2173,316,874.4459950022319,-4.580019175603496
T06,874.45,30.0,ModeB_holdout_points,2241,326,874.4457947743732,-4.808994941773061
T06,874.45,30.0,ModeB_points,2061,318,874.4453328372649,-5.337255114793949
T06,874.45,30.0,ALL,8536,336,874.445628282081,-4.999391525039466
T07,874.37,30.0,ModeA_A2_B3_points,1927,313,874.3724938549005,2.852173451211218
T07,874.37,30.0,ModeA_points,1973,315,874.3736148839217,4.1342725868083265
T07,874.37,30.0,ModeB_holdout_points,2030,327,874.3732439130789,3.710000433345575
T07,874.37,30.0,ModeB_points,1927,313,874.3724938549005,2.852173451211218
T07,874.37,30.0,ALL,7857,339,874.3731676781169,3.6228119868454742
T08,816.28,30.0,ModeA_A2_B3_points,2103,325,816.2832467439532,3.9774880595397333
T08,816.28,30.0,ModeA_points,2098,317,816.2846386253631,5.682639980276242
T08,816.28,30.0,ModeB_holdout_points,2200,330,816.2833460688211,4.099167958406443
T08,816.28,30.0,ModeB_points,2103,325,816.2832467439532,3.9774880595397333
T08,816.28,30.0,ALL,8504,351,816.2833460688211,4.099167958406443
T09,816.15,30.0,ModeA_A2_B3_points,2078,320,816.1508423429284,1.0320932774883451
T09,816.15,30.0,ModeA_points,2177,316,816.150905794617,1.1098384083602986
T09,816.15,30.0,ModeB_holdout_points,2207,323,816.1508878687215,1.0878744367091042
T09,816.15,30.0,ModeB_points,2078,320,816.1508423429284,1.0320932774883451
T09,816.15,30.0,ALL,8540,342,816.1508423429284,1.0320932774883451
T10,1359.91,30.0,ModeA_A2_B3_points,1924,314,1359.9082147277895,-1.312787030431769
T10,1359.91,30.0,ModeA_points,1974,315,1359.9123871042475,1.7553398735345664
T10,1359.91,30.0,ModeB_holdout_points,2013,323,1359.9094342305789,-0.41603445904542
T10,1359.91,30.0,ModeB_points,1924,314,1359.9082147277895,-1.312787030431769
T10,1359.91,30.0,ALL,7835,337,1359.9094342305789,-0.41603445904542
T11,1529.53,30.0,ModeA_A2_B3_points,2175,335,1529.528504859221,-0.9775164783106086
T11,1529.53,30.0,ModeA_points,2191,337,1529.5289822320071,-0.6654122461375103
T11,1529.53,30.0,ModeB_holdout_points,2312,353,1529.5301704526178,0.11144117329805946
T11,1529.53,30.0,ModeB_points,2175,335,1529.528504859221,-0.9775164783106086
T11,1529.53,30.0,ALL,8853,375,1529.5291052067305,-0.5850119118166642
T12,816.35,30.0,ModeA_A2_B3_points,2101,314,816.3494625084064,-0.6584082729276657
T12,816.35,30.0,ModeA_points,2197,308,816.3505774368784,0.7073398400391226
T12,816.35,30.0,ModeB_holdout_points,2264,323,816.3492004225496,-0.9794542174064179
T12,816.35,30.0,ModeB_points,2101,314,816.3494625084064,-0.6584082729276657
T12,816.35,30.0,ALL,8663,335,816.3496492904699,-0.42960682324116634
