scan,tic,g,drift_obs_ppm,width_obs_ppm,drift_state_ppm,alpha_eff
0,3283382.1299397945,0.01522264820171936,-4.208791674172012,0.0,-4.208791674172012,0.07842509584538684
1,2380487.9334179163,0.0,-7.4019407081210895,0.0,-4.448277851718193,0.075
2,2509873.474432647,0.0,-7.528600024802124,0.0,-4.679302014699488,0.075
3,2525324.9732123613,0.0,-7.286297536398337,0.0,-4.874826678826901,0.075
4,2530265.7412890196,0.0,-8.390266480200756,0.0,-5.13848466392994,0.075
5,2401881.2098402977,0.0,-6.883318281965353,0.0,-5.269347185282596,0.075
6,2462515.8906633854,0.0,-8.535709058155092,0.0,-5.514324325748033,0.075
7,2390783.260497451,0.0,-6.677498633816026,0.0,-5.601562398853133,0.075
8,2351516.6440737844,0.0,-8.099092189478071,0.0,-5.788877133150003,0.075
9,2513904.681209579,0.0,-8.505725049887838,0.0,-5.992640726905341,0.075
10,2397256.0959011912,0.0,-9.705630520957316,0.0,-6.271114961459239,0.075
11,2923717.602377236,0.005007651206608168,-9.558065823473553,0.0,-6.521339754386614,0.07612672152148683
12,3979136.5078048706,0.03498308698447094,-9.009569548367699,0.0,-6.7275423297822385,0.08287119457150596
13,5352533.394866943,0.07398956107161578,-4.341294795445141,0.0,-6.508848347980345,0.09164765124111354
14,5944532.884994507,0.09080320976180689,-4.618921245841848,0.0,-6.328491239724706,0.09543072219640655
15,5420561.153549194,0.0759216486067216,-11.252076320386768,0.0,-6.781866627459708,0.09208237093651235
16,5281090.863632202,0.07196048901707718,-10.83299371274086,0.0,-7.151293403234405,0.09119111002884235
17,4588534.853096008,0.05229088852987619,-10.131582959621806,0.0,-7.409879567483917,0.08676544991922215
18,3770235.6350193024,0.02904999760742772,-8.967535992205756,0.0,-7.536885030305611,0.08153624946167123
19,3789452.792415075,0.029595792897229415,-10.390862742443902,0.0,-7.769938148708878,0.08165905340187661
20,4006572.075941518,0.03576229712224655,-7.95576789863869,0.0,-7.785370662168121,0.08304651685250548
21,4677780.497927576,0.05482559496856623,-9.792470752096468,0.0,-7.960662271645898,0.0873357588679274
22,6470132.466704965,0.1057310042379251,-9.9318951849339,0.0,-8.155399338131977,0.09878947595353316
23,4969517.163305223,0.06311134163475109,-10.63178286132833,0.0,-8.376292876845703,0.08920005186781899
24,5196242.3015419245,0.0695506661394487,-10.966877897879948,0.0,-8.611126559051629,0.09064889988137596
25,4407854.425876617,0.04715930095400535,-9.881971009122502,16.343160621377137,-8.719924623381434,0.0856108427146512
26,3548658.1138662696,0.02275687293343905,-9.186417694603282,4.478016278347198,-8.75730018652095,0.08012029641002379
27,3556811.522005558,0.022988441612750245,-10.183740300268807,0.0,-8.871661312987559,0.0801723993628688
28,3383915.835397616,0.0180779520208607,-8.537113317356207,0.0,-8.845209426227125,0.07906753920469366
29,3149993.6343551874,0.011434220438733572,-8.23158911049933,0.0,-8.797609241807505,0.07757269959871506
30,3117129.5615745187,0.010500832853984184,-8.677686441043699,0.0,-8.788331691660824,0.07736268739214644
31,2675908.3499735594,0.0,-8.92839732326513,0.0,-8.798836614031147,0.075
32,2889038.8407482207,0.004022723812641156,-8.374834504300177,0.0,-8.766652686040054,0.07590511285784425
33,2737897.081685409,0.0,-9.203101039140588,0.0,-8.799386312522595,0.075
34,2743086.2245913744,0.0,-8.307419920781275,0.0,-8.762488833141996,0.075
35,2613870.2637119293,0.0,-8.990179041543707,0.0,-8.779565598772123,0.075
36,2627059.1747295856,0.0,-9.414706982404416,0.0,-8.827201202544545,0.075
37,2602167.789901376,0.0,-9.881755735653302,0.0,-8.906292792527703,0.075
38,2791512.1459926367,0.0012528234818443256,-8.919810554684888,0.0,-8.907310435147709,0.07528188528341496
39,2942203.378196666,0.005532674193243772,-10.094635695361434,0.0,-8.997837873524627,0.07624485169347985
40,2581726.5941339135,0.0,-8.871752136547766,17.41144734465027,-8.988381443251363,0.075
41,2600754.642994046,0.0,-9.352984006968148,0.0,-9.015726635530122,0.075
42,2445801.4730727673,0.0,-9.715216712753737,0.0,-9.068188391321893,0.075
43,2505110.0495746136,0.0,-9.566804503169207,0.0,-9.105584599710442,0.075
44,2716225.1262152195,0.0,-7.926938197313952,0.0,-9.017186119530704,0.075
45,2503655.107281685,0.0,-9.377211044394233,0.0,-9.04418798889547,0.075
46,2587481.240337208,0.0,-8.853631918217022,0.0,-9.029896283594585,0.075
47,2507139.2566640377,0.0,-9.166025363993844,19.19965214316158,-9.04010596462453,0.075
48,2531004.30876565,0.0,-9.818266564533975,0.0,-9.098468009617738,0.075
49,2557580.4500437975,0.0,-8.794553672159472,0.0,-9.075674434308368,0.075
50,2733562.565334618,0.0,-7.970583813251378,0.0,-8.992792637729094,0.075
51,2574523.3049901724,0.0,-8.663690705331128,9.964277257393523,-8.968109992799247,0.075
52,2535436.4180521965,0.0,-8.14121315491471,0.0,-8.906092729957907,0.075
53,2611260.7055161,0.0,-8.616171866916078,0.0,-8.88434866522977,0.075
54,2954800.7348273993,0.005890457489253973,-11.517266076181349,0.0,-9.08530701586957,0.07632535293508215
55,2598925.15540904,0.0,-7.974573560628772,0.0,-9.00200200672651,0.075
56,2690535.6353217363,0.0,-9.9826844220033,0.0,-9.07555318787227,0.075
57,2564435.408661008,0.0,-8.328550250176097,0.0,-9.019527967545057,0.075
