target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T07,874.37,30.0,ModeA_points,0,0.0,0.015284514264514616,0.007642257132257308,8,0,0.0,,,0.0
T07,874.37,30.0,ModeB_points,0,0.0,0.015284514264514616,0.007642257132257308,8,0,0.0,,,0.0
T07,874.37,30.0,ModeA_points,1,0.015881641808948754,0.06747199444471903,0.041676818126833895,8,0,0.0,,,0.0
T07,874.37,30.0,ModeB_points,1,0.015881641808948754,0.06747199444471903,0.041676818126833895,9,1,0.1111111111111111,2.502260898884408,0.0,0.0
T07,874.37,30.0,ModeA_points,2,0.07184444105402643,0.09579964422153776,0.08382204263778209,15,1,0.06666666666666667,2.881581492807649,0.0,0.0
T07,874.37,30.0,ModeB_points,2,0.07184444105402643,0.09579964422153776,0.08382204263778209,8,0,0.0,,,0.0
T07,874.37,30.0,ModeA_points,3,0.09595598973828504,0.11407207354758034,0.10501403164293269,10,1,0.1,2.30915633970382,0.0,0.0
T07,874.37,30.0,ModeB_points,3,0.09595598973828504,0.11407207354758034,0.10501403164293269,8,1,0.125,0.44055898922853953,0.0,0.0
T07,874.37,30.0,ModeA_points,4,0.11436362903002245,0.13421207697912105,0.12428785300457175,8,1,0.125,0.3046437404981764,0.0,0.0
T07,874.37,30.0,ModeB_points,4,0.11436362903002245,0.13421207697912105,0.12428785300457175,25,0,0.0,,,0.0
T07,874.37,30.0,ModeA_points,5,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,1,0.125,2.291083244699031,0.0,0.0
T07,874.37,30.0,ModeB_points,5,0.13424649944152856,0.14409152666373679,0.13916901305263268,29,0,0.0,,,0.0
T07,874.37,30.0,ModeA_points,6,0.14464668789571283,0.15640064420804714,0.15052366605188,8,1,0.125,1.5852076254372023,0.0,0.0
T07,874.37,30.0,ModeB_points,6,0.14464668789571283,0.15640064420804714,0.15052366605188,32,0,0.0,,,0.0
T07,874.37,30.0,ModeA_points,7,0.1564143250918949,1.0,0.5782071625459475,250,24,0.096,1.0812242541167714,1.035338501459726,0.0
T07,874.37,30.0,ModeB_points,7,0.1564143250918949,1.0,0.5782071625459475,194,35,0.18041237113402062,1.5923486746359503,0.9246887098902377,0.0
