target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T08,816.28,30.0,ModeA_points,0,0.0,0.008326960849381823,0.0041634804246909116,8,0,0.0,,,0.0
T08,816.28,30.0,ModeB_points,0,0.0,0.008326960849381823,0.0041634804246909116,14,1,0.07142857142857142,0.515636748202924,0.0,0.0
T08,816.28,30.0,ModeA_points,1,0.008967904875094142,0.038125797317494714,0.023546851096294428,8,0,0.0,,,0.0
T08,816.28,30.0,ModeB_points,1,0.008967904875094142,0.038125797317494714,0.023546851096294428,12,0,0.0,,,0.0
T08,816.28,30.0,ModeA_points,2,0.04010503661168713,0.0937040799210259,0.06690455826635652,19,0,0.0,,,0.0
T08,816.28,30.0,ModeB_points,2,0.04010503661168713,0.0937040799210259,0.06690455826635652,8,0,0.0,,,0.0
T08,816.28,30.0,ModeA_points,3,0.09392100290502718,0.11275504042990159,0.10333802166746439,11,0,0.0,,,0.0
T08,816.28,30.0,ModeB_points,3,0.09392100290502718,0.11275504042990159,0.10333802166746439,8,0,0.0,,,0.0
T08,816.28,30.0,ModeA_points,4,0.11344320897470704,0.13139155583165735,0.1224173824031822,8,1,0.125,1.6222668542757166,0.0,0.0
T08,816.28,30.0,ModeB_points,4,0.11344320897470704,0.13139155583165735,0.1224173824031822,23,2,0.08695652173913043,1.5447227456048087,0.3153482167989198,0.0
T08,816.28,30.0,ModeA_points,5,0.13295995114512651,0.14224850932456348,0.137604230234845,8,0,0.0,,,0.0
T08,816.28,30.0,ModeB_points,5,0.13295995114512651,0.14224850932456348,0.137604230234845,26,1,0.038461538461538464,2.0634520991190826,0.0,0.0
T08,816.28,30.0,ModeA_points,6,0.14284890977649484,0.15510687450173918,0.148977892139117,8,1,0.125,2.785360655728528,0.0,0.0
T08,816.28,30.0,ModeB_points,6,0.14284890977649484,0.15510687450173918,0.148977892139117,37,2,0.05405405405405406,2.8967803941613717,0.049435148349495694,0.0
T08,816.28,30.0,ModeA_points,7,0.1553933859759288,1.0,0.5776966929879644,247,22,0.08906882591093117,1.3641191698172102,1.222303124143927,0.0
T08,816.28,30.0,ModeB_points,7,0.1553933859759288,1.0,0.5776966929879644,197,22,0.1116751269035533,1.9510929759059343,0.629629690882705,0.0
