t_lo_GeV2,t_hi_GeV2,t_ctr_GeV2,dsdt_mb_per_GeV2,stat_plus,stat_minus,sys_alignment_vertical_distance_rel,sys_alignment_vertical_offset_rel,sys_alignment_rotation_rel,sys_alignment_horizontal_offset_rel,sys_beam_optics_rel,sys_beam_transport_rel,sys_crossing_angle_rel,sys_beam_energy_rel,sys_emittance_growth_rel,sys_emittance_model_rel,sys_simulation_model_rel,sys_simulation_rho_value_rel,sys_detector_resolution_rel,sys_halo_background_rel,sys_dpe_background_rel,sys_unfolding_rel,sys_reconstruction_efficiency_rel,sys_reco_eff_t_dependence_rel,sys_luminosity_rel,sys_tracking_rel,sys_sigma_abs,sys_sigma_rel
0.00025,0.00035,0.0003,3662.878,943.906,-943.906,-0.02947,-0.00441,0.00079,0.01307,0.01102,0.01007,0.00806,0.00026,0.00671,0.00174,0.00123,0.00245,-0.01028,-0.00171,2e-05,0.00221,0.00575,0.03194,0.0215,-0.01283,207.08687761331686,0.05653665713499517
0.00035,0.00045,0.0003999999999999,2136.439,42.345,-42.345,-0.02564,-0.00284,0.00063,0.00692,0.00763,0.00869,0.00596,0.00016,0.00384,0.0014,0.00128,0.00212,-0.00848,-0.00132,3e-05,0.00135,0.00576,0.02403,0.0215,-0.00651,97.82469100578692,0.04578866562807874
0.00045,0.00058,0.000515,1400.561,11.757,-11.757,-0.02118,-0.00158,0.00045,0.00206,0.00487,0.00714,0.00395,1e-05,0.00159,0.00112,0.00129,0.00173,-0.00642,-0.00096,5e-05,0.00066,0.00577,0.017,0.0215,-0.00144,52.09383015248268,0.03719497412285697
0.00058,0.00076,0.00067,998.272,5.698,-5.698,-0.01596,-0.0008,0.00026,-0.00095,0.00303,0.00547,0.00217,-0.00018,0.00023,0.0009,0.00118,0.00127,-0.00411,-0.00067,6e-05,0.00022,0.00577,0.01129,0.0215,0.00174,30.72782079384173,0.030781010379777984
0.00076,0.00098,0.00087,796.7,3.794,-3.794,-0.01061,-0.00039,0.00011,-0.00218,0.00204,0.00402,0.00077,-0.00036,-0.00033,0.00074,0.00086,0.00081,-0.002,-0.00046,6e-05,2e-05,0.00577,0.00699,0.0215,0.00329,21.079123770641154,0.02645804414540122
0.00098,0.00126,0.00112,680.087,2.802,-2.802,-0.00616,-0.00016,4e-05,-0.00184,0.00156,0.00306,-0.00015,-0.00047,-0.00022,0.00058,0.00036,0.00042,-0.00066,-0.00034,7e-05,-3e-05,0.00577,0.00392,0.0215,0.00383,16.38184045257806,0.024087860012877854
0.00126,0.00161,0.001435,610.609,2.305,-2.305,-0.00324,-0.0,2e-05,-0.00064,0.00133,0.00259,-0.00057,-0.00049,0.00026,0.00041,-0.0001,0.00017,-0.00016,-0.00026,7e-05,-2e-05,0.00577,0.00183,0.0215,0.00367,14.092816035650365,0.023079935008574005
0.00161,0.00203,0.00182,576.067,1.989,-1.989,-0.00175,0.00011,3e-05,0.00026,0.00124,0.00238,-0.0005,-0.00042,0.00057,0.00022,-0.00037,4e-05,-0.00012,-0.00021,6e-05,-1e-05,0.00577,0.00048,0.0215,0.00318,13.101329051130334,0.022742717515723578
0.00203,0.00252,0.002275,552.497,1.729,-1.729,-0.00114,0.00015,3e-05,0.00052,0.00122,0.00216,-9e-05,-0.00031,0.00063,5e-05,-0.00043,-5e-05,-0.00024,-0.00018,6e-05,0.0,0.00577,-0.00027,0.0215,0.003,12.51558516584068,0.02265276583554423
0.00252,0.00308,0.0028,537.226,1.558,-1.558,-0.00088,0.00013,1e-05,0.00037,0.00127,0.00181,0.00029,-0.0002,0.00065,-8e-05,-0.00033,-0.00014,-0.00043,-0.00015,6e-05,1e-05,0.00577,-0.00057,0.0215,0.00324,12.168795054591525,0.02265116553292567
0.00308,0.00371,0.003395,525.376,1.379,-1.379,-0.00074,5e-05,-2e-05,7e-05,0.00136,0.00133,0.00046,-0.00015,0.0007,-0.00016,-0.00014,-0.00022,-0.00054,-0.00012,6e-05,2e-05,0.00577,-0.00061,0.0215,0.00358,11.911480114802247,0.02267229586962908
0.00371,0.00442,0.004065,517.954,1.304,-1.304,-0.00064,-4e-05,-5e-05,-4e-05,0.00138,0.00076,0.00047,-0.00015,0.00072,-0.00018,7e-05,-0.00029,-0.00055,-0.0001,6e-05,2e-05,0.00577,-0.00048,0.0215,0.00375,11.742061732641544,0.02267008601659905
0.00442,0.00521,0.004815,504.771,1.155,-1.155,-0.0006,-8e-05,-6e-05,2e-05,0.00128,0.0002,0.00038,-0.00019,0.00067,-0.00016,0.00025,-0.00032,-0.00055,-8e-05,6e-05,2e-05,0.00577,-0.0002,0.0215,0.00359,11.417788359254168,0.022619739167373257
