t_lo_GeV2,t_ctr_GeV2,t_hi_GeV2,dsdt_mb_per_GeV2,err_stat,err_sys,err_tot
0.03763,0.038445,0.03926,291.005,0.238,23.23,23.231219167318795
0.03926,0.040080000000000005,0.0409,280.102,0.219,17.1,17.101402310921756
0.0409,0.04172,0.04254,270.253,0.208,13.45,13.45160823098859
0.04254,0.043365,0.04419,260.682,0.198,10.17,10.171927251017872
0.04419,0.04501,0.04583,251.98,0.191,8.04,8.042268398903383
0.04583,0.046655,0.04748,243.144,0.183,6.23,6.232687141193597
0.04748,0.048299999999999996,0.04912,234.997,0.177,5.1,5.103070546249581
0.04912,0.049945,0.05077,227.243,0.171,4.35,4.353359737030699
0.05077,0.051595,0.05242,219.549,0.165,3.65,3.653727548682304
0.05242,0.053250000000000006,0.05408,212.265,0.159,3.08,3.084101327777672
0.05408,0.054905,0.05573,205.123,0.154,2.55,2.5546459637296124
0.05573,0.05656,0.05739,198.39,0.149,2.27,2.274884832249756
0.05739,0.058215,0.05904,191.804,0.144,2.01,2.0151516071998152
0.05904,0.05987,0.0607,185.387,0.139,1.77,1.7754495205440228
0.0607,0.06153,0.06236,179.122,0.135,1.63,1.6355809365482346
0.06236,0.06319,0.06402,173.102,0.13,1.49,1.4956603892595404
0.06402,0.064855,0.06569,167.281,0.126,1.36,1.3658242932383362
0.06569,0.06652,0.06735,161.621,0.122,1.24,1.2459871588423372
0.06735,0.068185,0.06902,156.083,0.118,1.13,1.1361443570251095
0.06902,0.069855,0.07069,150.719,0.114,1.03,1.0362895348308792
0.07069,0.071525,0.07236,145.698,0.11,0.94,0.9464142856064673
0.07236,0.073195,0.07403,140.756,0.107,0.85,0.8567082350485491
0.07403,0.07486999999999999,0.07571,135.985,0.103,0.81,0.8165225042826438
0.07571,0.076545,0.07738,131.443,0.1,0.76,0.766550715869472
0.07738,0.07822000000000001,0.07906,126.963,0.097,0.72,0.7265046455460556
0.07906,0.0799,0.08074,122.778,0.094,0.67,0.6765618966510012
0.08074,0.08158,0.08242,118.598,0.091,0.63,0.6365382942133175
0.08242,0.08326,0.0841,114.65,0.088,0.6,0.6064189970639112
0.0841,0.08494499999999999,0.08579,110.811,0.085,0.56,0.5664141594275341
0.08579,0.08663000000000001,0.08747,107.055,0.082,0.53,0.5363058828690955
0.08747,0.088315,0.08916,103.514,0.08,0.49,0.4964876634922563
0.08916,0.090005,0.09085,100.023,0.077,0.46,0.46640004288164466
0.09085,0.091695,0.09254,96.617,0.075,0.43,0.43649169522454834
0.09254,0.093385,0.09423,93.343,0.072,0.41,0.416273948260037
0.09423,0.09508,0.09593,90.22,0.07,0.39,0.396232255123179
