t_lo,t_ctr,t_hi,dsdt_mb_per_GeV2,stat_err,sys_err,tot_err
0.0008,0.000879,0.000966,868.726,12.518,48.472,50.062312251832715
0.000966,0.001051,0.001144,784.894,7.252,42.786,43.39623601189393
0.001144,0.001236,0.001335,716.217,5.943,39.656,40.098847676710115
0.001335,0.001434,0.00154,696.283,5.279,37.685,38.05295081856334
0.00154,0.001646,0.001759,655.272,4.71,36.358,36.6618093388747
0.001759,0.001874,0.001995,643.657,4.346,35.415,35.680666207345396
0.001995,0.002118,0.002248,634.502,4.047,34.713,34.94811265290302
0.002248,0.00238,0.002519,617.09,3.764,34.166,34.37271086196141
0.002519,0.002661,0.002809,611.317,3.552,33.72,33.906564320202065
0.002809,0.00296,0.003117,606.121,3.374,33.341,33.511284024937034
0.003117,0.003279,0.003444,601.057,3.212,33.005,33.1609253338926
0.003444,0.003616,0.003791,594.143,3.064,32.695,32.838256972622645
0.003791,0.003972,0.004155,589.14,2.945,32.402,32.53555945423407
0.004155,0.004346,0.004538,581.891,2.827,32.117,32.241178917651254
0.004538,0.004738,0.00494,577.737,2.726,31.836,31.952495551990925
0.00494,0.00515,0.005361,575.008,2.636,31.553,31.662916874476362
0.005361,0.005581,0.005801,560.883,2.526,31.266,31.367872608769627
0.005801,0.00603,0.00626,563.968,2.468,30.974,31.072169219415628
0.00626,0.006498,0.006737,554.645,2.387,30.676,30.76872998679016
0.006737,0.006984,0.007232,551.682,2.323,30.372,30.460707690400103
0.007232,0.007488,0.007746,547.232,2.26,30.06,30.144837037210866
0.007746,0.008012,0.008279,543.798,2.202,29.739,29.82041121446852
0.008279,0.008556,0.008833,534.391,2.133,29.41,29.487247904814716
0.008833,0.00912,0.009407,527.706,2.076,29.073,29.147025663007195
0.009407,0.009703,0.009999,523.04,2.027,28.729,28.800419614998667
0.009999,0.010303,0.010608,514.667,1.976,28.377,28.445715055171313
0.010608,0.010922,0.011237,507.673,1.925,28.019,28.085049154309843
0.011237,0.011562,0.011887,501.645,1.877,27.653,27.716629268365228
0.011887,0.012221,0.012556,498.095,1.84,27.28,27.34198237143752
0.012556,0.012898,0.013242,487.164,1.791,26.902,26.961551976842877
0.013242,0.013594,0.013948,482.155,1.753,26.519,26.576876603543916
0.013948,0.014311,0.014674,475.608,1.712,26.13,26.186023829516383
0.014674,0.015047,0.015421,465.619,1.668,25.735,25.788998604055955
0.015421,0.015803,0.016186,460.386,1.635,25.335,25.387702731834562
0.016186,0.016577,0.016969,455.279,1.605,24.933,24.984605540212158
0.016969,0.01737,0.017771,447.96,1.57,24.527,24.577197338183215
0.017771,0.018183,0.018597,437.466,1.526,24.116,24.16423249350163
0.018597,0.01902,0.019443,430.342,1.493,23.702,23.748975830548993
0.019443,0.019874,0.020308,423.167,1.463,23.285,23.330914984200685
0.020308,0.020748,0.021189,414.878,1.432,22.868,22.91279223490668
0.021189,0.021638,0.022087,406.158,1.402,22.45,22.493734772153775
0.022087,0.022547,0.023007,400.652,1.374,22.03,22.072806255662194
0.023007,0.023475,0.023942,393.124,1.348,21.61,21.652002309255373
0.023942,0.024421,0.024899,384.736,1.317,21.189,21.22988954281204
0.024899,0.025389,0.025878,376.243,1.286,20.768,20.807777872709043
0.025878,0.026377,0.026875,372.189,1.266,20.346,20.38534944512848
0.026875,0.027385,0.027895,362.93,1.235,19.925,19.963237462896643
0.027895,0.028413,0.028932,357.126,1.214,19.505,19.54274343586386
0.028932,0.02946,0.029988,348.345,1.186,19.086,19.122813391339673
0.029988,0.030528,0.031067,339.83,1.158,18.668,18.703881629223382
0.031067,0.031615,0.032162,333.025,1.137,18.252,18.287380156818525
0.032162,0.03272,0.033279,323.442,1.109,17.838,17.872440376176947
0.033279,0.033846,0.034415,316.769,1.087,17.427,17.460867618763967
0.034415,0.034989,0.035568,309.514,1.066,17.019,17.05235224243271
0.035568,0.036154,0.036742,300.609,1.04,16.614,16.64651903552211
0.036742,0.037335,0.03793,295.114,1.024,16.213,16.245305321846065
0.03793,0.038533,0.039138,288.375,1.003,15.817,15.848769605240655
0.039138,0.039752,0.040369,280.807,0.979,15.423,15.454040571966932
0.040369,0.04099,0.041618,271.508,0.955,15.033,15.063303555329421
0.041618,0.042251,0.042887,266.133,0.938,14.647,14.67700422429591
0.042887,0.043531,0.044177,258.862,0.917,14.266,14.295441406266544
0.044177,0.04483,0.045487,253.719,0.9,13.889,13.918129220552595
0.045487,0.046149,0.046815,245.394,0.879,13.516,13.544552299725524
0.046815,0.047489,0.048165,238.906,0.86,13.148,13.176095931648343
0.048165,0.048844,0.049528,232.195,0.843,12.786,12.81375998682666
0.049528,0.050221,0.050917,226.191,0.824,12.43,12.457282047059865
0.050917,0.051619,0.052322,220.655,0.809,12.078,12.10506360991135
0.052322,0.053031,0.053748,212.493,0.787,11.732,11.758366935931196
0.053748,0.05447,0.055193,207.171,0.772,11.391,11.41713033121721
0.055193,0.055923,0.05666,200.154,0.752,11.056,11.081545018633458
0.05666,0.057401,0.058145,194.826,0.737,10.726,10.751290387669753
0.058145,0.058894,0.059649,189.25,0.722,10.403,10.428024405418315
0.059649,0.060411,0.061175,184.095,0.706,10.085,10.109681547902486
0.061175,0.061942,0.062717,177.115,0.689,9.773,9.797257269256534
0.062717,0.063496,0.064277,171.504,0.674,9.468,9.491959755498334
0.064277,0.065065,0.065859,165.886,0.658,9.169,9.19257988814892
0.065859,0.066659,0.067461,160.981,0.644,8.875,8.898334731847303
