target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T01,1359.8,30.0,ModeA_points,0,0.0,0.05713481158478438,0.02856740579239219,8,2,0.25,0.9230604611028067,2.001575846867355,0.0
T01,1359.8,30.0,ModeB_points,0,0.0,0.05713481158478438,0.02856740579239219,22,4,0.18181818181818182,2.8062025550123098,0.0935171194281641,0.0
T01,1359.8,30.0,ModeA_points,1,0.06107848660741087,0.09579964422153776,0.07843906541447432,20,8,0.4,1.0747847681533746,0.8756296595295464,0.0
T01,1359.8,30.0,ModeB_points,1,0.06107848660741087,0.09579964422153776,0.07843906541447432,8,4,0.5,1.6275792013779906,0.6160739416229029,0.0
T01,1359.8,30.0,ModeA_points,2,0.09595598973828504,0.11436362903002245,0.10515980938415374,10,2,0.2,0.26014776456217137,1.7766891264297682,0.0
T01,1359.8,30.0,ModeB_points,2,0.09595598973828504,0.11436362903002245,0.10515980938415374,8,5,0.625,0.8044076402636676,0.6530054523018683,0.0
T01,1359.8,30.0,ModeA_points,3,0.1143709157264579,0.13421207697912105,0.12429149635278947,8,3,0.375,-0.08221297362878524,1.384200232671713,0.0
T01,1359.8,30.0,ModeB_points,3,0.1143709157264579,0.13421207697912105,0.12429149635278947,25,8,0.32,1.5144802110555424,0.3441864086818506,0.0
T01,1359.8,30.0,ModeA_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,4,0.5,1.1300511504232782,0.13244615658793907,0.0
T01,1359.8,30.0,ModeB_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,11,0.36666666666666664,-0.0853422545856464,0.8740607848476326,0.0
T01,1359.8,30.0,ModeA_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,8,1,0.125,-1.0198238692219217,0.0,0.0
T01,1359.8,30.0,ModeB_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,32,15,0.46875,0.4905296125427679,0.49049679033839955,0.0
T01,1359.8,30.0,ModeA_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,8,1,0.125,0.9812217064678418,0.0,0.0
T01,1359.8,30.0,ModeB_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,14,6,0.42857142857142855,-0.05807918625907507,0.7045562348597649,0.0
T01,1359.8,30.0,ModeA_points,7,0.16177063886555873,1.0,0.5808853194327793,244,155,0.6352459016393442,1.2805995728072888,0.7090840746066078,0.0
T01,1359.8,30.0,ModeB_points,7,0.16177063886555873,1.0,0.5808853194327793,183,101,0.5519125683060109,0.5084163598479101,0.912132176212068,0.0
T02,1359.47,30.0,ModeA_points,0,0.0,0.015881641808948754,0.007940820904474377,8,4,0.5,1.321342118850982,0.15787312254025665,0.0
