scan,tic,g,drift_obs_ppm,width_obs_ppm,drift_state_ppm,alpha_eff
0,2880645.6178457737,0.003397355421792993,-9.032473327106523,17.33517359546758,-9.032473327106523,0.3
1,2596175.3161836863,0.0,-7.688683707316111,0.0,-8.6293364411694,0.3
2,2855348.542347729,0.002801929508247365,-8.74023510840197,0.0,-8.66260604133917,0.3
3,2803975.8152570873,0.0015927520694702928,-9.228445970905678,0.0,-8.832358020209123,0.3
4,2620419.252092123,0.0,-8.295492205920667,0.0,-8.671298275922586,0.3
5,2662311.3936886117,0.0,-8.714068659769348,0.0,-8.684129391076615,0.3
6,2633620.5623630285,0.0,-9.091362567507979,0.0,-8.806299344006025,0.3
7,2461958.867040634,0.0,-8.407436816184362,4.263738230466428,-8.686640585659525,0.3
8,2598727.669583082,0.0,-9.237822313251955,5.354245348805737,-8.851995103937254,0.3
9,2597908.6184910536,0.0,-7.562347522022745,0.0,-8.465100829362902,0.3
10,2597260.69211947,0.0,-8.551843108569187,0.0,-8.491123513124787,0.3
11,2687603.271432996,0.0,-9.525650307496031,0.0,-8.80148155143616,0.3
12,3277072.677307129,0.012728194634896144,-8.750741705616326,0.0,-8.78625959769021,0.3
13,4893106.5135650635,0.05076533546364169,-4.947468324326619,0.0,-7.634622215681132,0.3
14,8071211.216674805,0.1255694722635281,-11.851744453775058,0.0,-8.89975888710931,0.3
15,7421335.147323608,0.11027311706567963,-12.416382425599107,0.0,-9.95474594865625,0.3
16,7683311.632339478,0.11643934714749697,-9.507380072737647,0.08566297626632924,-9.820536185880668,0.3
17,4852418.952041626,0.04980765841943516,-10.647183687074374,0.0,-10.06853043623878,0.3
18,4074183.148300171,0.031490056274772533,-9.689066696076951,0.0,-9.954691314190232,0.3
19,3647910.180616379,0.021456723717317498,-9.666531248931031,0.0,-9.868243294612471,0.3
20,3751116.3504579663,0.02388592261685918,-10.444322315382069,0.0,-10.04106700084335,0.3
21,5334630.48274231,0.061157636056648014,-10.599121159207236,0.0,-10.208483248352517,0.3
22,4451947.91658783,0.04038163476100583,-10.496931778423276,0.0,-10.295017807373744,0.3
23,4817764.550613403,0.04899198592676416,-11.02018817797373,0.0,-10.51256891855374,0.3
24,3899220.691390991,0.027371905117363492,-9.751851466491447,0.0,-10.284353682935052,0.3
25,3318379.332498729,0.013700443498401101,-9.747832514625435,0.0,-10.123397332442167,0.3
26,3325331.2486428022,0.013864073125126027,-9.030135658881619,0.0,-9.795418830374002,0.3
27,3473326.231162876,0.017347481619281645,-8.927474840975227,0.0,-9.53503563355437,0.3
28,3043788.9446207285,0.007237315672983273,-9.101491367629787,0.0,-9.404972353776996,0.3
29,3201482.3669443876,0.010948999660108956,-9.434219469486258,0.0,-9.413746488489775,0.3
30,2756403.154446721,0.0004730180897461034,-9.41768568243399,0.0,-9.414928246673039,0.3
31,2705924.4064093083,0.0,-9.148541323958243,0.0,-9.3350121698586,0.3
32,2935678.8933162987,0.004692692439108636,-8.665313059070774,0.0,-9.134102436622253,0.3
33,2769672.06788826,0.0007853330412628053,-7.719266174785892,0.0,-8.709651558071345,0.3
34,3041847.085637361,0.00719160947428699,-8.954057907255256,8.956720424852172,-8.782973462826519,0.3
35,2831089.103697598,0.002230926807896682,-9.18406613051568,0.0,-8.903301263133267,0.3
36,2889342.837051928,0.00360206484330424,-8.56070938767941,0.0,-8.80052370049711,0.3
37,2857154.3510649204,0.0028444334453212516,-8.458370509163483,0.0,-8.697877743097022,0.3
38,2723825.2159287333,0.0,-9.974870568199435,14.862239444539108,-9.080975590627746,0.3
39,2545474.0607436784,0.0,-8.21201189718936,0.0,-8.82028648259623,0.3
40,2862985.4636929035,0.0029816823365526775,-9.185256932936017,0.0,-8.929777617698166,0.3
41,2767859.1517267227,0.0007426618138417405,-8.105536433341895,0.0,-8.682505262391285,0.3
42,2679296.6827405393,0.0,-9.155683239411584,0.0,-8.824458655497374,0.3
43,2786885.549370706,0.0011904926391688388,-8.705628227022437,0.0,-8.788809526954893,0.3
44,2680476.2604643703,0.0,-8.42094493255587,4.295986331043228,-8.678450148635186,0.3
45,2627652.2391246557,0.0,-9.558796186401183,0.0,-8.942553959964986,0.3
46,2783308.4773812294,0.0011062978729668217,-8.171884626328035,0.0,-8.711353159873902,0.3
47,2825498.0455645025,0.0020993281613716146,-7.410752671966368,0.0,-8.321173013501642,0.3
48,2425360.115262866,0.0,-8.354178389779623,0.0,-8.331074626385037,0.3
49,2907102.8168354034,0.004020087558536488,-9.57149992041228,0.0,-8.70320221459321,0.3
50,2671078.3648405075,0.0,-8.182619849107395,0.0,-8.547027504947465,0.3
51,2660206.8733072877,0.0,-8.470915247071819,0.0,-8.52419382758477,0.3
52,2700215.7075024843,0.0,-9.084736554238434,0.0,-8.692356645580869,0.3
53,2636572.8002103716,0.0,-9.723281134175354,0.0,-9.001633992159213,0.3
54,2713384.0869609118,0.0,-8.6591634021755,0.0,-8.8988928151641,0.3
55,2852728.024891913,0.0027402494930925583,-9.242098208068272,0.0,-9.001854433035351,0.3
56,2736584.612558216,6.542294549235088e-06,-8.492533597086503,0.0,-8.849058182250698,0.3
57,2531322.2510209084,0.0,-8.348051680292995,0.0,-8.698756231663387,0.3
58,2579943.933379799,0.0,-8.598137599829332,0.0,-8.66857064211317,0.3
59,2580512.6386906505,0.0,-8.870077677153324,4.064068435815898,-8.729022752625216,0.3
60,2796840.0488339663,0.0014247950958800634,-9.301218018307805,0.0,-8.900681332329993,0.3
61,2654852.860970199,0.0,-8.057591478490787,0.0,-8.64775437617823,0.3
62,2533883.8785345256,0.0,-10.290754087630962,0.0,-9.14065428961405,0.3
63,2822578.1928794384,0.0020306025906012964,-8.98754901114242,0.0,-9.094722706072561,0.3
64,3177041.7501209974,0.010373732507160362,-9.062502620681874,0.0,-9.085056680455356,0.3
65,3354192.321220398,0.014543386056249231,-10.353238221670209,0.0,-9.465511142819812,0.3
66,3846918.1666870117,0.026140842714319427,-12.195307203485392,0.0,-10.284449961019487,0.3
67,4062580.349647522,0.03121695723658634,-10.024480416660467,0.0,-10.20645909771178,0.3
68,3856987.294189453,0.02637784321037329,-10.207213429270745,0.0,-10.20668539717947,0.3
69,3803348.882118225,0.025115337569706776,-10.737530907141466,0.0,-10.365939050168068,0.3
70,3544703.034309387,0.019027501834375807,-10.161299373152577,0.0,-10.30454714706342,0.3
71,3480333.7457618713,0.017512419885845846,-10.661163126215694,0.0,-10.411531940809102,0.3
72,3354897.450396359,0.014559982922705068,-8.88789107320326,0.0,-9.954439680527349,0.3
73,3439012.5980730355,0.01653982990747934,-9.168098036114166,0.0,-9.718537187203394,0.3
74,3933978.68669948,0.028190015934606825,-9.325294741794446,0.0,-9.60056445358071,0.3
75,3694490.291046627,0.022553095699451586,-9.547884377690737,0.0,-9.584760430813718,0.3
76,3996195.2366111875,0.029654428137973945,-9.501730447526363,0.0,-9.559851435827511,0.3
77,4840186.129174173,0.049519730285937744,-9.901885983016012,0.0,-9.662461799984062,0.3
78,4589358.762235105,0.04361592080750677,-7.5179459908493325,0.0,-9.019107057243643,0.3
79,4101004.731034398,0.0321213650362735,-11.155126292135206,0.0,-9.659912827711112,0.3
