target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T12,816.35,30.0,ModeA_points,0,0.0,0.009073354318174024,0.004536677159087012,8,0,0.0,,,0.0
T12,816.35,30.0,ModeB_points,0,0.0,0.009073354318174024,0.004536677159087012,8,3,0.375,2.945052264136276,0.0029473670931783325,0.0
T12,816.35,30.0,ModeA_points,1,0.009706518236403875,0.0670506107371015,0.03837856448675269,8,0,0.0,,,0.0
T12,816.35,30.0,ModeB_points,1,0.009706518236403875,0.0670506107371015,0.03837856448675269,12,1,0.08333333333333333,0.7487620399512077,0.0,0.0
T12,816.35,30.0,ModeA_points,2,0.06747199444471903,0.09579964422153776,0.0816358193331284,16,9,0.5625,1.202143636395648,0.8901014130286384,0.0
T12,816.35,30.0,ModeB_points,2,0.06747199444471903,0.09579964422153776,0.0816358193331284,8,3,0.375,1.8842821441916913,0.30251007368985783,0.0
T12,816.35,30.0,ModeA_points,3,0.09595598973828504,0.11407207354758034,0.10501403164293269,10,6,0.6,-0.21894435326677036,1.6688281122756317,0.0
T12,816.35,30.0,ModeB_points,3,0.09595598973828504,0.11407207354758034,0.10501403164293269,8,4,0.5,2.2876776676997523,0.24516151893989524,0.0
T12,816.35,30.0,ModeA_points,4,0.11436362903002245,0.13421207697912105,0.12428785300457175,8,6,0.75,0.07664850107872972,1.9884569131043146,0.0
T12,816.35,30.0,ModeB_points,4,0.11436362903002245,0.13421207697912105,0.12428785300457175,26,12,0.46153846153846156,0.4474446572642372,1.0945877141845752,0.0
T12,816.35,30.0,ModeA_points,5,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,6,0.75,0.4834390937474352,0.804737395571242,0.0
T12,816.35,30.0,ModeB_points,5,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,16,0.5333333333333333,0.7875855515617313,0.8037390167995371,0.0
T12,816.35,30.0,ModeA_points,6,0.14464668789571283,0.15820180894333458,0.1514242484195237,8,3,0.375,0.3677553049773428,1.526182288871527,0.0
T12,816.35,30.0,ModeB_points,6,0.14464668789571283,0.15820180894333458,0.1514242484195237,36,14,0.3888888888888889,0.40262719566127814,0.9237315850433219,0.0
T12,816.35,30.0,ModeA_points,7,0.15887723277031496,1.0,0.5794386163851575,242,142,0.5867768595041323,0.7104248259998286,0.8954239335848619,0.0
T12,816.35,30.0,ModeB_points,7,0.15887723277031496,1.0,0.5794386163851575,186,102,0.5483870967741935,0.5292578940741937,1.0520735368424974,0.0
