t_lo_GeV2,t_ctr_GeV2,t_hi_GeV2,dsdt_mb_per_GeV2,stat_mb_per_GeV2,sys_mb_per_GeV2
0.0008,0.000879,0.000966,868.726,12.518,48.472
0.000966,0.001051,0.001144,784.894,7.252,42.786
0.001144,0.001236,0.001335,716.217,5.943,39.656
0.001335,0.001434,0.00154,696.283,5.279,37.685
0.00154,0.001646,0.001759,655.272,4.71,36.358
0.001759,0.001874,0.001995,643.657,4.346,35.415
0.001995,0.002118,0.002248,634.502,4.047,34.713
0.002248,0.00238,0.002519,617.09,3.764,34.166
0.002519,0.002661,0.002809,611.317,3.552,33.72
0.002809,0.00296,0.003117,606.121,3.374,33.341
0.003117,0.003279,0.003444,601.057,3.212,33.005
0.003444,0.003616,0.003791,594.143,3.064,32.695
0.003791,0.003972,0.004155,589.14,2.945,32.402
0.004155,0.004346,0.004538,581.891,2.827,32.117
0.004538,0.004738,0.00494,577.737,2.726,31.836
0.00494,0.00515,0.005361,575.008,2.636,31.553
0.005361,0.005581,0.005801,560.883,2.526,31.266
0.005801,0.00603,0.00626,563.968,2.468,30.974
0.00626,0.006498,0.006737,554.645,2.387,30.676
0.006737,0.006984,0.007232,551.682,2.323,30.372
0.007232,0.007488,0.007746,547.232,2.26,30.06
0.007746,0.008012,0.008279,543.798,2.202,29.739
0.008279,0.008556,0.008833,534.391,2.133,29.41
0.008833,0.00912,0.009407,527.706,2.076,29.073
0.009407,0.009703,0.009999,523.04,2.027,28.729
0.009999,0.010303,0.010608,514.667,1.976,28.377
0.010608,0.010922,0.011237,507.673,1.925,28.019
0.011237,0.011562,0.011887,501.645,1.877,27.653
0.011887,0.012221,0.012556,498.095,1.84,27.28
0.012556,0.012898,0.013242,487.164,1.791,26.902
0.013242,0.013594,0.013948,482.155,1.753,26.519
0.013948,0.014311,0.014674,475.608,1.712,26.13
0.014674,0.015047,0.015421,465.619,1.668,25.735
0.015421,0.015803,0.016186,460.386,1.635,25.335
0.016186,0.016577,0.016969,455.279,1.605,24.933
0.016969,0.01737,0.017771,447.96,1.57,24.527
0.017771,0.018183,0.018597,437.466,1.526,24.116
0.018597,0.01902,0.019443,430.342,1.493,23.702
0.019443,0.019874,0.020308,423.167,1.463,23.285
0.020308,0.020748,0.021189,414.878,1.432,22.868
0.021189,0.021638,0.022087,406.158,1.402,22.45
