galaxy,r_kpc,v_obs_kms,e_v_kms,v_gas_kms,v_disk_kms,v_bul_kms,ups_disk,ups_bulge,v_bar_kms,g_obs_mps2,g_bar_mps2,sigma_log10_gobs,env_scale
CamB_rotmod,0.16,1.99,1.5,1.86,3.75,0.0,0.5,0.7,3.2389581658304882,8.021131290080394e-13,2.124908088041714e-12,0.6547152993516359,0.25267377777777783
CamB_rotmod,0.41,4.84,1.5,4.24,9.47,0.0,0.5,0.7,7.925783872904939,1.851639007873364e-12,4.965352083982456e-12,0.2691907945681313,0.25267377777777783
CamB_rotmod,0.57,6.79,1.5,5.61,11.76,0.0,0.5,0.7,10.03099695942532,2.6212844287451225e-12,5.72087945272373e-12,0.19188268714429385,0.25267377777777783
CamB_rotmod,0.73,8.87,1.5,6.77,13.72,0.0,0.5,0.7,11.830135248592892,3.4928009325710326e-12,6.213066673893792e-12,0.14688652150053613,0.25267377777777783
CamB_rotmod,0.9,10.9,1.5,7.77,14.8,0.0,0.5,0.7,13.034297065818317,4.278188748654278e-12,6.11761546381825e-12,0.11953059134951885,0.25267377777777783
CamB_rotmod,1.06,12.9,1.5,8.44,15.24,0.0,0.5,0.7,13.68803857387902,5.087717750532423e-12,5.728303637175385e-12,0.10099871672168646,0.25267377777777783
CamB_rotmod,1.22,14.7,1.5,8.64,15.11,0.0,0.5,0.7,13.740656825639741,5.7401639070166624e-12,5.0153888545088644e-12,0.08863152691903098,0.25267377777777783
CamB_rotmod,1.47,16.8,1.5,8.08,15.9,0.0,0.5,0.7,13.84526633907777,6.222296235733182e-12,4.226051150235344e-12,0.0775525860541521,0.25267377777777783
CamB_rotmod,1.79,20.1,1.5,6.91,14.91,0.0,0.5,0.7,12.60563961090432,7.314565590661553e-12,2.8769094791518544e-12,0.06482007192585847,0.25267377777777783
D512-2_rotmod,0.96,22.9,2.71,4.08,14.85,0.0,0.5,0.7,11.265329555765334,1.770309444976583e-11,4.2841633728338964e-12,0.10278934899194868,1.1646006944444443
