coinc_idx,a_set,b_set,a_out,b_out,a_clickmask,b_clickmask,a_slot,b_slot
2840,0,1,-1,-1,32,32,6,6
7995,1,0,-1,-1,16,16,5,5
11304,0,0,1,1,512,512,10,10
12810,0,1,1,1,4096,4096,13,13
15823,0,0,1,1,16384,16384,15,15
16940,0,0,1,1,16384,16384,15,15
21068,0,0,1,1,512,512,10,10
24052,0,1,1,1,512,512,10,10
28057,1,0,-1,-1,8,8,4,4
35064,0,1,1,1,8192,8192,14,14
38603,1,0,-1,-1,16,16,5,5
45372,1,0,1,1,1024,1024,11,11
46720,1,0,-1,-1,64,64,7,7
47494,0,0,1,1,512,512,10,10
48940,0,1,-1,-1,4,4,3,3
52104,0,0,-1,-1,32,32,6,6
61139,0,0,1,1,512,512,10,10
61398,1,0,-1,-1,8,8,4,4
64177,0,1,1,1,1024,1024,11,11
67926,0,1,-1,-1,64,64,7,7
74337,1,0,1,1,8192,8192,14,14
75804,0,0,-1,-1,1,1,1,1
79829,0,0,-1,-1,32,32,6,6
82755,0,0,1,1,4096,4096,13,13
84551,1,1,1,1,512,512,10,10
89731,0,0,-1,-1,64,64,7,7
94255,0,1,1,1,4096,4096,13,13
94500,0,0,-1,-1,4,4,3,3
95940,1,0,-1,-1,1,1,1,1
98517,0,1,-1,-1,16,16,5,5
117987,1,0,-1,-1,1,1,1,1
123890,1,0,-1,-1,128,128,8,8
127266,0,1,-1,-1,4,4,3,3
130540,1,0,1,1,32768,32768,16,16
134854,1,0,1,1,256,256,9,9
138138,0,0,-1,-1,8,8,4,4
138885,0,0,1,1,512,512,10,10
142101,0,1,-1,-1,128,128,8,8
142609,1,0,1,1,16384,16384,15,15
145582,0,1,1,1,32768,32768,16,16
148794,1,0,-1,-1,128,128,8,8
149381,0,0,-1,-1,4,4,3,3
149395,0,1,1,1,8192,8192,14,14
152590,0,1,-1,-1,4,4,3,3
154874,1,0,1,1,1024,1024,11,11
156975,0,0,1,1,8192,8192,14,14
157213,1,0,1,1,256,256,9,9
162663,0,0,-1,-1,32,32,6,6
162820,0,0,-1,-1,2,2,2,2
164390,0,1,-1,-1,4,4,3,3
165210,1,1,-1,-1,4,4,3,3
179297,0,1,-1,-1,64,64,7,7
190046,0,1,-1,-1,8,8,4,4
190167,0,0,-1,-1,64,64,7,7
191397,0,1,-1,-1,4,4,3,3
193428,0,0,-1,-1,4,4,3,3
197225,0,1,1,1,4096,4096,13,13
202406,0,1,-1,-1,32,32,6,6
209141,0,0,-1,-1,16,16,5,5
212872,0,1,1,1,1024,1024,11,11
213387,0,0,1,1,16384,16384,15,15
219742,0,1,-1,-1,2,2,2,2
220079,1,0,-1,-1,2,2,2,2
224507,1,0,-1,-1,16,16,5,5
225891,0,0,1,1,8192,8192,14,14
229048,0,1,1,1,256,256,9,9
236036,1,0,1,1,8192,8192,14,14
238947,0,0,-1,-1,128,128,8,8
241659,0,0,1,1,512,512,10,10
244786,0,1,-1,-1,1,1,1,1
245261,0,0,1,1,256,256,9,9
251096,1,0,1,1,4096,4096,13,13
251796,0,0,1,1,256,256,9,9
255854,1,0,1,1,32768,32768,16,16
256060,0,1,1,1,16384,16384,15,15
257205,0,1,-1,-1,32,32,6,6
257919,0,0,1,1,256,256,9,9
260811,0,0,-1,-1,32,32,6,6
265195,0,1,-1,-1,1,1,1,1
265701,0,0,1,1,4096,4096,13,13
265814,1,0,1,1,256,256,9,9
268350,0,1,-1,-1,1,1,1,1
274177,0,1,1,1,8192,8192,14,14
274556,0,0,1,1,2048,2048,12,12
278973,1,0,1,1,16384,16384,15,15
279614,1,0,1,1,512,512,10,10
288750,0,0,-1,-1,4,4,3,3
296582,0,1,-1,-1,32,32,6,6
297864,0,0,-1,-1,1,1,1,1
302604,0,0,-1,-1,64,64,7,7
307270,0,1,1,1,256,256,9,9
312351,0,1,-1,-1,4,4,3,3
313985,0,0,-1,-1,4,4,3,3
314325,0,1,-1,-1,64,64,7,7
314471,0,1,-1,-1,2,2,2,2
316920,0,1,-1,-1,4,4,3,3
317209,0,0,-1,-1,16,16,5,5
317309,1,0,1,1,2048,2048,12,12
317515,0,0,-1,-1,16,16,5,5
323964,0,0,1,1,512,512,10,10
324588,1,0,-1,-1,4,4,3,3
329433,0,0,1,1,256,256,9,9
331750,0,0,-1,-1,2,2,2,2
332369,0,0,-1,-1,2,2,2,2
335015,0,1,1,1,16384,16384,15,15
336959,0,0,1,1,512,512,10,10
338619,0,1,1,1,16384,16384,15,15
340923,0,0,-1,-1,64,64,7,7
342210,0,0,1,1,256,256,9,9
344521,0,0,1,1,2048,2048,12,12
346748,1,0,1,1,16384,16384,15,15
347140,0,1,1,1,2048,2048,12,12
349771,0,0,-1,-1,4,4,3,3
360434,0,1,1,1,16384,16384,15,15
361849,0,1,-1,-1,16,16,5,5
361940,0,0,-1,-1,128,128,8,8
364526,1,0,-1,-1,128,128,8,8
365944,0,0,-1,-1,8,8,4,4
367051,1,0,1,1,2048,2048,12,12
370867,0,0,-1,-1,2,2,2,2
379510,0,0,-1,-1,4,4,3,3
383426,0,0,-1,-1,128,128,8,8
384117,0,1,1,1,2048,2048,12,12
385053,0,0,1,1,256,256,9,9
385847,0,1,-1,-1,16,16,5,5
389841,0,1,-1,-1,32,32,6,6
390716,0,1,-1,-1,64,64,7,7
393130,1,0,1,1,2048,2048,12,12
