bin_idx,gap_lo,gap_hi,N,c00,c01,c10,c11,f00,f01,f10,f11
0,1.0,1361.9583333333333,14934,4869,4923,5036,106,0.3260345520289273,0.32965046203294496,0.3372170885228338,0.00709789741529396
1,1361.9583333333333,2722.9166666666665,9172,3018,2988,3108,58,0.32904491931966856,0.32577409507195815,0.3388573920627998,0.006323593545573485
2,2722.9166666666665,4083.875,5501,1826,1799,1833,43,0.33193964733684783,0.3270314488274859,0.3332121432466824,0.00781676058898382
3,4083.875,5444.833333333333,3388,1140,1102,1125,21,0.3364817001180638,0.3252656434474616,0.3320543093270366,0.006198347107438017
4,5444.833333333333,6805.791666666666,2044,682,644,704,14,0.3336594911937378,0.3150684931506849,0.34442270058708413,0.00684931506849315
5,6805.791666666666,8166.75,1303,418,446,431,8,0.3207981580966999,0.34228702993092863,0.33077513430544897,0.0061396776669224865
6,8166.75,9527.708333333332,747,230,254,260,3,0.3078982597054886,0.34002677376171353,0.34805890227576974,0.004016064257028112
7,9527.708333333332,10888.666666666666,470,151,174,140,5,0.32127659574468087,0.3702127659574468,0.2978723404255319,0.010638297872340425
8,10888.666666666666,12249.625,316,99,107,105,5,0.31329113924050633,0.33860759493670883,0.3322784810126582,0.015822784810126583
9,12249.625,13610.583333333332,163,56,44,62,1,0.34355828220858897,0.26993865030674846,0.3803680981595092,0.006134969325153374
10,13610.583333333332,14971.541666666666,106,45,26,35,0,0.42452830188679247,0.24528301886792453,0.330188679245283,0.0
11,14971.541666666666,16332.5,77,23,31,23,0,0.2987012987012987,0.4025974025974026,0.2987012987012987,0.0
12,16332.5,17693.458333333332,40,12,16,11,1,0.3,0.4,0.275,0.025
13,17693.458333333332,19054.416666666664,28,14,8,6,0,0.5,0.2857142857142857,0.21428571428571427,0.0
14,19054.416666666664,20415.375,18,7,5,6,0,0.3888888888888889,0.2777777777777778,0.3333333333333333,0.0
15,20415.375,21776.333333333332,9,5,2,2,0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0
16,21776.333333333332,23137.291666666664,5,2,0,3,0,0.4,0.0,0.6,0.0
17,23137.291666666664,24498.25,3,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
18,24498.25,25859.208333333332,3,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
19,25859.208333333332,27220.166666666664,1,1,0,0,0,1.0,0.0,0.0,0.0
20,27220.166666666664,28581.125,0,0,0,0,0,nan,nan,nan,nan
21,28581.125,29942.083333333332,0,0,0,0,0,nan,nan,nan,nan
22,29942.083333333332,31303.041666666664,0,0,0,0,0,nan,nan,nan,nan
23,31303.041666666664,32664.0,1,0,1,0,0,0.0,1.0,0.0,0.0
