cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8780874625299728,1.8780874625299728,-0.0,1.0
-0.72,-0.63,-0.54,0,1.8,1.9495364420827446,1.9495364420827446,-0.0,1.0
-0.54,-0.45,-0.36,0,2.0,2.3654715730506584,2.3654715730506584,-0.0,1.0
-0.36,-0.27,-0.18,0,2.5,2.8196829430647017,2.8196829430647017,-0.0,1.0
-0.18,-0.09,0.0,0,3.9,4.123626819902767,4.123626819902767,-0.0,1.0
0.0,0.045,0.09,0,5.1,5.644469384668887,5.644469384668887,-0.0,1.0
0.09,0.135,0.18,0,6.2,7.053034981566367,7.053034981566367,-0.0,1.0
0.18,0.225,0.27,0,9.7,9.339402327255026,9.339402327255026,-0.0,1.0
0.27,0.315,0.36,0,10.0,13.110887747933432,13.110887747933432,-0.0,1.0
0.36,0.405,0.45,0,15.6,19.546399406222267,19.546399406222267,-0.0,1.0
0.45,0.495,0.54,0,28.8,29.554360042149654,29.554360042149654,-0.0,1.0
0.54,0.585,0.63,0,48.4,48.120887728791104,48.120887728791104,-0.0,1.0
0.63,0.675,0.72,0,87.1,89.30612094242395,89.30612094242395,-0.0,1.0
0.72,0.765,0.81,0,194.0,196.93890514013336,196.93890514013336,-0.0,1.0
0.81,0.855,0.9,0,606.0,575.8124297143189,575.8124297143189,-0.0,1.0
-0.9,-0.81,-0.72,1,2.2,1.9099167301375386,1.9099167301375386,-0.0,1.0
-0.72,-0.63,-0.54,1,1.3,1.9525264209673798,1.9525264209673798,-0.0,1.0
-0.54,-0.45,-0.36,1,2.8,2.260820066383281,2.260820066383281,-0.0,1.0
-0.36,-0.27,-0.18,1,3.8,2.7420589275202993,2.7420589275202993,-0.0,1.0
-0.18,-0.09,0.0,1,2.2,3.869962508310185,3.869962508310185,-0.0,1.0
0.0,0.045,0.09,1,5.0,5.624479189538895,5.624479189538895,-0.0,1.0
0.09,0.135,0.18,1,8.2,6.9077828192376085,6.9077828192376085,-0.0,1.0
0.18,0.225,0.27,1,8.9,9.544570745884183,9.544570745884183,-0.0,1.0
0.27,0.315,0.36,1,10.8,13.098720251573205,13.098720251573205,-0.0,1.0
0.36,0.405,0.45,1,14.6,19.03901244373326,19.03901244373326,-0.0,1.0
0.45,0.495,0.54,1,24.5,27.941931374768075,27.941931374768075,-0.0,1.0
0.54,0.585,0.63,1,45.4,48.06373125605967,48.06373125605967,-0.0,1.0
0.63,0.675,0.72,1,84.4,88.60810530685343,88.60810530685343,-0.0,1.0
0.72,0.765,0.81,1,184.0,192.25993792904188,192.25993792904188,-0.0,1.0
0.81,0.855,0.9,1,606.0,566.0221200787927,566.0221200787927,-0.0,1.0
-0.9,-0.81,-0.72,2,0.8,1.7375179172450297,1.7375179172450297,-0.0,1.0
-0.72,-0.63,-0.54,2,1.7,1.6826991077846252,1.6826991077846252,-0.0,1.0
-0.54,-0.45,-0.36,2,2.3,2.204669510907616,2.204669510907616,-0.0,1.0
-0.36,-0.27,-0.18,2,2.3,2.6742045310684825,2.6742045310684825,-0.0,1.0
-0.18,-0.09,0.0,2,3.8,3.7086116313213537,3.7086116313213537,-0.0,1.0
0.0,0.045,0.09,2,5.7,5.000428793388303,5.000428793388303,-0.0,1.0
0.09,0.135,0.18,2,6.9,6.5067543403003185,6.5067543403003185,-0.0,1.0
0.18,0.225,0.27,2,7.2,8.69950671871654,8.69950671871654,-0.0,1.0
0.27,0.315,0.36,2,11.2,11.793194313482049,11.793194313482049,-0.0,1.0
0.36,0.405,0.45,2,14.2,17.389479731439966,17.389479731439966,-0.0,1.0
0.45,0.495,0.54,2,27.2,27.919458000834403,27.919458000834403,-0.0,1.0
0.54,0.585,0.63,2,43.8,44.6320446067633,44.6320446067633,-0.0,1.0
0.63,0.675,0.72,2,79.0,84.11588797724502,84.11588797724502,-0.0,1.0
0.72,0.765,0.81,2,173.0,183.70974763431045,183.70974763431045,-0.0,1.0
0.81,0.855,0.9,2,578.0,539.5886917982674,539.5886917982674,-0.0,1.0
-0.9,-0.81,-0.72,3,1.4,1.70952418594827,1.70952418594827,-0.0,1.0
-0.72,-0.63,-0.54,3,1.7,1.7118627963257658,1.7118627963257658,-0.0,1.0
-0.54,-0.45,-0.36,3,1.7,2.076686015214862,2.076686015214862,-0.0,1.0
-0.36,-0.27,-0.18,3,2.8,2.74085136242322,2.74085136242322,-0.0,1.0
-0.18,-0.09,0.0,3,2.8,3.571058046433666,3.571058046433666,-0.0,1.0
0.0,0.045,0.09,3,3.9,5.0934934021824,5.0934934021824,-0.0,1.0
0.09,0.135,0.18,3,6.4,6.178608617339715,6.178608617339715,-0.0,1.0
0.18,0.225,0.27,3,7.4,8.245940191044598,8.245940191044598,-0.0,1.0
0.27,0.315,0.36,3,11.9,12.184160066744862,12.184160066744862,-0.0,1.0
0.36,0.405,0.45,3,17.1,17.0952418594827,17.0952418594827,-0.0,1.0
0.45,0.495,0.54,3,25.1,27.015627080813157,27.015627080813157,-0.0,1.0
0.54,0.585,0.63,3,41.9,45.72918732152188,45.72918732152188,-0.0,1.0
0.63,0.675,0.72,3,77.3,82.12264201608689,82.12264201608689,-0.0,1.0
0.72,0.765,0.81,3,174.0,179.91865078213976,179.91865078213976,-0.0,1.0
0.81,0.855,0.9,3,565.0,528.2406348476384,528.2406348476384,-0.0,1.0
