cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8780874625299728,1.8602140318107696,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,0,1.8,1.9495364420827446,1.933068546902309,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,0,2.0,2.3654715730506584,2.348299828904152,-0.00725933227950859,0.9927406677204915
-0.36,-0.27,-0.18,0,2.5,2.8196829430647017,2.802981257982587,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,0,3.9,4.123626819902767,4.105503963054691,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,0,5.1,5.644469384668887,5.627065853920086,-0.003083289068069303,0.9969167109319308
0.09,0.135,0.18,0,6.2,7.053034981566367,7.038168177700021,-0.002107859085514585,0.9978921409144855
0.18,0.225,0.27,0,9.7,9.339402327255026,9.329767630195642,-0.0010316181616106396,0.9989683818383894
0.27,0.315,0.36,0,10.0,13.110887747933432,13.113110418348345,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,0,15.6,19.546399406222267,19.57629837416066,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,0,28.8,29.554360042149654,29.64595442068627,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,0,48.4,48.120887728791104,48.3594583006605,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,0,87.1,89.30612094242395,89.9528877099551,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,0,194.0,196.93890514013336,198.95167364351,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,0,606.0,575.8124297143189,584.1879962901662,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,1,2.2,1.9099167301375386,1.891740385831627,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,1,1.3,1.9525264209673798,1.9360332691886057,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,1,2.8,2.260820066383281,2.244408022297224,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,1,3.8,2.7420589275202993,2.725817028835666,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,1,2.2,3.869962508310185,3.8529544763983203,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,1,5.0,5.624479189538895,5.607137294340206,-0.003083289068069303,0.9969167109319307
0.09,0.135,0.18,1,8.2,6.9077828192376085,6.893222186461317,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,1,8.9,9.544570745884183,9.534724393357951,-0.0010316181616106396,0.9989683818383893
0.27,0.315,0.36,1,10.8,13.098720251573205,13.100940859249523,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,1,14.6,19.03901244373326,19.068135291926602,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,1,24.5,27.941931374768075,28.02852854133621,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,1,45.4,48.06373125605967,48.30201846132822,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,1,84.4,88.60810530685343,89.24981695261309,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,1,184.0,192.25993792904188,194.22488613086807,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,1,606.0,566.0221200787927,574.2552802286599,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,2,0.8,1.7375179172450297,1.7209822623637503,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,2,1.7,1.6826991077846252,1.6684852095834684,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,2,2.3,2.204669510907616,2.188665082361436,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,2,2.3,2.6742045310684825,2.6583645508916596,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,2,3.8,3.7086116313213537,3.692312717613849,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,2,5.7,5.000428793388303,4.98501102595399,-0.003083289068069303,0.9969167109319308
0.09,0.135,0.18,2,6.9,6.5067543403003185,6.493039019046905,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,2,7.2,8.69950671871654,8.690532149588458,-0.0010316181616106396,0.9989683818383893
0.27,0.315,0.36,2,11.2,11.793194313482049,11.79519359717678,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,2,14.2,17.389479731439966,17.41607938727173,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,2,27.2,27.919458000834403,28.005985518297766,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,2,43.8,44.6320446067633,44.85331842169264,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,2,79.0,84.11588797724502,84.72506638955262,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,2,173.0,183.70974763431045,185.58731059495807,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,2,578.0,539.5886917982674,547.4373605287652,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,3,1.4,1.70952418594827,1.6932549425237982,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,3,1.7,1.7118627963257658,1.6974025500412373,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,3,1.7,2.076686015214862,2.0616106613902083,-0.00725933227950859,0.9927406677204913
-0.36,-0.27,-0.18,3,2.8,2.74085136242322,2.72461661644773,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,3,2.8,3.571058046433666,3.5553636646192577,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,3,3.9,5.0934934021824,5.077788689657168,-0.003083289068069303,0.9969167109319307
0.09,0.135,0.18,3,6.4,6.178608617339715,6.1655849810298164,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,3,7.4,8.245940191044598,8.237433529383962,-0.0010316181616106396,0.9989683818383894
0.27,0.315,0.36,3,11.9,12.184160066744862,12.186225630315505,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,3,17.1,17.0952418594827,17.121391437092022,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,3,25.1,27.015627080813157,27.099353460599932,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,3,41.9,45.72918732152188,45.955900478434216,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,3,77.3,82.12264201608689,82.71738507689126,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,3,174.0,179.91865078213976,181.7574677147648,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,3,565.0,528.2406348476384,535.924238703549,0.014545650881490485,1.0145456508814905
