cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8475395835583455,1.8299568716737606,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,0,1.8,1.9178264155415445,1.9016263775716629,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,0,2.0,2.326996187443731,2.3101037489059273,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,0,2.5,2.773819619336919,2.7573895941560016,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,0,3.9,4.056554303030281,4.0387262220372495,-0.004394882863940505,0.9956051171360596
0.0,0.045,0.09,0,5.1,5.552659726672638,5.5355392716386795,-0.003083289068069303,0.9969167109319307
0.09,0.135,0.18,0,6.2,6.938314414341398,6.923689425264971,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,0,9.7,9.187493037803728,9.178015053126257,-0.0010316181616106396,0.9989683818383892
0.27,0.315,0.36,0,10.0,12.897633668916827,12.899820186666764,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,0,15.6,19.22846903540343,19.257881684109,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,0,28.8,29.073646001049944,29.163750558667225,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,0,48.4,47.33818134068383,47.572871462307404,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,0,87.1,87.85351949099865,88.48976632624147,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,0,194.0,193.73561138568735,195.7156413665693,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,0,606.0,566.4465994405913,574.6859339190617,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,1,2.2,1.8770322737756446,1.8591688851037222,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,1,1.3,1.918908321878252,1.9026991449562773,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,1,2.8,2.2218938463853433,2.2057643806646365,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,1,3.8,2.6948468602500735,2.678884610410911,-0.005923249322479465,0.9940767506775204
-0.18,-0.09,0.0,1,2.2,3.803330486495534,3.786615294514532,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,1,5.0,5.527638349544026,5.510595042648636,-0.003083289068069303,0.9969167109319306
0.09,0.135,0.18,1,8.2,6.788846386516638,6.774536454980656,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,1,8.9,9.3802347749838,9.370557954429755,-0.0010316181616106396,0.9989683818383893
0.27,0.315,0.36,1,10.8,12.87318984613061,12.875372219953546,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,1,14.6,18.711203611023357,18.73982502948658,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,1,24.5,27.46083436752084,27.545940526287357,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,1,45.4,47.23618225973988,47.47036669702928,0.004957734221653964,1.004957734221654
