group,sqrt_s_GeV,cos_lo,cos_hi,cos_ctr,obs_pb,stat_pb,sys1_frac,sys2_frac,pred0_pb,beta_sm,pred_sm,delta,beta_geo,pred_geo
0,189.0,-1.0,-0.8,-0.9,0.67,0.285,0.0108,0.0021,0.5012226383014349,1.0435366746108365,0.5230442052127494,-0.017886259964574935,1.0435366746108365,0.5136889005853497
0,189.0,-0.8,-0.6,-0.7,0.47,0.16,0.0108,0.0021,0.4819405121020361,1.0435366746108365,0.5029225993592024,-0.015608775697297378,1.0435366746108365,0.4950725933127028
0,189.0,-0.6,-0.4,-0.5,0.54,0.18,0.0108,0.0021,0.5514657835797475,1.0435366746108365,0.575474769958469,-0.013062545861842773,1.0435366746108365,0.5679576043835531
0,189.0,-0.4,-0.2,-0.3,0.62,0.13,0.0108,0.0021,0.709798452734569,1.0435366746108365,0.7407007170105492,-0.010172997407514983,1.0435366746108365,0.7331655705366564
0,189.0,-0.2,0.0,-0.1,1.27,0.19,0.0108,0.0021,0.9569385195665007,1.0435366746108365,0.998600440515443,-0.006828919645543219,1.0435366746108365,0.9917810783491591
0,189.0,0.0,0.2,0.1,1.35,0.2,0.0108,0.0021,1.2928859840755422,1.0435366746108365,1.3491739404731502,-0.002853413618031736,1.0435366746108365,1.3453241891783105
0,189.0,0.2,0.4,0.3,2.03,0.25,0.0108,0.0021,1.717640846261694,1.0435366746108365,1.7924212168836715,0.002061506906038235,1.0435366746108365,1.796116305600807
0,189.0,0.4,0.6,0.5,2.15,0.26,0.0108,0.0021,2.2312031061249558,1.0435366746108365,2.3283422697470058,0.008530600911812014,1.0435366746108365,2.34820442843632
0,189.0,0.6,0.8,0.7,2.85,0.3,0.0108,0.0021,2.833572763665328,1.0435366746108365,2.9569370990631545,0.018108396104573016,1.0435366746108365,3.010482487309297
0,189.0,0.8,1.0,0.9,3.77,0.42,0.0108,0.0021,3.5247498188828104,1.0435366746108365,3.6782057048321164,0.03771240827238165,1.0435366746108365,3.8169197000825483
1,192.0,-1.0,-0.8,-0.9,1.3,1.05,0.0108,0.0032,0.4930095173352768,0.8831267638180802,0.4353898995758167,-0.017918662306193878,0.8831267638180802,0.42758829499379
1,192.0,-0.8,-0.6,-0.7,0.7,0.55,0.0108,0.0032,0.4724046793226215,0.8831267638180802,0.4171932156627047,-0.015637236989889225,0.8831267638180802,0.41066946647881303
1,192.0,-0.6,-0.4,-0.5,0.4,0.4499999999999999,0.0108,0.0032,0.5375719482323486,0.8831267638180802,0.47474417496181454,-0.013086572255666257,0.8831267638180802,0.4685314010132201
1,192.0,-0.4,-0.2,-0.3,0.5,0.4499999999999999,0.0108,0.0032,0.6885113240644578,0.8831267638180802,0.6080427774731461,-0.010191953313327645,0.8831267638180802,0.6018456338726337
1,192.0,-0.2,0.0,-0.1,1.9,0.7,0.0108,0.0032,0.9252228068189495,0.8831267638180802,0.8170890231966996,-0.006841956323816539,0.8831267638180802,0.8114985357873179
1,192.0,0.0,0.2,0.1,0.8,0.5,0.0108,0.0032,1.2477063964958237,0.8831267638180802,1.1018829121324751,-0.0028593399236489236,0.8831267638180802,1.0987322543306282
1,192.0,0.2,0.4,0.3,2.0,0.8,0.0108,0.0032,1.6559620930950802,0.8831267638180802,1.4624244442804726,0.0020644854454550943,0.8831267638180802,1.4654435982607672
1,192.0,0.4,0.6,0.5,1.9,0.8,0.0108,0.0032,2.1499898966167192,0.8831267638180802,1.898713619640692,0.00854550171992599,0.8831267638180802,1.9149390801429786
1,192.0,0.6,0.8,0.7,2.7,0.9,0.0108,0.0032,2.7297898070607403,0.8831267638180802,2.410750438213133,0.01814139711248089,0.8831267638180802,2.454484819251845
1,192.0,0.8,1.0,0.9,1.9,1.1,0.0108,0.0032,3.3953618244271433,0.8831267638180802,2.9985348999977957,0.03778433683468041,0.8831267638180802,3.111832552669857
2,196.0,-1.0,-0.8,-0.9,0.19,0.29,0.0107,0.0026,0.48186208615346005,1.0698514763538152,0.5155208642702085,-0.017961086608083682,1.0698514763538152,0.5062615493787771
2,196.0,-0.8,-0.6,-0.7,0.28,0.21,0.0107,0.0026,0.4597977248188374,1.0698514763538152,0.49191527472155844,-0.015674501286397663,1.0698514763538152,0.4842047481151367
2,196.0,-0.6,-0.4,-0.5,0.79,0.3349999999999999,0.0107,0.0026,0.5197095075516567,1.0698514763538152,0.5560119839292541,-0.013118029950904692,1.0698514763538152,0.5487182020710082
2,196.0,-0.4,-0.2,-0.3,0.54,0.275,0.0107,0.0026,0.6615974343519178,1.0698514763538152,0.7078109918932955,-0.01021677223186443,1.0698514763538152,0.7005794482059117
2,196.0,-0.2,0.0,-0.1,0.54,0.255,0.0107,0.0026,0.8854615052196207,1.0698514763538152,0.9473122986136827,-0.006859025212682807,1.0698514763538152,0.940814659673207
2,196.0,0.0,0.2,0.1,1.7,0.3,0.0107,0.0026,1.1913017201547655,1.0698514763538152,1.2745159040904155,-0.002867099220473568,1.0698514763538152,1.2708617405353166
2,196.0,0.2,0.4,0.3,1.6,0.3,0.0107,0.0026,1.579118079157352,1.0698514763538152,1.6894218083234938,0.0020683852395233515,1.0698514763538152,1.692916183455159
2,196.0,0.4,0.6,0.5,2.2,0.4,0.0107,0.0026,2.0489105822273808,1.0698514763538152,2.1920300113129185,0.008565011309253995,1.0698514763538152,2.2108047731500378
2,196.0,0.6,0.8,0.7,3.0,0.5,0.0107,0.0026,2.6006792293648515,1.0698514763538152,2.782340513058689,0.018184605246696767,1.0698514763538152,2.832936276950553
2,196.0,0.8,1.0,0.9,3.9,0.6,0.0107,0.0026,3.2344240205697634,1.0698514763538152,3.460353313560804,0.03787851271493281,1.0698514763538152,3.591426350546677
