target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T05,816.22,30.0,ModeA_points,0,0.0,0.0,0.0,20,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,0,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,1,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,1,0.0,0.0,0.0,20,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,2,0.0,0.0,0.0,11,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,2,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,3,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,3,0.0,0.0,0.0,17,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,4,0.0,0.00021834508988351643,0.00010917254494175821,13,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,4,0.0,0.00021834508988351643,0.00010917254494175821,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,5,0.00023996203453704985,0.0007853330412628053,0.0005126475378999276,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,5,0.00023996203453704985,0.0007853330412628053,0.0005126475378999276,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,6,0.0008910316481330952,0.002436479479628855,0.0016637555638809752,20,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,6,0.0008910316481330952,0.002436479479628855,0.0016637555638809752,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,7,0.0027082085122655773,1.0,0.5013541042561328,440,162,0.36818181818181817,-1.816260387373546,0.6915827985778906,0.0
T05,816.22,30.0,ModeB_points,7,0.0027082085122655773,1.0,0.5013541042561328,449,106,0.23608017817371937,-1.7587376216864894,0.7599993528970845,0.0
