target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.02856740579239219,ModeA_points,ModeB_points,-0.06818181818181818,0.04672174655510894
T01,1359.8,1,0.07843906541447432,ModeA_points,ModeB_points,0.09999999999999998,0.7035782021749969
T01,1359.8,2,0.10515980938415374,ModeA_points,ModeB_points,0.425,0.36754063645004326
T01,1359.8,3,0.12429149635278947,ModeA_points,ModeB_points,-0.05499999999999999,0.2486536272411394
T01,1359.8,4,0.13916901305263268,ModeA_points,ModeB_points,-0.13333333333333336,6.599366922869449
T01,1359.8,5,0.15052366605188,ModeA_points,ModeB_points,0.34375,
T01,1359.8,6,0.15903123329390342,ModeA_points,ModeB_points,0.30357142857142855,
T01,1359.8,7,0.5808853194327793,ModeA_points,ModeB_points,-0.08333333333333337,1.2863526468537727
T02,1359.47,0,0.007940820904474377,ModeA_points,ModeB_points,-0.125,0.40425908472803523
T02,1359.47,1,0.03970340007685269,ModeA_points,ModeB_points,-0.3194444444444444,0.39011703549488747
T02,1359.47,2,0.08142512747931963,ModeA_points,ModeB_points,0.06944444444444442,0.5858793598847332
T02,1359.47,3,0.10515980938415374,ModeA_points,ModeB_points,0.35,4.107871990139546
T02,1359.47,4,0.12429149635278947,ModeA_points,ModeB_points,-0.27,0.8741876699367604
T02,1359.47,5,0.13916901305263268,ModeA_points,ModeB_points,-0.15000000000000002,1.0287186600569098
T02,1359.47,6,0.15052366605188,ModeA_points,ModeB_points,-0.09375,1.8446120071903633
T02,1359.47,7,0.5782071625459475,ModeA_points,ModeB_points,-0.05045351473922899,1.1362705855422952
T03,1359.59,0,0.024270520016971782,ModeA_points,ModeB_points,0.45454545454545453,
T03,1359.59,1,0.07286155329274938,ModeA_points,ModeB_points,0.40131578947368424,0.3045605166912103
T03,1359.59,2,0.10449188354485281,ModeA_points,ModeB_points,-0.26136363636363635,0.6293647982759975
