setting,scan,tic,g,drift_obs_ppm,drift_state_ppm,residual_ppm,width_obs_ppm
ModeA_points,0,3283382.1299397945,0.01522264820171936,-4.208791674172012,-4.208791674172012,0.0,0.0
ModeA_points,1,2380487.9334179163,0.0,-7.4019407081210895,-4.448277851718193,-2.9536628564028966,0.0
ModeA_points,2,2509873.474432647,0.0,-7.528600024802124,-4.679302014699488,-2.849298010102636,0.0
ModeA_points,3,2525324.9732123613,0.0,-7.286297536398337,-4.874826678826901,-2.4114708575714356,0.0
ModeA_points,4,2530265.7412890196,0.0,-8.390266480200756,-5.13848466392994,-3.2517818162708156,0.0
ModeA_points,5,2401881.2098402977,0.0,-6.883318281965353,-5.269347185282596,-1.6139710966827572,0.0
ModeA_points,6,2462515.8906633854,0.0,-8.535709058155092,-5.514324325748033,-3.021384732407059,0.0
ModeA_points,7,2390783.260497451,0.0,-6.677498633816026,-5.601562398853133,-1.0759362349628931,0.0
ModeA_points,8,2351516.6440737844,0.0,-8.099092189478071,-5.788877133150003,-2.310215056328068,0.0
ModeA_points,9,2513904.681209579,0.0,-8.505725049887838,-5.992640726905341,-2.513084322982497,0.0
ModeA_points,10,2397256.0959011912,0.0,-9.705630520957316,-6.271114961459239,-3.4345155594980765,0.0
ModeA_points,11,2923717.602377236,0.005007651206608168,-9.558065823473553,-6.521339754386614,-3.0367260690869395,0.0
ModeA_points,12,3979136.5078048706,0.03498308698447094,-9.009569548367699,-6.7275423297822385,-2.28202721858546,0.0
ModeA_points,13,5352533.394866943,0.07398956107161578,-4.341294795445141,-6.508848347980345,2.167553552535204,0.0
ModeA_points,14,5944532.884994507,0.09080320976180689,-4.618921245841848,-6.328491239724706,1.7095699938828588,0.0
ModeA_points,15,5420561.153549194,0.0759216486067216,-11.252076320386768,-6.781866627459708,-4.47020969292706,0.0
ModeA_points,16,5281090.863632202,0.07196048901707718,-10.83299371274086,-7.151293403234405,-3.6817003095064553,0.0
ModeA_points,17,4588534.853096008,0.05229088852987619,-10.131582959621806,-7.409879567483917,-2.721703392137889,0.0
ModeA_points,18,3770235.6350193024,0.02904999760742772,-8.967535992205756,-7.536885030305611,-1.4306509619001444,0.0
ModeA_points,19,3789452.792415075,0.029595792897229415,-10.390862742443902,-7.769938148708878,-2.6209245937350243,0.0
ModeA_points,20,4006572.075941518,0.03576229712224655,-7.95576789863869,-7.785370662168121,-0.1703972364705697,0.0
ModeA_points,21,4677780.497927576,0.05482559496856623,-9.792470752096468,-7.960662271645898,-1.8318084804505705,0.0
ModeA_points,22,6470132.466704965,0.1057310042379251,-9.9318951849339,-8.155399338131977,-1.7764958468019234,0.0
ModeA_points,23,4969517.163305223,0.06311134163475109,-10.63178286132833,-8.376292876845703,-2.2554899844826277,0.0
ModeA_points,24,5196242.3015419245,0.0695506661394487,-10.966877897879948,-8.611126559051629,-2.3557513388283198,0.0
ModeA_points,25,4407854.425876617,0.04715930095400535,-9.881971009122502,-8.719924623381434,-1.1620463857410677,16.343160621377137
ModeA_points,26,3548658.1138662696,0.02275687293343905,-9.186417694603282,-8.75730018652095,-0.4291175080823315,4.478016278347198
ModeA_points,27,3556811.522005558,0.022988441612750245,-10.183740300268807,-8.871661312987559,-1.3120789872812484,0.0
ModeA_points,28,3383915.835397616,0.0180779520208607,-8.537113317356207,-8.845209426227125,0.30809610887091843,0.0
ModeA_points,29,3149993.6343551874,0.011434220438733572,-8.23158911049933,-8.797609241807505,0.566020131308175,0.0
ModeA_points,30,3117129.5615745187,0.010500832853984184,-8.677686441043699,-8.788331691660824,0.11064525061712516,0.0
ModeA_points,31,2675908.3499735594,0.0,-8.92839732326513,-8.798836614031147,-0.12956070923398322,0.0
ModeA_points,32,2889038.8407482207,0.004022723812641156,-8.374834504300177,-8.766652686040054,0.39181818173987715,0.0
ModeA_points,33,2737897.081685409,0.0,-9.203101039140588,-8.799386312522595,-0.40371472661799324,0.0
ModeA_points,34,2743086.2245913744,0.0,-8.307419920781275,-8.762488833141996,0.455068912360721,0.0
ModeA_points,35,2613870.2637119293,0.0,-8.990179041543707,-8.779565598772123,-0.21061344277158334,0.0
ModeA_points,36,2627059.1747295856,0.0,-9.414706982404416,-8.827201202544545,-0.5875057798598711,0.0
ModeA_points,37,2602167.789901376,0.0,-9.881755735653302,-8.906292792527703,-0.9754629431255992,0.0
ModeA_points,38,2791512.1459926367,0.0012528234818443256,-8.919810554684888,-8.907310435147709,-0.012500119537179444,0.0
ModeA_points,39,2942203.378196666,0.005532674193243772,-10.094635695361434,-8.997837873524627,-1.096797821836807,0.0
ModeA_points,40,2581726.5941339135,0.0,-8.871752136547766,-8.988381443251363,0.11662930670359728,17.41144734465027
ModeA_points,41,2600754.642994046,0.0,-9.352984006968148,-9.015726635530122,-0.33725737143802625,0.0
ModeA_points,42,2445801.4730727673,0.0,-9.715216712753737,-9.068188391321893,-0.6470283214318435,0.0
ModeA_points,43,2505110.0495746136,0.0,-9.566804503169207,-9.105584599710442,-0.4612199034587654,0.0
ModeA_points,44,2716225.1262152195,0.0,-7.926938197313952,-9.017186119530704,1.0902479222167525,0.0
ModeA_points,45,2503655.107281685,0.0,-9.377211044394233,-9.04418798889547,-0.33302305549876365,0.0
ModeA_points,46,2587481.240337208,0.0,-8.853631918217022,-9.029896283594585,0.17626436537756263,0.0
ModeA_points,47,2507139.2566640377,0.0,-9.166025363993844,-9.04010596462453,-0.12591939936931418,19.19965214316158
ModeA_points,48,2531004.30876565,0.0,-9.818266564533975,-9.098468009617738,-0.7197985549162365,0.0
ModeA_points,49,2557580.4500437975,0.0,-8.794553672159472,-9.075674434308368,0.2811207621488965,0.0
ModeA_points,50,2733562.565334618,0.0,-7.970583813251378,-8.992792637729094,1.0222088244777163,0.0
ModeA_points,51,2574523.3049901724,0.0,-8.663690705331128,-8.968109992799247,0.30441928746811975,9.964277257393523
ModeA_points,52,2535436.4180521965,0.0,-8.14121315491471,-8.906092729957907,0.7648795750431958,0.0
ModeA_points,53,2611260.7055161,0.0,-8.616171866916078,-8.88434866522977,0.2681767983136911,0.0
ModeA_points,54,2954800.7348273993,0.005890457489253973,-11.517266076181349,-9.08530701586957,-2.4319590603117778,0.0
ModeA_points,55,2598925.15540904,0.0,-7.974573560628772,-9.00200200672651,1.0274284460977379,0.0
ModeA_points,56,2690535.6353217363,0.0,-9.9826844220033,-9.07555318787227,-0.9071312341310307,0.0
ModeA_points,57,2564435.408661008,0.0,-8.328550250176097,-9.019527967545057,0.6909777173689609,0.0
ModeA_points,58,2682699.087386906,0.0,-9.706626852752844,-9.071060383935642,-0.6355664688172027,0.0
ModeA_points,59,2851852.79189156,0.0029665858056346778,-7.547546426729342,-8.95577991929714,1.4082334925677973,0.0
ModeA_points,60,2922249.0178829804,0.004965941265687522,-4.345212531873008,-8.604835808699654,4.259623276826646,0.0
ModeA_points,61,2987734.656628251,0.0068258288880206,-8.870605189401022,-8.625176683923435,-0.24542850547758732,7.147863818783261
ModeA_points,62,3247268.3142748475,0.014196963180737501,-9.78200616310325,-8.71563417460444,-1.06637198849881,0.0
ModeA_points,63,3214509.453015715,0.013266563756604411,-7.762223733250061,-8.641282483411413,0.8790587501613514,0.0
ModeA_points,64,3269178.038082123,0.014819231282548305,-9.967125105478853,-8.745141472970124,-1.2219836325087297,5.194364344515471
ModeA_points,65,3233748.953124523,0.013812993612033326,-10.846829091401304,-8.909299928823236,-1.937529162578068,0.0
ModeA_points,66,3505608.9924468994,0.021534215116942104,-8.010070441886924,-8.837500772030497,0.8274303301435726,0.0
ModeA_points,67,4233696.8386154175,0.04221297154363685,-12.17958420546511,-9.1198998659343,-3.0596843395308095,0.0
ModeA_points,68,3919608.039904356,0.03329239170003936,-10.332376251405496,-9.219917998563876,-1.1124582528416198,0.0
ModeA_points,69,4261608.923187256,0.04300571544296128,-12.283473581655578,-9.479328507217033,-2.8041450744385443,0.0
ModeA_points,70,3889347.121116638,0.03243293748424357,-5.513107684254032,-9.152918802294838,3.6398111180408064,0.0
ModeA_points,71,3746405.6513442993,0.02837319132552002,-10.909506055571898,-9.295876843189488,-1.6136292123824099,0.0
ModeA_points,72,3716673.886604607,0.027528765856226323,-10.326545680795906,-9.379560940258768,-0.9469847405371379,0.0
ModeA_points,73,3832144.6466293335,0.03080830380418429,-10.0364741652133,-9.43338306812702,-0.6030910970862795,16.168068363388333
ModeA_points,74,4020065.4057964087,0.036145527364205225,-9.249062805093063,-9.418060018949436,0.16899721385637356,0.0
ModeA_points,75,4260896.807311118,0.04298549031377153,-9.764694514026575,-9.447410163169597,-0.31728435085697804,0.0
ModeA_points,76,4689627.631510228,0.05516207083614096,-12.764318009110275,-9.737345940364962,-3.0269720687453123,0.0
ModeA_points,77,5102414.388571829,0.0668858166044042,-8.735539866518149,-9.64713399592754,0.9115941294093908,0.0
ModeA_points,78,4665495.226771712,0.05447667535508156,-8.444318347467856,-9.542179607834605,1.0978612603667486,0.0
ModeA_points,79,5140934.102165222,0.06797983263449663,-11.25959022225968,-9.697253993296483,-1.562336228963197,0.0
ModeA_points,80,4772226.273013741,0.0575079926885869,-8.775450344176518,-9.616191227171857,0.8407408829953393,0.0
ModeA_points,81,4896607.81039381,0.06104060970588151,-11.986741473881054,-9.826539957964497,-2.1602015159165564,0.0
