A,alpha,chi2_geo_total,delta_total,pos_channels,exit_code,ok,evidence_dir
-0.0412,0.0,248.575,10.635,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0412__alpha_0
-0.041,0.0,248.575,10.635,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p041__alpha_0
-0.0414,0.0,248.576,10.634,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0414__alpha_0
-0.0408,0.0,248.576,10.634,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0408__alpha_0
-0.0416,0.0,248.577,10.633,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0416__alpha_0
-0.0418,0.0,248.578,10.632,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0418__alpha_0
-0.042,0.0,248.58,10.63,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p042__alpha_0
-0.0422,0.0,248.582,10.628,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0422__alpha_0
-0.0424,0.0,248.585,10.625,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0424__alpha_0
-0.0426,0.0,248.589,10.622,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0426__alpha_0
-0.0428,0.0,248.592,10.618,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0428__alpha_0
-0.043,0.0,248.597,10.614,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p043__alpha_0
-0.0432,0.0,248.601,10.609,3,0,True,logs\weak\2026-03-03_run29\grid_A_micro_alpha0\A_m0p0432__alpha_0
