channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega,trace_rho_sm,min_eig_rho_sm,purity_rho_sm,herm_err_rho_sm,Pe_sm,Pmu_sm,Ptau_sm,trace_rho_geo,min_eig_rho_geo,purity_rho_geo,herm_err_rho_geo,Pe_geo,Pmu_geo,Ptau_geo
T2K_app_FHC,0,0.0,0.06666666666666667,0.03333333333333333,17.0,16.985294117647058,18.997213024293448,0.0,0.007223553243907752,0.008079187726532662,0.04123174824409522,0.04147752510964454,-0.0018506615925228042,0.00026748078782891447,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999989,-2.839973841158765e-10,0.9999999997613742,0.0,0.007223553243907752,0.8287375911571266,0.16403885559896442,1.0000000000000004,-2.9035040877051886e-10,0.9999999997524288,0.0,0.008079187726532662,0.7978116293840724,0.19410918288939547
T2K_app_FHC,1,0.06666666666666667,0.13333333333333333,0.1,10.0,7.5,7.145474975618252,0.0,0.039313122142797474,0.03745479073130442,0.041218070437412824,0.041463765771409464,-0.0018500476726048998,0.0002673920564347101,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-1.3131732403083079e-12,0.9999999999996707,0.0,0.039313122142797474,0.3765650871306668,0.5841217907265353,1.0000000000000016,-1.4087086611601873e-12,0.9999999999996372,0.0,0.03745479073130442,0.41680662343556635,0.5457385858331307
T2K_app_FHC,2,0.13333333333333333,0.2,0.16666666666666669,10.0,7.5,7.697291772247574,0.0,0.042915602248141095,0.04404452161142213,0.04120439263073042,0.041450006433174376,-0.0018494337526869956,0.00026730332504050583,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000004,-1.0417091673606734e-13,0.9999999999999847,0.0,0.042915602248141095,0.05317993189268262,0.9039044658591767,1.0000000000000004,-1.169458746041841e-13,0.9999999999999812,0.0,0.04404452161142213,0.036315450339539895,0.9196400280490384
T2K_app_FHC,3,0.2,0.26666666666666666,0.23333333333333334,16.0,16.102941176470587,17.172377619666577,0.0,0.02790520578900872,0.02975846002987098,0.04119071482404802,0.0414362470949393,-0.0018488198327690911,0.0002672145936463015,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-1.9498750327182452e-14,0.9999999999999981,0.0,0.02790520578900872,0.33247975718964307,0.6396150370213485,1.0000000000000004,-2.2996962966698004e-14,0.9999999999999982,0.0,0.02975846002987098,0.29431893856184055,0.6759226014082889
T2K_app_FHC,4,0.26666666666666666,0.3333333333333333,0.3,22.0,20.073529411764703,22.09213943850904,0.0,0.018491771740812197,0.02035131896255757,0.041177037017365616,0.04142248775670422,-0.001848205912851187,0.00026712586225209725,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-5.4907657240717236e-15,0.9999999999999996,0.0,0.018491771740812197,0.541562240459139,0.43994598780004907,1.0000000000000009,-7.001023495861972e-15,1.0000000000000018,0.0,0.02035131896255757,0.5004600497539632,0.4791886312834802
T2K_app_FHC,5,0.3333333333333333,0.4,0.3666666666666667,22.0,20.073529411764703,22.735696138383798,0.0,0.012926807762214308,0.014641170832108702,0.041163359210683224,0.04140872841846915,-0.0018475919929332827,0.00026703713085789296,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0,-1.9166216983670178e-15,0.9999999999999994,0.0,0.012926807762214308,0.6731618563989723,0.3139113358388133,0.9999999999999996,-2.7345202709503522e-15,0.9999999999999994,0.0,0.014641170832108702,0.6340245376016372,0.3513342915662537
T2K_app_FHC,6,0.4,0.4666666666666667,0.43333333333333335,15.0,16.323529411764703,18.997390207109323,0.0,0.009476372498194751,0.01102864102210496,0.04114968140400082,0.041394969080234066,-0.0018469780730153778,0.00026694839946368856,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-8.190099726489967e-16,1.0,0.0,0.009476372498194751,0.7574476354798948,0.2330759920219106,1.0000000000000013,-1.2310785341868642e-15,1.0000000000000029,0.0,0.01102864102210496,0.7213585066884036,0.2676128522894927
T2K_app_FHC,7,0.4666666666666667,0.5333333333333333,0.5,6.0,10.588235294117649,12.648953979635145,0.0,0.00721872601601627,0.008623659243661892,0.041136003597318414,0.041381209741998985,-0.0018463641530974734,0.00026685966806948427,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999983,-3.713004635486574e-16,0.9999999999999964,0.0,0.00721872601601627,0.8136954075209398,0.17908586646304225,1.0000000000000002,-5.857985703575399e-16,1.0000000000000002,0.0,0.008623659243661892,0.7806534146218354,0.21072292613450297
T2K_app_FHC,8,0.5333333333333333,0.6,0.5666666666666667,9.0,5.514705882352942,6.7573643036763125,0.0,0.005670645249224727,0.006948442329180673,0.04112232579063602,0.04136745040376391,-0.0018457502331795691,0.0002667709366752799,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000016,-1.6326093282075333e-16,1.0000000000000029,0.0,0.005670645249224727,0.8527769543795561,0.1415524003712207,0.9999999999999981,-7.122545420690368e-16,0.9999999999999971,0.0,0.006948442329180673,0.8224896774818042,0.1705618801890132
T2K_app_FHC,9,0.6,0.6666666666666666,0.6333333333333333,9.0,5.514705882352942,6.926929543242403,0.0,0.004566829454008326,0.005736317863324132,0.04110864798395362,0.04135369106552883,-0.0018451363132616647,0.00026668220528107563,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-2.0879092713410538e-16,0.9999999999999993,0.0,0.004566829454008326,0.880906018191491,0.11452715235450028,0.9999999999999982,-2.4069921410211624e-16,0.9999999999999963,0.0,0.005736317863324132,0.8530317452180807,0.14123193691859331
T2K_app_FHC,10,0.6666666666666666,0.7333333333333333,0.7,1.0,2.647058823529412,3.4066411400022005,0.0,0.003753837846906565,0.0048310140781528035,0.04109497017727122,0.041339931727293756,-0.0018445223933437607,0.00026659347388687134,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999999,-2.81185722847536e-16,1.0000000000000002,0.0,0.003753837846906565,0.9017695459858894,0.09447661616720389,1.0000000000000007,-2.1469179989350517e-16,1.0000000000000018,0.0,0.0048310140781528035,0.8759903505838741,0.11917863533797382
T2K_app_FHC,11,0.7333333333333333,0.8,0.7666666666666666,2.0,1.5441176470588234,2.0351484125640042,0.0,0.0031385831794213713,0.004136655382098717,0.04108129237058883,0.04132617238905868,-0.0018439084734258562,0.00026650474249266705,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000009,-4.9806465791739056e-17,1.0000000000000016,0.0,0.0031385831794213713,0.9176442814819613,0.07921713533861809,0.9999999999999989,-1.163939741161764e-16,0.999999999999998,0.0,0.004136655382098717,0.8936842614622388,0.10217908315566143
T2K_app_FHC,12,0.8,0.8666666666666667,0.8333333333333334,1.0,1.1029411764705883,1.488157455286162,0.0,0.002662181449077747,0.0035919822881644073,0.04106761456390641,0.04131241305082359,-0.0018432945535079516,0.00026641601109846265,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999993,-1.050660946463561e-16,0.9999999999999989,0.0,0.002662181449077747,0.9299892558922189,0.06734856265870269,0.9999999999999983,-2.711949374612802e-16,0.9999999999999972,0.0,0.0035919822881644073,0.9076148627019839,0.08879315500985012
T2K_app_FHC,13,0.8666666666666667,0.9333333333333333,0.9,22.0,1.1029411764705883,1.5229019868135574,0.0,0.002286011848469777,0.00315644393389532,0.04105393675722402,0.041298653712588514,-0.0018426806335900467,0.00026632727970425836,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000007,-9.981438616872197e-17,1.0000000000000013,0.0,0.002286011848469777,0.9397709598624941,0.05794302828903666,1.0000000000000002,-5.49381484274118e-17,1.0000000000000004,0.0,0.00315644393389532,0.918786004400589,0.0780575516655158
T2K_app_FHC,14,0.9333333333333333,1.0,0.9666666666666667,1.0,1.1029411764705883,1.5579310424403956,0.0,0.001983937317993047,0.0028023593641212942,0.04104025895054162,0.04128489437435344,-0.0018420667136721425,0.000266238548310054,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999999,-3.393551607764716e-17,1.0,0.0,0.001983937317993047,0.9476486076299442,0.050367455052062686,0.9999999999999996,-5.3629396578845e-17,0.9999999999999993,0.0,0.0028023593641212942,0.9278882935574423,0.06930934707843599
T2K_app_FHC,15,1.0,1.0666666666666667,1.0333333333333332,1.0,1.1029411764705883,1.593259185931482,0.0,0.0017377803103436939,0.002510319227944596,0.04102658114385922,0.04127113503611836,-0.0018414527937542383,0.0002661498169158498,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-6.205583461284477e-18,1.0000000000000002,0.0,0.0017377803103436939,0.9540835630946807,0.04417865659497579,1.0,-8.08313499163107e-18,1.0,0.0,0.002510319227944596,0.9354089797902215,0.06208070098183384
T2K_app_FHC,16,1.0666666666666667,1.1333333333333333,1.1,0.0,0.0,0.0,0.0,0.001534593451707471,0.0022663901300764774,0.041012903337176825,0.041257375697883285,-0.001840838873836334,0.00026606108552164543,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000007,-4.3564592933612396e-17,1.0000000000000013,0.0,0.001534593451707471,0.9594061531798769,0.03905925336841633,0.9999999999999993,-6.011923967358668e-17,0.999999999999999,0.0,0.0022663901300764774,0.9416996065515063,0.056034003318416625
T2K_app_FHC,17,1.1333333333333333,1.2,1.1666666666666665,17.0,16.985294117647058,25.638739949277912,0.0,0.0013649586483466375,0.0020603599551519114,0.04099922553049441,0.0412436163596482,-0.0018402249539184294,0.0002659723541274411,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999991,-4.37191503606668e-17,0.9999999999999986,0.0,0.0013649586483466375,0.9638577077636573,0.03477733358799522,0.9999999999999997,-5.057463839135301e-18,0.9999999999999992,0.0,0.0020603599551519114,0.9470188960462954,0.05092074399855239
T2K_app_RHC,0,0.0,0.06666666666666667,0.03333333333333333,10.0,10.058823529411764,11.250297583217938,0.0,0.007223553243907752,0.008079187726532662,0.04123174824409522,0.04147752510964454,-0.0018506615925228042,0.00026748078782891447,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999989,-2.839973841158765e-10,0.9999999997613742,0.0,0.007223553243907752,0.8287375911571266,0.16403885559896442,1.0000000000000004,-2.9035040877051886e-10,0.9999999997524288,0.0,0.008079187726532662,0.7978116293840724,0.19410918288939547
T2K_app_RHC,1,0.06666666666666667,0.13333333333333333,0.1,1.0,1.1470588235294117,1.0928373492122032,0.0,0.039313122142797474,0.03745479073130442,0.041218070437412824,0.041463765771409464,-0.0018500476726048998,0.0002673920564347101,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-1.3131732403083079e-12,0.9999999999996707,0.0,0.039313122142797474,0.3765650871306668,0.5841217907265353,1.0000000000000016,-1.4087086611601873e-12,0.9999999999996372,0.0,0.03745479073130442,0.41680662343556635,0.5457385858331307
T2K_app_RHC,2,0.13333333333333333,0.2,0.16666666666666669,1.0,1.1470588235294117,1.177232859284923,0.0,0.042915602248141095,0.04404452161142213,0.04120439263073042,0.041450006433174376,-0.0018494337526869956,0.00026730332504050583,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000004,-1.0417091673606734e-13,0.9999999999999847,0.0,0.042915602248141095,0.05317993189268262,0.9039044658591767,1.0000000000000004,-1.169458746041841e-13,0.9999999999999812,0.0,0.04404452161142213,0.036315450339539895,0.9196400280490384
T2K_app_RHC,3,0.2,0.26666666666666666,0.23333333333333334,3.0,2.0294117647058822,2.1641900561771577,0.0,0.02790520578900872,0.02975846002987098,0.04119071482404802,0.0414362470949393,-0.0018488198327690911,0.0002672145936463015,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-1.9498750327182452e-14,0.9999999999999981,0.0,0.02790520578900872,0.33247975718964307,0.6396150370213485,1.0000000000000004,-2.2996962966698004e-14,0.9999999999999982,0.0,0.02975846002987098,0.29431893856184055,0.6759226014082889
