A,alpha,chi2_geo_total,delta_total,pos_channels,exit_code,ok,evidence_dir
-0.0412,-0.01,248.57,10.64,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_m0p01
-0.04115,-0.01,248.57,10.64,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_m0p01
-0.0411,-0.01,248.57,10.64,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_m0p01
-0.0413,-0.01,248.571,10.64,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_m0p01
-0.04125,-0.01,248.571,10.64,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_m0p01
-0.0413,-0.007,248.572,10.638,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_m0p007
-0.04125,-0.007,248.572,10.638,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_m0p007
-0.0412,-0.007,248.572,10.638,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_m0p007
-0.04115,-0.007,248.572,10.638,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_m0p007
-0.0411,-0.007,248.572,10.638,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_m0p007
-0.0413,-0.005,248.573,10.637,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_m0p005
-0.04125,-0.005,248.573,10.637,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_m0p005
-0.0412,-0.005,248.573,10.637,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_m0p005
-0.04115,-0.005,248.573,10.637,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_m0p005
-0.0411,-0.005,248.573,10.637,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_m0p005
-0.0413,-0.003,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_m0p003
-0.04125,-0.003,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_m0p003
-0.04125,-0.002,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_m0p002
-0.0412,-0.003,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_m0p003
-0.0412,-0.002,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_m0p002
-0.04115,-0.003,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_m0p003
-0.04115,-0.002,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_m0p002
-0.0411,-0.003,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_m0p003
-0.0411,-0.002,248.574,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_m0p002
-0.0413,-0.002,248.575,10.636,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_m0p002
-0.0413,-0.001,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_m0p001
-0.04125,-0.001,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_m0p001
-0.04125,0.0,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_0
-0.0412,-0.001,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_m0p001
-0.0412,0.0,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0412__alpha_0
-0.04115,-0.001,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_m0p001
-0.04115,0.0,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04115__alpha_0
-0.0411,-0.001,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_m0p001
-0.0411,0.0,248.575,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0411__alpha_0
-0.0413,0.0,248.576,10.635,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_0
-0.0413,0.001,248.576,10.634,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p0413__alpha_0p001
-0.04125,0.001,248.576,10.634,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_0p001
-0.04125,0.002,248.576,10.634,3,0,True,logs\weak\2026-03-03_run31\A_alpha_micro2D_retry\A_m0p04125__alpha_0p002
