cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8780874625299728,1.8959608932491758,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,0,1.8,1.9495364420827446,1.96600433726318,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,0,2.0,2.3654715730506584,2.3826433171971653,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,0,2.5,2.8196829430647017,2.8363846281468166,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,0,3.9,4.123626819902767,4.141749676750843,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,0,5.1,5.644469384668887,5.661872915417688,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,0,6.2,7.053034981566367,7.0679017854327135,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,0,9.7,9.339402327255026,9.349037024314411,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,0,10.0,13.110887747933432,13.10866507751852,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,0,15.6,19.546399406222267,19.516500438283874,-0.0015296406932560486,0.998470359306744
0.45,0.495,0.54,0,28.8,29.554360042149654,29.462765663613034,-0.003099183281451201,0.9969008167185488
0.54,0.585,0.63,0,48.4,48.120887728791104,47.88231715692171,-0.004957734221653964,0.9950422657783461
0.63,0.675,0.72,0,87.1,89.30612094242395,88.6593541748928,-0.007242132573960142,0.9927578674260399
0.72,0.765,0.81,0,194.0,196.93890514013336,194.92613663675672,-0.010220268574888433,0.9897797314251116
0.81,0.855,0.9,0,606.0,575.8124297143189,567.4368631384716,-0.014545650881490485,0.9854543491185095
-0.9,-0.81,-0.72,1,2.2,1.9099167301375386,1.92809307444345,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,1,1.3,1.9525264209673798,1.9690195727461537,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,1,2.8,2.260820066383281,2.2772321104693383,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,1,3.8,2.7420589275202993,2.7583008262049327,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,1,2.2,3.869962508310185,3.8869705402220496,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,1,5.0,5.624479189538895,5.6418210847375825,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,1,8.2,6.9077828192376085,6.9223434520139,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,1,8.9,9.544570745884183,9.554417098410415,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,1,10.8,13.098720251573205,13.096499643896887,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,1,14.6,19.03901244373326,19.009889595539917,-0.0015296406932560486,0.998470359306744
0.45,0.495,0.54,1,24.5,27.941931374768075,27.855334208199938,-0.003099183281451201,0.9969008167185489
0.54,0.585,0.63,1,45.4,48.06373125605967,47.82544405079112,-0.004957734221653964,0.995042265778346
0.63,0.675,0.72,1,84.4,88.60810530685343,87.96639366109378,-0.007242132573960142,0.9927578674260398
0.72,0.765,0.81,1,184.0,192.25993792904188,190.2949897272157,-0.010220268574888433,0.9897797314251116
0.81,0.855,0.9,1,606.0,566.0221200787927,557.7889599289255,-0.014545650881490485,0.9854543491185095
-0.9,-0.81,-0.72,2,0.8,1.7375179172450297,1.7540535721263089,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,2,1.7,1.6826991077846252,1.6969130059857818,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,2,2.3,2.204669510907616,2.2206739394537967,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,2,2.3,2.6742045310684825,2.6900445112453055,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,2,3.8,3.7086116313213537,3.724910545028858,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,2,5.7,5.000428793388303,5.015846560822616,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,2,6.9,6.5067543403003185,6.520469661553732,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,2,7.2,8.69950671871654,8.708481287844622,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,2,11.2,11.793194313482049,11.791195029787318,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,2,14.2,17.389479731439966,17.362880075608206,-0.0015296406932560486,0.9984703593067441
0.45,0.495,0.54,2,27.2,27.919458000834403,27.832930483371037,-0.003099183281451201,0.9969008167185487
0.54,0.585,0.63,2,43.8,44.6320446067633,44.41077079183396,-0.004957734221653964,0.995042265778346
0.63,0.675,0.72,2,79.0,84.11588797724502,83.50670956493744,-0.007242132573960142,0.9927578674260399
0.72,0.765,0.81,2,173.0,183.70974763431045,181.83218467366282,-0.010220268574888433,0.9897797314251116
0.81,0.855,0.9,2,578.0,539.5886917982674,531.7400230677696,-0.014545650881490485,0.9854543491185094
-0.9,-0.81,-0.72,3,1.4,1.70952418594827,1.7257934293727415,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,3,1.7,1.7118627963257658,1.726323042610294,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,3,1.7,2.076686015214862,2.0917613690395154,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,3,2.8,2.74085136242322,2.75708610839871,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,3,2.8,3.571058046433666,3.586752428248074,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,3,3.9,5.0934934021824,5.109198114707631,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,3,6.4,6.178608617339715,6.191632253649614,0.002107859085514585,1.0021078590855146
