cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8475395835583472,1.8475395835583472,-0.0,1.0
-0.72,-0.63,-0.54,0,1.8,1.9178264155415463,1.9178264155415463,-0.0,1.0
-0.54,-0.45,-0.36,0,2.0,2.3269961874437333,2.3269961874437333,-0.0,1.0
-0.36,-0.27,-0.18,0,2.5,2.7738196193369213,2.7738196193369213,-0.0,1.0
-0.18,-0.09,0.0,0,3.9,4.056554303030285,4.056554303030285,-0.0,1.0
0.0,0.045,0.09,0,5.1,5.552659726672642,5.552659726672642,-0.0,1.0
0.09,0.135,0.18,0,6.2,6.938314414341404,6.938314414341404,-0.0,1.0
0.18,0.225,0.27,0,9.7,9.187493037803737,9.187493037803737,-0.0,1.0
0.27,0.315,0.36,0,10.0,12.89763366891684,12.89763366891684,-0.0,1.0
0.36,0.405,0.45,0,15.6,19.228469035403446,19.228469035403446,-0.0,1.0
0.45,0.495,0.54,0,28.8,29.07364600104997,29.07364600104997,-0.0,1.0
0.54,0.585,0.63,0,48.4,47.338181340683875,47.338181340683875,-0.0,1.0
0.63,0.675,0.72,0,87.1,87.85351949099874,87.85351949099874,-0.0,1.0
0.72,0.765,0.81,0,194.0,193.73561138568755,193.73561138568755,-0.0,1.0
0.81,0.855,0.9,0,606.0,566.4465994405917,566.4465994405917,-0.0,1.0
-0.9,-0.81,-0.72,1,2.2,1.8770322737756415,1.8770322737756415,-0.0,1.0
-0.72,-0.63,-0.54,1,1.3,1.918908321878249,1.918908321878249,-0.0,1.0
-0.54,-0.45,-0.36,1,2.8,2.2218938463853397,2.2218938463853397,-0.0,1.0
-0.36,-0.27,-0.18,1,3.8,2.694846860250069,2.694846860250069,-0.0,1.0
-0.18,-0.09,0.0,1,2.2,3.8033304864955277,3.8033304864955277,-0.0,1.0
0.0,0.045,0.09,1,5.0,5.527638349544017,5.527638349544017,-0.0,1.0
0.09,0.135,0.18,1,8.2,6.788846386516627,6.788846386516627,-0.0,1.0
0.18,0.225,0.27,1,8.9,9.380234774983784,9.380234774983784,-0.0,1.0
0.27,0.315,0.36,1,10.8,12.873189846130588,12.873189846130588,-0.0,1.0
0.36,0.405,0.45,1,14.6,18.711203611023326,18.711203611023326,-0.0,1.0
0.45,0.495,0.54,1,24.5,27.460834367520793,27.460834367520793,-0.0,1.0
0.54,0.585,0.63,1,45.4,47.236182259739806,47.236182259739806,-0.0,1.0
0.63,0.675,0.72,1,84.4,87.08247367784321,87.08247367784321,-0.0,1.0
0.72,0.765,0.81,1,184.0,188.94965563285334,188.94965563285334,-0.0,1.0
0.81,0.855,0.9,1,606.0,556.2764964011263,556.2764964011263,-0.0,1.0
-0.9,-0.81,-0.72,2,0.8,1.7133890533269374,1.7133890533269374,-0.0,1.0
-0.72,-0.63,-0.54,2,1.7,1.6593315111780778,1.6593315111780778,-0.0,1.0
-0.54,-0.45,-0.36,2,2.3,2.1740533255520123,2.1740533255520123,-0.0,1.0
-0.36,-0.27,-0.18,2,2.3,2.637067925696604,2.637067925696604,-0.0,1.0
-0.18,-0.09,0.0,2,3.8,3.6571102427664135,3.6571102427664135,-0.0,1.0
0.0,0.045,0.09,2,5.7,4.930987975143917,4.930987975143917,-0.0,1.0
0.09,0.135,0.18,2,6.9,6.416395220277833,6.416395220277833,-0.0,1.0
0.18,0.225,0.27,2,7.2,8.578696906232265,8.578696906232265,-0.0,1.0
0.27,0.315,0.36,2,11.2,11.629422545763639,11.629422545763639,-0.0,1.0
0.36,0.405,0.45,2,14.2,17.147992500786465,17.147992500786465,-0.0,1.0
0.45,0.495,0.54,2,27.2,27.531741249206785,27.531741249206785,-0.0,1.0
0.54,0.585,0.63,2,43.8,44.012240620850825,44.012240620850825,-0.0,1.0
0.63,0.675,0.72,2,79.0,82.94777293554775,82.94777293554775,-0.0,1.0
0.72,0.765,0.81,2,173.0,181.15857538043016,181.15857538043016,-0.0,1.0
0.81,0.855,0.9,2,578.0,532.0954383549962,532.0954383549962,-0.0,1.0
-0.9,-0.81,-0.72,3,1.4,1.6916582112584764,1.6916582112584764,-0.0,1.0
-0.72,-0.63,-0.54,3,1.7,1.69397238117812,1.69397238117812,-0.0,1.0
-0.54,-0.45,-0.36,3,1.7,2.054982888642308,2.054982888642308,-0.0,1.0
-0.36,-0.27,-0.18,3,2.8,2.712207145820705,2.712207145820705,-0.0,1.0
-0.18,-0.09,0.0,3,2.8,3.5337374672937,3.5337374672937,-0.0,1.0
0.0,0.045,0.09,3,3.9,5.040262084980798,5.040262084980798,-0.0,1.0
0.09,0.135,0.18,3,6.4,6.114036927694797,6.114036927694797,-0.0,1.0
0.18,0.225,0.27,3,7.4,8.159763136658535,8.159763136658535,-0.0,1.0
0.27,0.315,0.36,3,11.9,12.056825281336073,12.056825281336073,-0.0,1.0
0.36,0.405,0.45,3,17.1,16.916582112584763,16.916582112584763,-0.0,1.0
0.45,0.495,0.54,3,25.1,26.73329091170714,26.73329091170714,-0.0,1.0
0.54,0.585,0.63,3,41.9,45.25127860868436,45.25127860868436,-0.0,1.0
0.63,0.675,0.72,3,77.3,81.26439089815693,81.26439089815693,-0.0,1.0
0.72,0.765,0.81,3,174.0,178.0383485977559,178.0383485977559,-0.0,1.0
0.81,0.855,0.9,3,565.0,522.7200731089499,522.7200731089499,-0.0,1.0
