cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8475395835583472,1.8299568716737624,-0.009516825534379478,0.9904831744656206
-0.72,-0.63,-0.54,0,1.8,1.9178264155415463,1.9016263775716646,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,0,2.0,2.3269961874437333,2.3101037489059295,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,0,2.5,2.7738196193369213,2.757389594156004,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,0,3.9,4.056554303030285,4.038726222037253,-0.004394882863940505,0.9956051171360596
0.0,0.045,0.09,0,5.1,5.552659726672642,5.535539271638684,-0.003083289068069303,0.9969167109319307
0.09,0.135,0.18,0,6.2,6.938314414341404,6.923689425264977,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,0,9.7,9.187493037803737,9.178015053126266,-0.0010316181616106396,0.9989683818383892
0.27,0.315,0.36,0,10.0,12.89763366891684,12.899820186666776,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,0,15.6,19.228469035403446,19.257881684109016,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,0,28.8,29.07364600104997,29.16375055866725,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,0,48.4,47.338181340683875,47.57287146230745,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,0,87.1,87.85351949099874,88.48976632624155,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,0,194.0,193.73561138568755,195.71564136656949,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,0,606.0,566.4465994405917,574.6859339190621,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,1,2.2,1.8770322737756415,1.8591688851037191,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,1,1.3,1.918908321878249,1.9026991449562742,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,1,2.8,2.2218938463853397,2.205764380664633,-0.00725933227950859,0.9927406677204913
-0.36,-0.27,-0.18,1,3.8,2.694846860250069,2.6788846104109068,-0.005923249322479465,0.9940767506775204
-0.18,-0.09,0.0,1,2.2,3.8033304864955277,3.786615294514526,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,1,5.0,5.527638349544017,5.510595042648627,-0.003083289068069303,0.9969167109319306
0.09,0.135,0.18,1,8.2,6.788846386516627,6.7745364549806455,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,1,8.9,9.380234774983784,9.370557954429739,-0.0010316181616106396,0.9989683818383893
0.27,0.315,0.36,1,10.8,12.873189846130588,12.875372219953524,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,1,14.6,18.711203611023326,18.739825029486546,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,1,24.5,27.460834367520793,27.54594052628731,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,1,45.4,47.236182259739806,47.470366697029206,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,1,84.4,87.08247367784321,87.71313649708655,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,1,184.0,188.94965563285334,190.88077186055378,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,1,606.0,556.2764964011263,564.3679001113559,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,2,0.8,1.7133890533269374,1.6970830286339094,-0.009516825534379478,0.9904831744656206
-0.72,-0.63,-0.54,2,1.7,1.6593315111780778,1.6453150009934918,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,2,2.3,2.1740533255520123,2.1582711500684595,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,2,2.3,2.637067925696604,2.6214479148923893,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,2,3.8,3.6571102427664135,3.641037671628938,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,2,5.7,4.930987975143917,4.915784313825374,-0.003083289068069303,0.9969167109319307
0.09,0.135,0.18,2,6.9,6.416395220277833,6.402870363316518,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,2,7.2,8.578696906232265,8.569846966700842,-0.0010316181616106396,0.9989683818383893
0.27,0.315,0.36,2,11.2,11.629422545763639,11.63139406546024,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,2,14.2,17.147992500786465,17.174222767923318,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,2,27.2,27.531741249206785,27.617067161395564,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,2,43.8,44.012240620850825,44.230441612348486,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,2,79.0,82.94777293554775,83.54849170386173,0.007242132573960142,1.0072421325739602
0.72,0.765,0.81,2,173.0,181.15857538043016,183.01006467546233,0.010220268574888433,1.0102202685748884
0.81,0.855,0.9,2,578.0,532.0954383549962,539.8351128369417,0.014545650881490485,1.0145456508814905
-0.9,-0.81,-0.72,3,1.4,1.6916582112584764,1.675558995198129,-0.009516825534379478,0.9904831744656205
-0.72,-0.63,-0.54,3,1.7,1.69397238117812,1.6796632567064627,-0.008447082508928297,0.9915529174910717
-0.54,-0.45,-0.36,3,1.7,2.054982888642308,2.040065085024949,-0.00725933227950859,0.9927406677204914
-0.36,-0.27,-0.18,3,2.8,2.712207145820705,2.696142066681799,-0.005923249322479465,0.9940767506775205
-0.18,-0.09,0.0,3,2.8,3.5337374672937,3.5182071050530266,-0.004394882863940505,0.9956051171360595
0.0,0.045,0.09,3,3.9,5.040262084980798,5.024721499993972,-0.003083289068069303,0.9969167109319307
0.09,0.135,0.18,3,6.4,6.114036927694797,6.101149399407584,-0.002107859085514585,0.9978921409144854
0.18,0.225,0.27,3,7.4,8.159763136658535,8.151345376812317,-0.0010316181616106396,0.9989683818383894
0.27,0.315,0.36,3,11.9,12.056825281336073,12.058869258019103,0.00016952859773078366,1.0001695285977308
0.36,0.405,0.45,3,17.1,16.916582112584763,16.942458404974982,0.0015296406932560486,1.0015296406932561
0.45,0.495,0.54,3,25.1,26.73329091170714,26.81614227995887,0.003099183281451201,1.003099183281451
0.54,0.585,0.63,3,41.9,45.25127860868436,45.47562242121624,0.004957734221653964,1.004957734221654
0.63,0.675,0.72,3,77.3,81.26439089815693,81.85291839058351,0.007242132573960142,1.0072421325739602
