cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.9,-0.81,-0.72,0,1.5,1.8475395835583472,1.865122295442932,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,0,1.8,1.9178264155415463,1.9340264535114278,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,0,2.0,2.3269961874437333,2.343888625981537,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,0,2.5,2.7738196193369213,2.790249644517839,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,0,3.9,4.056554303030285,4.074382384023316,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,0,5.1,5.552659726672642,5.569780181706601,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,0,6.2,6.938314414341404,6.9529394034178305,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,0,9.7,9.187493037803737,9.196971022481206,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,0,10.0,12.89763366891684,12.895447151166902,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,0,15.6,19.228469035403446,19.19905638669788,-0.0015296406932560486,0.998470359306744
0.45,0.495,0.54,0,28.8,29.07364600104997,28.983541443432685,-0.003099183281451201,0.9969008167185488
0.54,0.585,0.63,0,48.4,47.338181340683875,47.1034912190603,-0.004957734221653964,0.995042265778346
0.63,0.675,0.72,0,87.1,87.85351949099874,87.21727265575593,-0.007242132573960142,0.9927578674260399
0.72,0.765,0.81,0,194.0,193.73561138568755,191.7555814048056,-0.010220268574888433,0.9897797314251116
0.81,0.855,0.9,0,606.0,566.4465994405917,558.2072649621214,-0.014545650881490485,0.9854543491185095
-0.9,-0.81,-0.72,1,2.2,1.8770322737756415,1.8948956624475637,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,1,1.3,1.918908321878249,1.9351174988002235,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,1,2.8,2.2218938463853397,2.2380233121060464,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,1,3.8,2.694846860250069,2.7108091100892313,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,1,2.2,3.8033304864955277,3.820045678476529,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,1,5.0,5.527638349544017,5.544681656439407,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,1,8.2,6.788846386516627,6.803156318052609,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,1,8.9,9.380234774983784,9.389911595537829,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,1,10.8,12.873189846130588,12.871007472307651,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,1,14.6,18.711203611023326,18.682582192560105,-0.0015296406932560486,0.998470359306744
0.45,0.495,0.54,1,24.5,27.460834367520793,27.37572820875427,-0.003099183281451201,0.9969008167185488
0.54,0.585,0.63,1,45.4,47.236182259739806,47.001997822450406,-0.004957734221653964,0.995042265778346
0.63,0.675,0.72,1,84.4,87.08247367784321,86.45181085859988,-0.007242132573960142,0.99275786742604
0.72,0.765,0.81,1,184.0,188.94965563285334,187.0185394051529,-0.010220268574888433,0.9897797314251116
0.81,0.855,0.9,1,606.0,556.2764964011263,548.1850926908968,-0.014545650881490485,0.9854543491185094
-0.9,-0.81,-0.72,2,0.8,1.7133890533269374,1.7296950780199654,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,2,1.7,1.6593315111780778,1.6733480213626635,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,2,2.3,2.1740533255520123,2.189835501035565,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,2,2.3,2.637067925696604,2.6526879365008185,0.005923249322479465,1.0059232493224795
