group,sqrt_s_GeV,cos_lo,cos_hi,cos_ctr,obs_pb,stat_pb,sys1_frac,sys2_frac,pred0_pb,beta_sm,pred_sm,delta,beta_geo,pred_geo
0,189.0,-1.0,-0.8,-0.9,0.67,0.285,0.0108,0.0021,0.5012226383014349,1.0459009431053292,0.524229230105212,-0.017886259964574935,1.0459009431053292,0.5148527298145212
0,189.0,-0.8,-0.6,-0.7,0.47,0.16,0.0108,0.0021,0.4819405121020361,1.0459009431053292,0.5040620361281849,-0.015608775697297378,1.0459009431053292,0.4961942448687371
0,189.0,-0.6,-0.4,-0.5,0.54,0.18,0.0108,0.0021,0.5514657835797475,1.0459009431053292,0.5767785831363773,-0.013062545861842773,1.0459009431053292,0.5692443864420297
0,189.0,-0.4,-0.2,-0.3,0.62,0.13,0.0108,0.0021,0.709798452734569,1.0459009431053292,0.7423788711297892,-0.010172997407514983,1.0459009431053292,0.7348266527983919
0,189.0,-0.2,0.0,-0.1,1.27,0.19,0.0108,0.0021,0.9569385195665007,1.0459009431053292,1.0008629001084206,-0.006828919645543219,1.0459009431053292,0.9940280877873748
0,189.0,0.0,0.2,0.1,1.35,0.2,0.0108,0.0021,1.2928859840755422,1.0459009431053292,1.3522306700722713,-0.002853413618031736,1.0459009431053292,1.348372196663567
0,189.0,0.2,0.4,0.3,2.03,0.25,0.0108,0.0021,1.717640846261694,1.0459009431053292,1.7964821810213416,0.002061506906038235,1.0459009431053292,1.800185641444092
0,189.0,0.4,0.6,0.5,2.15,0.26,0.0108,0.0021,2.2312031061249558,1.0459009431053292,2.333617432955631,0.008530600911812014,1.0459009431053292,2.3535245919570227
0,189.0,0.6,0.8,0.7,2.85,0.3,0.0108,0.0021,2.833572763665328,1.0459009431053292,2.9636364258751406,0.018108396104573016,1.0459009431053292,3.0173031281848286
0,189.0,0.8,1.0,0.9,3.77,0.42,0.0108,0.0021,3.5247498188828104,1.0459009431053292,3.6865391597798696,0.03771240827238165,1.0459009431053292,3.825567429685611
1,192.0,-1.0,-0.8,-0.9,1.3,1.05,0.0108,0.0032,0.4930095173352768,0.88512068793054,0.4363729231401037,-0.017918662306193878,0.88512068793054,0.42855370409078947
1,192.0,-0.8,-0.6,-0.7,0.7,0.55,0.0108,0.0032,0.4724046793226215,0.88512068793054,0.4181351547436449,-0.015637236989889225,0.88512068793054,0.41159667623511453
