target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T01,1359.8,30.0,ModeA_points,0,0.0,0.008825762307105382,0.004412881153552691,9,3,0.3333333333333333,2.7720878725924427,0.1870342388563282,0.0
T01,1359.8,30.0,ModeB_holdout_points,0,0.0,0.008825762307105382,0.004412881153552691,8,1,0.125,2.4648351932302495,0.0,0.0
T01,1359.8,30.0,ModeA_points,1,0.010506077014227974,0.02140861198547926,0.01595734449985362,8,1,0.125,2.8403172374321763,0.0,0.0
T01,1359.8,30.0,ModeB_holdout_points,1,0.010506077014227974,0.02140861198547926,0.01595734449985362,8,1,0.125,2.904938508104302,0.0,0.0
T01,1359.8,30.0,ModeA_points,2,0.022808007733909647,0.11485817402944905,0.06883309088167935,12,3,0.25,2.005363776172119,0.4765787336575489,0.0
T01,1359.8,30.0,ModeB_holdout_points,2,0.022808007733909647,0.11485817402944905,0.06883309088167935,8,4,0.5,2.381919942612798,0.2041994340786264,0.0
T01,1359.8,30.0,ModeA_points,3,0.11528205469580301,0.1373305782156996,0.1263063164557513,8,6,0.75,1.027101133423765,0.3418055886746926,0.0
T01,1359.8,30.0,ModeB_holdout_points,3,0.11528205469580301,0.1373305782156996,0.1263063164557513,8,3,0.375,1.034522467224728,0.77425810593339,0.0
T01,1359.8,30.0,ModeA_points,4,0.13738915553561984,0.15494080611863575,0.1461649808271278,16,5,0.3125,1.642045567302775,1.046378313225866,0.0
T01,1359.8,30.0,ModeB_holdout_points,4,0.13738915553561984,0.15494080611863575,0.1461649808271278,8,4,0.5,0.6144570517674159,0.42022521686345743,0.0
T01,1359.8,30.0,ModeA_points,5,0.155227501653687,0.1649069404468062,0.16006722105024662,20,7,0.35,0.7887185302619862,0.5981963245463237,0.0
T01,1359.8,30.0,ModeB_holdout_points,5,0.155227501653687,0.1649069404468062,0.16006722105024662,8,3,0.375,1.0197221538640453,0.7279814763288615,0.0
T01,1359.8,30.0,ModeA_points,6,0.16540120295290103,0.1705710538400519,0.16798612839647648,10,3,0.3,-0.7300008828022179,1.1361662033967526,0.0
T01,1359.8,30.0,ModeB_holdout_points,6,0.16540120295290103,0.1705710538400519,0.16798612839647648,8,4,0.5,1.4120770057572085,0.32596009063098086,0.0
T01,1359.8,30.0,ModeA_points,7,0.1706036495402889,1.0,0.5853018247701445,239,126,0.5271966527196653,0.48742495568007765,0.9065516225164625,0.0
T01,1359.8,30.0,ModeB_holdout_points,7,0.1706036495402889,1.0,0.5853018247701445,270,173,0.6407407407407407,0.9774079217262489,0.7308899809248582,0.0
