target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T05,816.22,30.0,ModeA_points,0,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,0,0.0,0.0,0.0,26,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,1,0.0,0.0,0.0,22,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,1,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,2,0.0,0.0,0.0,9,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,2,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,3,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,3,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,4,0.0,0.00014321562565951723,7.160781282975861e-05,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,4,0.0,0.00014321562565951723,7.160781282975861e-05,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,5,0.00015186669114632543,0.0005763567614548938,0.00036411172630060963,9,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,5,0.00015186669114632543,0.0005763567614548938,0.00036411172630060963,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,6,0.0005993800409358615,0.0019503578909302625,0.001274868965933062,19,0,0.0,,,0.0
T05,816.22,30.0,ModeB_points,6,0.0005993800409358615,0.0019503578909302625,0.001274868965933062,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,7,0.0020306025906012964,1.0,0.5010153012953007,445,162,0.36404494382022473,-1.816260387373546,0.6915827985778906,0.0
T05,816.22,30.0,ModeB_points,7,0.0020306025906012964,1.0,0.5010153012953007,452,106,0.2345132743362832,-1.7587376216864894,0.7599993528970845,0.0
