target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T05,816.22,30.0,ModeA_points,0,0.0,0.0,0.0,9,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,0,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,1,0.0,0.0,0.0,18,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,1,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,2,0.0,0.0,0.0,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,2,0.0,0.0,0.0,28,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,3,0.0,0.0007671307518595876,0.0003835653759297938,34,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,3,0.0,0.0007671307518595876,0.0003835653759297938,8,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,4,0.0007900285568643044,0.0026248980050898635,0.0017074632809770838,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,4,0.0007900285568643044,0.0026248980050898635,0.0017074632809770838,13,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,5,0.0026404706438646146,0.004166886694091022,0.0034036786689778187,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,5,0.0026404706438646146,0.004166886694091022,0.0034036786689778187,16,0,0.0,,,0.0
T05,816.22,30.0,ModeA_points,6,0.0044541865672692756,0.005532674193243772,0.004993430380256524,8,0,0.0,,,0.0
T05,816.22,30.0,ModeB_holdout_points,6,0.0044541865672692756,0.005532674193243772,0.004993430380256524,8,1,0.125,-2.821566118106447,0.0,0.0
T05,816.22,30.0,ModeA_points,7,0.005741356745215305,1.0,0.5028706783726077,433,106,0.24480369515011546,-1.7587376216864894,0.7599993528970845,0.0
T05,816.22,30.0,ModeB_holdout_points,7,0.005741356745215305,1.0,0.5028706783726077,440,154,0.35,-1.9538449187639528,0.6069236729316602,0.0
