target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_holdout_points,0.1699221776693011,0.375
T02,1359.47,ModeB_holdout_points,0.13537978834031464,0.4166666666666667
T03,1359.59,ModeB_holdout_points,0.22415197250448296,0.35
T04,1359.68,ModeB_holdout_points,0.03545463129504428,0.10526315789473684
T05,816.22,ModeB_holdout_points,0.028774538106235564,0.125
T06,874.45,ModeB_holdout_points,0.19151601601208584,0.3
T07,874.37,ModeB_holdout_points,0.026576334844698114,0.125
T08,816.28,ModeB_holdout_points,0.08878564365361273,0.20454545454545453
T09,816.15,ModeB_holdout_points,0.1319739446439624,0.25
T10,1359.91,ModeB_holdout_points,0.09211956792895276,0.25
T11,1529.53,ModeB_holdout_points,0.1962598982989657,0.4523809523809524
T12,816.35,ModeB_holdout_points,0.20274721137607968,0.5416666666666667
