target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.02856740579239219,ModeA_points,ModeB_points,-0.14772727272727273,2.039474234773672
T01,1359.8,1,0.07843906541447432,ModeA_points,ModeB_points,0.04999999999999999,0.25937963500487476
T01,1359.8,2,0.10515980938415374,ModeA_points,ModeB_points,0.325,0.8008513465806764
T01,1359.8,3,0.12429149635278947,ModeA_points,ModeB_points,-0.09999999999999998,0.9585445380189189
T01,1359.8,4,0.13916901305263268,ModeA_points,ModeB_points,-0.25833333333333336,3.127790340699154
T01,1359.8,5,0.15052366605188,ModeA_points,ModeB_points,0.125,6.299328013437543
T01,1359.8,6,0.15903123329390342,ModeA_points,ModeB_points,-0.01785714285714285,4.418443495630492
T01,1359.8,7,0.5808853194327793,ModeA_points,ModeB_points,-0.12295081967213117,1.257454475935367
T02,1359.47,0,0.007940820904474377,ModeA_points,ModeB_points,0.375,
T02,1359.47,1,0.03970340007685269,ModeA_points,ModeB_points,0.3194444444444444,
T02,1359.47,2,0.08142512747931963,ModeA_points,ModeB_points,0.2916666666666667,0.8068599382193952
T02,1359.47,3,0.10515980938415374,ModeA_points,ModeB_points,0.22499999999999998,2.605220866698225
T02,1359.47,4,0.12429149635278947,ModeA_points,ModeB_points,-0.18,0.8860319466768883
T02,1359.47,5,0.13916901305263268,ModeA_points,ModeB_points,-0.06666666666666665,3.3260286217947304
T02,1359.47,6,0.15052366605188,ModeA_points,ModeB_points,-0.09375,4.110879177091186
T02,1359.47,7,0.5782071625459475,ModeA_points,ModeB_points,0.006235827664399118,1.0037912050399576
T03,1359.59,0,0.024270520016971782,ModeA_points,ModeB_points,0.2840909090909091,
T03,1359.59,1,0.07286155329274938,ModeA_points,ModeB_points,0.6447368421052632,1.2950440062989244
T03,1359.59,2,0.10449188354485281,ModeA_points,ModeB_points,0.1590909090909091,
T03,1359.59,3,0.12428785300457175,ModeA_points,ModeB_points,-0.04807692307692307,
T03,1359.59,4,0.13916901305263268,ModeA_points,ModeB_points,-0.024999999999999994,
T03,1359.59,5,0.15052366605188,ModeA_points,ModeB_points,0.0,0.19158580236907655
T03,1359.59,6,0.15903123329390342,ModeA_points,ModeB_points,-0.23214285714285715,6.4209328925367135
T03,1359.59,7,0.5808853194327793,ModeA_points,ModeB_points,0.002732240437158473,1.3477845334784069
T04,1359.68,0,0.021992207811516912,ModeA_points,ModeB_points,0.0,
T04,1359.68,1,0.07144826296433338,ModeA_points,ModeB_points,0.0,
T04,1359.68,2,0.10449188354485281,ModeA_points,ModeB_points,0.03409090909090909,
T04,1359.68,3,0.12428785300457175,ModeA_points,ModeB_points,0.11538461538461539,
T04,1359.68,4,0.13916901305263268,ModeA_points,ModeB_points,0.03333333333333333,
T04,1359.68,5,0.15052366605188,ModeA_points,ModeB_points,0.0625,
T04,1359.68,6,0.15903123329390342,ModeA_points,ModeB_points,0.07142857142857142,
T04,1359.68,7,0.5808853194327793,ModeA_points,ModeB_points,0.04508196721311475,0.492025235675903
T05,816.22,0,0.0,ModeA_points,ModeB_points,-0.125,0.9097071404917566
T05,816.22,1,0.0,ModeA_points,ModeB_points,0.025000000000000022,1.9116174467844755
T05,816.22,2,0.0,ModeA_points,ModeB_points,0.0,0.5114483656622555
T05,816.22,3,0.0,ModeA_points,ModeB_points,-0.05882352941176472,0.9654144920787762
T05,816.22,4,0.00010917254494175821,ModeA_points,ModeB_points,-0.125,0.8379003559443823
T05,816.22,5,0.0005126475378999276,ModeA_points,ModeB_points,0.0,0.12164008872529733
T05,816.22,6,0.0016637555638809752,ModeA_points,ModeB_points,-0.07499999999999996,1.722164591102296
T05,816.22,7,0.5013541042561328,ModeA_points,ModeB_points,-0.036014375379631536,1.1182763395362885
T06,874.45,0,0.009376599136565869,ModeA_points,ModeB_points,0.5454545454545454,
T06,874.45,1,0.04550370612696021,ModeA_points,ModeB_points,-0.5,0.0
T06,874.45,2,0.08390678701438341,ModeA_points,ModeB_points,0.2857142857142857,1.8064366938539471
T06,874.45,3,0.10501403164293269,ModeA_points,ModeB_points,-0.04999999999999999,1.1577754117702843
T06,874.45,4,0.12428785300457175,ModeA_points,ModeB_points,0.17307692307692307,0.8313963846275769
T06,874.45,5,0.13916901305263268,ModeA_points,ModeB_points,-0.26666666666666666,0.7467608353018496
T06,874.45,6,0.15052366605188,ModeA_points,ModeB_points,-0.125,1.3394987862670615
T06,874.45,7,0.5782071625459475,ModeA_points,ModeB_points,0.05293040293040291,0.8277872018416035
T07,874.37,0,0.007642257132257308,ModeA_points,ModeB_points,0.125,
T07,874.37,1,0.041676818126833895,ModeA_points,ModeB_points,-0.125,
T07,874.37,2,0.08382204263778209,ModeA_points,ModeB_points,-0.016666666666666663,0.2904233411990676
T07,874.37,3,0.10501403164293269,ModeA_points,ModeB_points,0.275,
T07,874.37,4,0.12428785300457175,ModeA_points,ModeB_points,-0.125,
T07,874.37,5,0.13916901305263268,ModeA_points,ModeB_points,-0.1810344827586207,0.3465951661048748
T07,874.37,6,0.15052366605188,ModeA_points,ModeB_points,0.0,
T07,874.37,7,0.5782071625459475,ModeA_points,ModeB_points,0.04849484536082474,0.7816487910397819
T08,816.28,0,0.0041634804246909116,ModeA_points,ModeB_points,-0.125,
T08,816.28,1,0.023546851096294428,ModeA_points,ModeB_points,0.08333333333333333,
T08,816.28,2,0.06690455826635652,ModeA_points,ModeB_points,-0.032894736842105254,0.0
T08,816.28,3,0.10333802166746439,ModeA_points,ModeB_points,-0.6022727272727273,0.0
T08,816.28,4,0.1224173824031822,ModeA_points,ModeB_points,-0.32065217391304346,5.274752447538088
T08,816.28,5,0.137604230234845,ModeA_points,ModeB_points,0.17307692307692307,0.6964849293233454
T08,816.28,6,0.148977892139117,ModeA_points,ModeB_points,0.08445945945945948,0.7221606027246668
T08,816.28,7,0.5776966929879644,ModeA_points,ModeB_points,-0.11140796152818594,1.1977960790112683
T09,816.15,0,0.007171815552931395,ModeA_points,ModeB_points,0.29411764705882354,
T09,816.15,1,0.038181500435962745,ModeA_points,ModeB_points,-0.10227272727272729,3.374182771196657
T09,816.15,2,0.07899819337937795,ModeA_points,ModeB_points,-0.13888888888888884,0.7708957476202963
T09,816.15,3,0.10516345273237146,ModeA_points,ModeB_points,-0.17500000000000004,0.5788216442589336
T09,816.15,4,0.12459349817271292,ModeA_points,ModeB_points,-0.29166666666666663,1.1684569501478483
T09,816.15,5,0.13916901305263268,ModeA_points,ModeB_points,-0.10833333333333328,2.4960968553602227
T09,816.15,6,0.15125596273601696,ModeA_points,ModeB_points,0.08467741935483875,0.7958839699438354
T09,816.15,7,0.5789640015366174,ModeA_points,ModeB_points,-0.07226397567978382,0.8337273957555179
T10,1359.91,0,0.009376599136565869,ModeA_points,ModeB_points,-0.125,
T10,1359.91,1,0.05585570189367714,ModeA_points,ModeB_points,-0.05147058823529413,0.0
T10,1359.91,2,0.09690081413502159,ModeA_points,ModeB_points,0.125,
T10,1359.91,3,0.10968952997710396,ModeA_points,ModeB_points,-0.125,0.0
T10,1359.91,4,0.12680570327052806,ModeA_points,ModeB_points,-0.14516129032258063,1.547335613758543
T10,1359.91,5,0.14137517392189133,ModeA_points,ModeB_points,-0.23214285714285715,17.872325464977717
T10,1359.91,6,0.1522774138390901,ModeA_points,ModeB_points,-0.017241379310344807,1.4262499808500004
T10,1359.91,7,0.5794386163851575,ModeA_points,ModeB_points,0.14368911917098443,0.8663942987805723
T11,1529.53,0,0.0021408086099869088,ModeA_points,ModeB_points,0.02777777777777779,2.22586017865517
T11,1529.53,1,0.006415836645672554,ModeA_points,ModeB_points,-0.125,0.8617874185963301
T11,1529.53,2,0.019774010349121622,ModeA_points,ModeB_points,-0.3392857142857143,0.1334662172234896
T11,1529.53,3,0.06155860160992231,ModeA_points,ModeB_points,-0.0892857142857143,1.4340308165917672
T11,1529.53,4,0.09674844004369368,ModeA_points,ModeB_points,-0.25,2.5156297089875057
T11,1529.53,5,0.1089644432712655,ModeA_points,ModeB_points,0.0,0.49153008978518337
T11,1529.53,6,0.12578465465362998,ModeA_points,ModeB_points,0.07692307692307687,1.2287672313847353
T11,1529.53,7,0.5675387117490844,ModeA_points,ModeB_points,-0.15959462436660055,1.2830288134920123
T12,816.35,0,0.004536677159087012,ModeA_points,ModeB_points,-0.125,
T12,816.35,1,0.03837856448675269,ModeA_points,ModeB_points,-0.04166666666666667,
T12,816.35,2,0.0816358193331284,ModeA_points,ModeB_points,0.125,0.4503555497285299
T12,816.35,3,0.10501403164293269,ModeA_points,ModeB_points,0.22499999999999998,0.4361159033778386
T12,816.35,4,0.12428785300457175,ModeA_points,ModeB_points,-0.20192307692307693,2.297238782807022
T12,816.35,5,0.13916901305263268,ModeA_points,ModeB_points,0.07499999999999996,1.3682364783805954
T12,816.35,6,0.1514242484195237,ModeA_points,ModeB_points,0.09722222222222221,0.9041012440895321
T12,816.35,7,0.5794386163851575,ModeA_points,ModeB_points,-0.04163334221985249,1.024820552225835
