target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_points,0.143358571073735,0.325
T02,1359.47,ModeB_points,0.1947204506802721,0.375
T03,1359.59,ModeB_points,0.17448383511800247,0.6447368421052632
T04,1359.68,ModeB_points,0.045227424556317994,0.11538461538461539
T05,816.22,ModeB_points,0.05560473809892453,0.125
T06,874.45,ModeB_points,0.24985535298035297,0.5454545454545454
T07,874.37,ModeB_points,0.11202449934826401,0.275
T08,816.28,ModeB_points,0.19163716442822223,0.6022727272727273
T09,816.15,ModeB_points,0.15840258228188278,0.29411764705882354
T10,1359.91,ModeB_points,0.12058815427275765,0.23214285714285715
T11,1529.53,ModeB_points,0.13348336345486048,0.3392857142857143
T12,816.35,ModeB_points,0.11655566350397728,0.22499999999999998
