target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.004412881153552691,ModeA_points,ModeB_holdout_points,-0.2222222222222222,
T01,1359.8,1,0.01595734449985362,ModeA_points,ModeB_holdout_points,0.0,
T01,1359.8,2,0.06883309088167935,ModeA_points,ModeB_holdout_points,0.08333333333333331,0.36227565106228043
T01,1359.8,3,0.1263063164557513,ModeA_points,ModeB_holdout_points,-0.5,1.4500149108151006
T01,1359.8,4,0.1461649808271278,ModeA_points,ModeB_holdout_points,0.25,0.7070162438716994
T01,1359.8,5,0.16006722105024662,ModeA_points,ModeB_holdout_points,0.15000000000000002,2.1786098884712457
T01,1359.8,6,0.16798612839647648,ModeA_points,ModeB_holdout_points,0.3,0.2173908204813913
T01,1359.8,7,0.5853018247701445,ModeA_points,ModeB_holdout_points,0.09728808306214165,0.7807766913432089
T02,1359.47,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,-0.3181818181818182,1.9870814650469468
T02,1359.47,1,0.02876741847903696,ModeA_points,ModeB_holdout_points,-0.2692307692307692,1.0875764832901345
T02,1359.47,2,0.0889835613482258,ModeA_points,ModeB_holdout_points,-0.08333333333333337,1.013377037310426
T02,1359.47,3,0.13846613963391358,ModeA_points,ModeB_holdout_points,-0.17045454545454541,0.36956230071639956
T02,1359.47,4,0.15434882613821935,ModeA_points,ModeB_holdout_points,0.175,4.48139864890899
T02,1359.47,5,0.1647832953661028,ModeA_points,ModeB_holdout_points,-0.11363636363636365,1.0384285425047528
T02,1359.47,6,0.17120579175793643,ModeA_points,ModeB_holdout_points,-0.16666666666666663,1.0029625243367049
T02,1359.47,7,0.5866111563031892,ModeA_points,ModeB_holdout_points,0.05172020961494639,0.8790341933192706
T03,1359.59,0,0.005316659071309933,ModeA_points,ModeB_holdout_points,0.25,5.892880103455416
T03,1359.59,1,0.02116217298599692,ModeA_points,ModeB_holdout_points,-0.18055555555555558,0.4538173608829359
T03,1359.59,2,0.0723230657588784,ModeA_points,ModeB_holdout_points,-0.1964285714285714,0.35638593374361
T03,1359.59,3,0.1263063164557513,ModeA_points,ModeB_holdout_points,0.5,0.5226737100174429
T03,1359.59,4,0.1461649808271278,ModeA_points,ModeB_holdout_points,0.3125,
T03,1359.59,5,0.16006722105024662,ModeA_points,ModeB_holdout_points,0.024999999999999994,0.0
T03,1359.59,6,0.16798612839647648,ModeA_points,ModeB_holdout_points,-0.1,
T03,1359.59,7,0.5853018247701445,ModeA_points,ModeB_holdout_points,0.08626995196032852,0.8334533448991451
T04,1359.68,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,0.0,
T04,1359.68,1,0.02310051715780273,ModeA_points,ModeB_holdout_points,0.125,
T04,1359.68,2,0.07858065627508085,ModeA_points,ModeB_holdout_points,-0.07692307692307693,
T04,1359.68,3,0.12821480058678353,ModeA_points,ModeB_holdout_points,0.125,
T04,1359.68,4,0.14731470788598583,ModeA_points,ModeB_holdout_points,-0.125,
T04,1359.68,5,0.16116347918552476,ModeA_points,ModeB_holdout_points,-0.10526315789473684,
T04,1359.68,6,0.16909299132485972,ModeA_points,ModeB_holdout_points,0.125,
T04,1359.68,7,0.5860271499502157,ModeA_points,ModeB_holdout_points,-0.07643743308772594,0.0
T05,816.22,0,0.0,ModeA_points,ModeB_holdout_points,0.1428571428571429,0.6155907196884755
T05,816.22,1,0.0,ModeA_points,ModeB_holdout_points,-0.375,0.7700761159540205
T05,816.22,2,0.0,ModeA_points,ModeB_holdout_points,0.0,4.664649088672369
T05,816.22,3,0.0,ModeA_points,ModeB_holdout_points,0.0,0.3455094082916324
T05,816.22,4,0.000346313614917381,ModeA_points,ModeB_holdout_points,-0.03409090909090906,2.279505846652619
T05,816.22,5,0.0016839747538813258,ModeA_points,ModeB_holdout_points,-0.07499999999999996,0.5440056970817476
T05,816.22,6,0.0034036786689778187,ModeA_points,ModeB_holdout_points,0.125,0.6922450943547815
T05,816.22,7,0.5022270932836347,ModeA_points,ModeB_holdout_points,0.03316326530612246,0.91553337644688
T06,874.45,0,0.0082424044675146,ModeA_points,ModeB_holdout_points,-0.26136363636363635,3.193616428998684
T06,874.45,1,0.028433427589498364,ModeA_points,ModeB_holdout_points,0.25,0.09876289412275076
T06,874.45,2,0.08120003595864428,ModeA_points,ModeB_holdout_points,0.01785714285714285,0.5280546583271488
T06,874.45,3,0.1345425418262956,ModeA_points,ModeB_holdout_points,-0.041666666666666685,0.3885461268336388
T06,874.45,4,0.1521911981505308,ModeA_points,ModeB_holdout_points,0.11538461538461536,1.8783036713199754
