target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_holdout_points,0.20035545482721212,0.5
T02,1359.47,ModeB_holdout_points,0.16852796326480535,0.3181818181818182
T03,1359.59,ModeB_holdout_points,0.20634425986805693,0.5
T04,1359.68,ModeB_holdout_points,0.09482795848819246,0.125
T05,816.22,ModeB_holdout_points,0.0981389146567718,0.375
T06,874.45,ModeB_holdout_points,0.13596117688952958,0.26136363636363635
T07,874.37,ModeB_holdout_points,0.09827095349104495,0.3273809523809524
T08,816.28,ModeB_holdout_points,0.03666004186882246,0.125
T09,816.15,ModeB_holdout_points,0.10693241960336135,0.1826923076923077
T10,1359.91,ModeB_holdout_points,0.10976355745860684,0.19642857142857145
T11,1529.53,ModeB_holdout_points,0.18808253078126952,0.41666666666666663
T12,816.35,ModeB_holdout_points,0.20908627747838837,0.3333333333333333
