target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_points,0.16272681809310907,0.325
T02,1359.47,ModeB_points,0.24278698979591834,0.5
T03,1359.59,ModeB_points,0.15298057587544753,0.4144736842105263
T04,1359.68,ModeB_points,0.04242504848293783,0.11538461538461539
T05,816.22,ModeB_points,0.0051212289937234215,0.04096983194978737
T06,874.45,ModeB_points,0.1849174263236763,0.375
T07,874.37,ModeB_points,0.11350806893589288,0.275
T08,816.28,ModeB_points,0.16295056364871469,0.4204545454545454
T09,816.15,ModeB_points,0.12745390655865707,0.275
T10,1359.91,ModeB_points,0.14380664411960614,0.25
T11,1529.53,ModeB_points,0.13158867299440663,0.25
T12,816.35,ModeB_points,0.13508812892060695,0.3269230769230769
