target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T12,816.35,30.0,ModeA_points,0,0.0,0.010633318142619867,0.005316659071309933,8,0,0.0,,,0.0
T12,816.35,30.0,ModeB_holdout_points,0,0.0,0.010633318142619867,0.005316659071309933,8,1,0.125,0.977795276954398,0.0,0.0
T12,816.35,30.0,ModeA_points,1,0.01139732873442136,0.026176022352950697,0.01878667554368603,8,1,0.125,2.9403700613528385,0.0,0.0
T12,816.35,30.0,ModeB_holdout_points,1,0.01139732873442136,0.026176022352950697,0.01878667554368603,9,2,0.2222222222222222,-1.3645068528766877,0.0077170074595585,0.0
T12,816.35,30.0,ModeA_points,2,0.0268592431197463,0.11221617312349319,0.06953770812161975,8,2,0.25,0.25491478326846184,0.2002582742333049,0.0
T12,816.35,30.0,ModeB_holdout_points,2,0.0268592431197463,0.11221617312349319,0.06953770812161975,8,2,0.25,2.2770985231987497,0.11527416358373088,0.0
T12,816.35,30.0,ModeA_points,3,0.11275343094562437,0.13532730432456938,0.12404036763509688,10,9,0.9,1.1876436870444027,0.6132411305146779,0.0
T12,816.35,30.0,ModeB_holdout_points,3,0.11275343094562437,0.13532730432456938,0.12404036763509688,8,5,0.625,0.6915561038336562,2.0196389800645296,0.0
T12,816.35,30.0,ModeA_points,4,0.13574137323624808,0.15462486427228894,0.1451831187542685,18,9,0.5,-0.34978859016910135,1.5690973359230478,0.0
T12,816.35,30.0,ModeB_holdout_points,4,0.13574137323624808,0.15462486427228894,0.1451831187542685,8,7,0.875,-0.828101520171671,0.6115287405817893,0.0
T12,816.35,30.0,ModeA_points,5,0.15494080611863575,0.16465105701117344,0.1597959315649046,20,9,0.45,-1.8151081578800679,0.6028545813219466,0.0
T12,816.35,30.0,ModeB_holdout_points,5,0.15494080611863575,0.16465105701117344,0.1597959315649046,8,7,0.875,0.4842237429126268,0.8745775949873473,0.0
T12,816.35,30.0,ModeA_points,6,0.1649069404468062,0.1702413080720825,0.16757412425944435,9,5,0.5555555555555556,0.7130729718911417,1.757197109491432,0.0
T12,816.35,30.0,ModeB_holdout_points,6,0.1649069404468062,0.1702413080720825,0.16757412425944435,8,5,0.625,-1.5031883454681854,0.709704334743468,0.0
T12,816.35,30.0,ModeA_points,7,0.17034019702507514,1.0,0.5851700985125375,233,142,0.6094420600858369,-0.2669965655829024,1.3656037126686558,0.0
T12,816.35,30.0,ModeB_holdout_points,7,0.17034019702507514,1.0,0.5851700985125375,266,194,0.7293233082706767,-0.25540519186289484,1.2177281043819115,0.0
