target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_holdout_points,0.19907794824112818,0.425
T02,1359.47,ModeB_holdout_points,0.15938222961249277,0.40909090909090906
T03,1359.59,ModeB_holdout_points,0.20256179296451263,0.625
T04,1359.68,ModeB_holdout_points,0.07938598323786183,0.125
T05,816.22,ModeB_holdout_points,0.01052295918367347,0.0625
T06,874.45,ModeB_holdout_points,0.18245220660574257,0.375
T07,874.37,ModeB_holdout_points,0.10992584330955635,0.3273809523809524
T08,816.28,ModeB_holdout_points,0.10338114547539193,0.275
T09,816.15,ModeB_holdout_points,0.13505741960336137,0.25
T10,1359.91,ModeB_holdout_points,0.14983153150671114,0.275
T11,1529.53,ModeB_holdout_points,0.1820552247539635,0.375
T12,816.35,ModeB_holdout_points,0.1858184893564383,0.425
