target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.02856740579239219,ModeA_points,ModeB_points,-0.2727272727272727,0.0
T01,1359.8,1,0.07843906541447432,ModeA_points,ModeB_points,0.125,0.5661923955110021
T01,1359.8,2,0.10515980938415374,ModeA_points,ModeB_points,0.125,0.20086335781864573
T01,1359.8,3,0.12429149635278947,ModeA_points,ModeB_points,-0.06499999999999995,2.250083843877606
T01,1359.8,4,0.13916901305263268,ModeA_points,ModeB_points,-0.19166666666666665,0.9744043939317535
T01,1359.8,5,0.15052366605188,ModeA_points,ModeB_points,0.1875,1.690938404654109
T01,1359.8,6,0.15903123329390342,ModeA_points,ModeB_points,0.125,36.75113177156245
T01,1359.8,7,0.5808853194327793,ModeA_points,ModeB_points,-0.15710382513661203,4.761363743497523
T02,1359.47,0,0.007940820904474377,ModeA_points,ModeB_points,0.375,
T02,1359.47,1,0.03970340007685269,ModeA_points,ModeB_points,0.41666666666666663,
T02,1359.47,2,0.08142512747931963,ModeA_points,ModeB_points,0.1111111111111111,0.0
T02,1359.47,3,0.10515980938415374,ModeA_points,ModeB_points,0.55,1.534082763405951
T02,1359.47,4,0.12429149635278947,ModeA_points,ModeB_points,-0.22499999999999998,0.8101142040971556
T02,1359.47,5,0.13916901305263268,ModeA_points,ModeB_points,0.1333333333333333,0.8970743715721305
T02,1359.47,6,0.15052366605188,ModeA_points,ModeB_points,-0.09375,0.7144071196360746
T02,1359.47,7,0.5782071625459475,ModeA_points,ModeB_points,-0.0130385487528345,0.9248837878091031
T03,1359.59,0,0.024270520016971782,ModeA_points,ModeB_points,0.19318181818181818,
T03,1359.59,1,0.07286155329274938,ModeA_points,ModeB_points,0.4144736842105263,1.5666466609155871
T03,1359.59,2,0.10449188354485281,ModeA_points,ModeB_points,0.10227272727272729,4.114049490690755
T03,1359.59,3,0.12428785300457175,ModeA_points,ModeB_points,-0.1346153846153846,0.6375297168768533
T03,1359.59,4,0.13916901305263268,ModeA_points,ModeB_points,-0.04999999999999999,0.6641637679018848
T03,1359.59,5,0.15052366605188,ModeA_points,ModeB_points,0.0,5.137866993306643
T03,1359.59,6,0.15903123329390342,ModeA_points,ModeB_points,-0.10714285714285715,0.12739249702422906
T03,1359.59,7,0.5808853194327793,ModeA_points,ModeB_points,-0.07240437158469942,6.329494976319799
T04,1359.68,0,0.021992207811516912,ModeA_points,ModeB_points,0.05,
T04,1359.68,1,0.07144826296433338,ModeA_points,ModeB_points,0.0,
T04,1359.68,2,0.10449188354485281,ModeA_points,ModeB_points,-0.05681818181818182,0.0
T04,1359.68,3,0.12428785300457175,ModeA_points,ModeB_points,0.15384615384615385,
T04,1359.68,4,0.13916901305263268,ModeA_points,ModeB_points,0.03333333333333333,
T04,1359.68,5,0.15052366605188,ModeA_points,ModeB_points,0.09375,
T04,1359.68,6,0.15903123329390342,ModeA_points,ModeB_points,0.07142857142857142,
