target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_points,0.15612472056631893,0.2727272727272727
T02,1359.47,ModeB_points,0.23973745748299322,0.55
T03,1359.59,ModeB_points,0.13426135537600162,0.4144736842105263
T04,1359.68,ModeB_points,0.06439839617349863,0.15384615384615385
T05,816.22,ModeB_points,0.0041272271714922065,0.03301781737193765
T06,874.45,ModeB_points,0.16269685175935175,0.3
T07,874.37,ModeB_points,0.1147476522692262,0.30603448275862066
T08,816.28,ModeB_points,0.11884723222753488,0.25
T09,816.15,ModeB_points,0.1766991616343251,0.38888888888888884
T10,1359.91,ModeB_points,0.10869929479511954,0.25
T11,1529.53,ModeB_points,0.16604220483929671,0.32142857142857145
T12,816.35,ModeB_points,0.17452374523488895,0.33653846153846156
