target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_holdout_points,0.13204226716256004,0.22499999999999998
T02,1359.47,ModeB_holdout_points,0.1816251365593471,0.4423076923076923
T03,1359.59,ModeB_holdout_points,0.19136230241748026,0.375
T04,1359.68,ModeB_holdout_points,0.04423030724021295,0.10526315789473684
T05,816.22,ModeB_holdout_points,0.016550630668934238,0.125
T06,874.45,ModeB_holdout_points,0.12504207818591528,0.25
T07,874.37,ModeB_holdout_points,0.1352385886887823,0.375
T08,816.28,ModeB_holdout_points,0.054528814805489344,0.175
T09,816.15,ModeB_holdout_points,0.14973692869076516,0.3295454545454546
T10,1359.91,ModeB_holdout_points,0.15475215751792987,0.375
T11,1529.53,ModeB_holdout_points,0.15115161947117148,0.35
T12,816.35,ModeB_holdout_points,0.1655127177744074,0.4
