target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_points,0.2060409791711021,0.425
T02,1359.47,ModeB_points,0.22125673185941042,0.35
T03,1359.59,ModeB_points,0.14180977676515316,0.3035714285714286
T04,1359.68,ModeB_points,0.048642725102766085,0.11538461538461539
T05,816.22,ModeB_points,0.04422896841465884,0.125
T06,874.45,ModeB_points,0.21114796661671661,0.45454545454545453
T07,874.37,ModeB_points,0.08881295917762769,0.275
T08,816.28,ModeB_points,0.17523269335601632,0.27717391304347827
T09,816.15,ModeB_points,0.13923708670900867,0.29166666666666663
T10,1359.91,ModeB_points,0.11936631441697579,0.25
T11,1529.53,ModeB_points,0.20669944475917706,0.5
T12,816.35,ModeB_points,0.12651310077996294,0.35
