target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.004412881153552691,ModeA_points,ModeB_holdout_points,-0.2222222222222222,
T01,1359.8,1,0.01595734449985362,ModeA_points,ModeB_holdout_points,0.0,
T01,1359.8,2,0.06883309088167935,ModeA_points,ModeB_holdout_points,0.08333333333333331,0.39559514755611636
T01,1359.8,3,0.1263063164557513,ModeA_points,ModeB_holdout_points,-0.5,1.2209510446290763
T01,1359.8,4,0.1461649808271278,ModeA_points,ModeB_holdout_points,0.25,0.7080337810413319
T01,1359.8,5,0.16006722105024662,ModeA_points,ModeB_holdout_points,0.025000000000000022,0.9665312776205184
T01,1359.8,6,0.16798612839647648,ModeA_points,ModeB_holdout_points,0.3,0.4024871818807731
T01,1359.8,7,0.5853018247701445,ModeA_points,ModeB_holdout_points,0.0750658608399194,0.7930649090469214
T02,1359.47,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,-0.3181818181818182,2.173827202763065
T02,1359.47,1,0.02876741847903696,ModeA_points,ModeB_holdout_points,-0.2692307692307692,1.1551568292517238
T02,1359.47,2,0.0889835613482258,ModeA_points,ModeB_holdout_points,-0.20833333333333337,0.6105369674339949
T02,1359.47,3,0.13846613963391358,ModeA_points,ModeB_holdout_points,-0.17045454545454541,0.059565235515734255
T02,1359.47,4,0.15434882613821935,ModeA_points,ModeB_holdout_points,0.3,2.2757233537856756
T02,1359.47,5,0.1647832953661028,ModeA_points,ModeB_holdout_points,-0.23863636363636365,0.0
T02,1359.47,6,0.17120579175793643,ModeA_points,ModeB_holdout_points,-0.16666666666666663,0.603412535284191
T02,1359.47,7,0.5866111563031892,ModeA_points,ModeB_holdout_points,-0.008430166324903232,0.8961189158648223
T03,1359.59,0,0.005316659071309933,ModeA_points,ModeB_holdout_points,0.25,3.7027148377813837
T03,1359.59,1,0.02116217298599692,ModeA_points,ModeB_holdout_points,-0.06944444444444442,0.4452182001697093
T03,1359.59,2,0.0723230657588784,ModeA_points,ModeB_holdout_points,-0.1964285714285714,0.8110560777549116
T03,1359.59,3,0.1263063164557513,ModeA_points,ModeB_holdout_points,0.5,0.5522756874124387
T03,1359.59,4,0.1461649808271278,ModeA_points,ModeB_holdout_points,0.3125,
T03,1359.59,5,0.16006722105024662,ModeA_points,ModeB_holdout_points,0.024999999999999994,0.0
T03,1359.59,6,0.16798612839647648,ModeA_points,ModeB_holdout_points,-0.1,
T03,1359.59,7,0.5853018247701445,ModeA_points,ModeB_holdout_points,0.03441810010847668,0.8988260190356991
T04,1359.68,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,0.0,
T04,1359.68,1,0.02310051715780273,ModeA_points,ModeB_holdout_points,0.125,
T04,1359.68,2,0.07858065627508085,ModeA_points,ModeB_holdout_points,-0.07692307692307693,
T04,1359.68,3,0.12821480058678353,ModeA_points,ModeB_holdout_points,0.0,
T04,1359.68,4,0.14731470788598583,ModeA_points,ModeB_holdout_points,-0.125,
T04,1359.68,5,0.16116347918552476,ModeA_points,ModeB_holdout_points,-0.10526315789473684,
T04,1359.68,6,0.16909299132485972,ModeA_points,ModeB_holdout_points,0.125,
T04,1359.68,7,0.5860271499502157,ModeA_points,ModeB_holdout_points,-0.06897474652056175,0.11014419388360676
T05,816.22,0,0.0,ModeA_points,ModeB_holdout_points,0.017857142857142905,0.7574232181812698
T05,816.22,1,0.0,ModeA_points,ModeB_holdout_points,-0.125,0.6961336319096225
T05,816.22,2,0.0,ModeA_points,ModeB_holdout_points,0.0,4.388139452291354
T05,816.22,3,0.0,ModeA_points,ModeB_holdout_points,-0.125,1.0187550064012287
T05,816.22,4,0.000346313614917381,ModeA_points,ModeB_holdout_points,-0.03409090909090906,2.145854829463016
T05,816.22,5,0.0016839747538813258,ModeA_points,ModeB_holdout_points,-0.008333333333333304,0.5452655377803783
T05,816.22,6,0.0034036786689778187,ModeA_points,ModeB_holdout_points,0.125,0.4651511370005971
T05,816.22,7,0.5022270932836347,ModeA_points,ModeB_holdout_points,0.059948979591836704,1.1047726870739918
T06,874.45,0,0.0082424044675146,ModeA_points,ModeB_holdout_points,-0.17045454545454547,3.83637711750403
T06,874.45,1,0.028433427589498364,ModeA_points,ModeB_holdout_points,0.125,0.3346243141658405
T06,874.45,2,0.08120003595864428,ModeA_points,ModeB_holdout_points,-0.10714285714285715,0.6714990607105515
T06,874.45,3,0.1345425418262956,ModeA_points,ModeB_holdout_points,-0.041666666666666685,0.2037064623659151
T06,874.45,4,0.1521911981505308,ModeA_points,ModeB_holdout_points,0.11538461538461536,2.309917178394835
