target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_holdout_points,0.18195267704943435,0.5
T02,1359.47,ModeB_holdout_points,0.20999170785354995,0.3181818181818182
T03,1359.59,ModeB_holdout_points,0.18597388949768656,0.5
T04,1359.68,ModeB_holdout_points,0.07827012266729694,0.125
T05,816.22,ModeB_holdout_points,0.06190379560915275,0.125
T06,874.45,ModeB_holdout_points,0.12060141960561502,0.25
T07,874.37,ModeB_holdout_points,0.10157284028349778,0.23076923076923078
T08,816.28,ModeB_holdout_points,0.073384494423567,0.17045454545454547
T09,816.15,ModeB_holdout_points,0.10833691398538382,0.1826923076923077
T10,1359.91,ModeB_holdout_points,0.12001417488114838,0.19642857142857145
T11,1529.53,ModeB_holdout_points,0.16374776856839343,0.375
T12,816.35,ModeB_holdout_points,0.20438702935808764,0.3333333333333333
