target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T01,1359.8,30.0,ModeA_points,0,0.0,0.05713481158478438,0.02856740579239219,8,2,0.25,0.8319438330785265,2.1360312858847337,0.0
T01,1359.8,30.0,ModeB_points,0,0.0,0.05713481158478438,0.02856740579239219,22,0,0.0,,,0.0
T01,1359.8,30.0,ModeA_points,1,0.06107848660741087,0.09579964422153776,0.07843906541447432,20,11,0.55,-0.5821724299368407,1.562831456046851,0.0
T01,1359.8,30.0,ModeB_points,1,0.06107848660741087,0.09579964422153776,0.07843906541447432,8,7,0.875,0.734857322937863,1.790182570471389,0.0
T01,1359.8,30.0,ModeA_points,2,0.09595598973828504,0.11436362903002245,0.10515980938415374,10,3,0.3,0.06933266380932013,0.47667612658589453,0.0
T01,1359.8,30.0,ModeB_points,2,0.09595598973828504,0.11436362903002245,0.10515980938415374,8,5,0.625,-1.5968704845146826,0.5495643341074263,0.0
T01,1359.8,30.0,ModeA_points,3,0.1143709157264579,0.13421207697912105,0.12429149635278947,8,4,0.5,0.007617530917720106,0.7181396129481423,0.0
T01,1359.8,30.0,ModeB_points,3,0.1143709157264579,0.13421207697912105,0.12429149635278947,25,10,0.4,-1.0991779730192772,0.9374839740131173,0.0
T01,1359.8,30.0,ModeA_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,5,0.625,-1.0961509001046421,0.30966590724108967,0.0
T01,1359.8,30.0,ModeB_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,8,0.26666666666666666,-1.2164399771754018,1.1976406094576781,0.0
T01,1359.8,30.0,ModeA_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,8,3,0.375,1.367950739751329,0.1909755970454916,0.0
T01,1359.8,30.0,ModeB_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,32,14,0.4375,-1.24921661492486,1.120337047087111,0.0
T01,1359.8,30.0,ModeA_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,8,3,0.375,0.3880834997215783,0.11278890987228563,0.0
T01,1359.8,30.0,ModeB_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,14,5,0.35714285714285715,-1.7488030498387628,0.7827866692276542,0.0
T01,1359.8,30.0,ModeA_points,7,0.16177063886555873,1.0,0.5808853194327793,244,170,0.6967213114754098,-0.2822313059835117,1.0369444088552309,0.0
T01,1359.8,30.0,ModeB_points,7,0.16177063886555873,1.0,0.5808853194327793,183,101,0.5519125683060109,-0.3375156529757499,1.1587386595594824,0.0
T02,1359.47,30.0,ModeA_points,0,0.0,0.015881641808948754,0.007940820904474377,8,0,0.0,,,0.0
T02,1359.47,30.0,ModeB_points,0,0.0,0.015881641808948754,0.007940820904474377,8,2,0.25,-1.6681987011982584,0.11618828354197985,0.0
T02,1359.47,30.0,ModeA_points,1,0.017210057616487234,0.062196742537218144,0.03970340007685269,8,1,0.125,0.6021492843472938,0.0,0.0
T02,1359.47,30.0,ModeB_points,1,0.017210057616487234,0.062196742537218144,0.03970340007685269,9,4,0.4444444444444444,1.1415746617833316,0.434189485612507,0.0
T02,1359.47,30.0,ModeA_points,2,0.0670506107371015,0.09579964422153776,0.08142512747931963,18,5,0.2777777777777778,-0.1429654260526676,1.1790010820139476,0.0
T02,1359.47,30.0,ModeB_points,2,0.0670506107371015,0.09579964422153776,0.08142512747931963,8,3,0.375,-1.3137112677442995,0.4578854586635135,0.0
T02,1359.47,30.0,ModeA_points,3,0.09595598973828504,0.11436362903002245,0.10515980938415374,10,4,0.4,-1.3810707472387453,0.45906617011245987,0.0
T02,1359.47,30.0,ModeB_points,3,0.09595598973828504,0.11436362903002245,0.10515980938415374,8,5,0.625,-0.37966130733823755,0.9364042764279445,0.0
T02,1359.47,30.0,ModeA_points,4,0.1143709157264579,0.13421207697912105,0.12429149635278947,8,6,0.75,-1.6250782356269182,0.5893466037723409,0.0
T02,1359.47,30.0,ModeB_points,4,0.1143709157264579,0.13421207697912105,0.12429149635278947,25,6,0.24,-0.6453589297519112,1.4492422423083158,0.0
T02,1359.47,30.0,ModeA_points,5,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,4,0.5,-0.4325721163109386,0.7076588257129769,0.0
T02,1359.47,30.0,ModeB_points,5,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,12,0.4,-0.6081035880703243,1.3425828638692399,0.0
T02,1359.47,30.0,ModeA_points,6,0.14464668789571283,0.15640064420804714,0.15052366605188,8,4,0.5,-2.1719248342843174,0.39353522161804133,0.0
T02,1359.47,30.0,ModeB_points,6,0.14464668789571283,0.15640064420804714,0.15052366605188,32,12,0.375,-1.2303003772005678,1.3239960631753638,0.0
T02,1359.47,30.0,ModeA_points,7,0.1564143250918949,1.0,0.5782071625459475,252,151,0.5992063492063492,-1.0765107582322533,1.2735312831001293,0.0
T02,1359.47,30.0,ModeB_points,7,0.1564143250918949,1.0,0.5782071625459475,196,101,0.5153061224489796,-1.0531995673642076,1.2613861500816832,0.0
T03,1359.59,30.0,ModeA_points,0,0.0,0.048541040033943564,0.024270520016971782,8,1,0.125,-2.3257565455027773,0.0,0.0
T03,1359.59,30.0,ModeB_points,0,0.0,0.048541040033943564,0.024270520016971782,22,6,0.2727272727272727,1.5356893010687247,0.9883075376401707,0.0
T03,1359.59,30.0,ModeA_points,1,0.051367620690775585,0.09435548589472317,0.07286155329274938,19,4,0.21052631578947367,0.012443994139350156,1.1663245836653782,0.0
T03,1359.59,30.0,ModeB_points,1,0.051367620690775585,0.09435548589472317,0.07286155329274938,8,2,0.25,-1.233312088210403,0.49627514662951033,0.0
T03,1359.59,30.0,ModeA_points,2,0.09491169354212527,0.11407207354758034,0.10449188354485281,11,1,0.09090909090909091,-2.000957220170173,0.0,0.0
T03,1359.59,30.0,ModeB_points,2,0.09491169354212527,0.11407207354758034,0.10449188354485281,8,2,0.25,0.378015620228904,0.6759530089923256,0.0
T03,1359.59,30.0,ModeA_points,3,0.11436362903002245,0.13421207697912105,0.12428785300457175,8,1,0.125,-1.0655020111999796,0.0,0.0
T03,1359.59,30.0,ModeB_points,3,0.11436362903002245,0.13421207697912105,0.12428785300457175,26,2,0.07692307692307693,-1.12748731690405,0.4007949833240545,0.0
T03,1359.59,30.0,ModeA_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,1,0.125,-1.665263673428505,0.0,0.0
T03,1359.59,30.0,ModeB_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,3,0.1,-1.925890890977787,0.2540605681136925,0.0
T03,1359.59,30.0,ModeA_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,8,1,0.125,-2.4998608459451894,0.0,0.0
T03,1359.59,30.0,ModeB_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,32,3,0.09375,-2.4652865818775247,0.45507320441019816,0.0
T03,1359.59,30.0,ModeA_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,8,3,0.375,-1.8484127098527627,0.6993697231359477,0.0
T03,1359.59,30.0,ModeB_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,14,2,0.14285714285714285,-1.7331620138152777,1.205393083740218,0.0
T03,1359.59,30.0,ModeA_points,7,0.16177063886555873,1.0,0.5808853194327793,244,41,0.1680327868852459,-2.050121576856801,0.6963676769837277,0.0
