target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_points,0.1979374024199844,0.35833333333333334
T02,1359.47,ModeB_points,0.21382086167800451,0.51
T03,1359.59,ModeB_points,0.08688209102696269,0.23214285714285715
T04,1359.68,ModeB_points,0.06164831155865992,0.14285714285714285
T05,816.22,ModeB_points,0.023251796922453938,0.125
T06,874.45,ModeB_points,0.13930808774558773,0.3
T07,874.37,ModeB_points,0.0894572890745349,0.275
T08,816.28,ModeB_points,0.162193182783611,0.2894736842105263
T09,816.15,ModeB_points,0.11121130981321403,0.275
T10,1359.91,ModeB_points,0.15489796536312947,0.375
T11,1529.53,ModeB_points,0.2243513229261742,0.4285714285714286
T12,816.35,ModeB_points,0.14464492517095157,0.36538461538461536
