target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_holdout_points,0.16180942972260964,0.5
T02,1359.47,ModeB_holdout_points,0.21672373678952628,0.425
T03,1359.59,ModeB_holdout_points,0.1559761448163645,0.5
T04,1359.68,ModeB_holdout_points,0.09501098323786183,0.125
T05,816.22,ModeB_holdout_points,0.027822066326530615,0.125
T06,874.45,ModeB_holdout_points,0.14280412060934194,0.375
T07,874.37,ModeB_holdout_points,0.11275603198880163,0.3273809523809524
T08,816.28,ModeB_holdout_points,0.08299231897342675,0.275
T09,816.15,ModeB_holdout_points,0.10693241960336135,0.2678571428571429
T10,1359.91,ModeB_holdout_points,0.1264995438378914,0.4
T11,1529.53,ModeB_holdout_points,0.18816671779828573,0.375
T12,816.35,ModeB_holdout_points,0.1742139571926956,0.375
