target_label,target_mz,compare,mean_abs_delta_p_success,max_abs_delta_p_success
T01,1359.8,ModeB_points,0.1890212391774892,0.425
T02,1359.47,ModeB_points,0.17851155045351474,0.35
T03,1359.59,ModeB_points,0.23357223310375275,0.45454545454545453
T04,1359.68,ModeB_points,0.037083715464863005,0.125
T05,816.22,ModeB_points,0.01651270500101235,0.1321016400080988
T06,874.45,ModeB_points,0.11517631673881673,0.32954545454545453
T07,874.37,ModeB_points,0.0827737686139748,0.125
T08,816.28,ModeB_points,0.030185729386193443,0.07142857142857142
T09,816.15,ModeB_points,0.11716790540943978,0.275
T10,1359.91,ModeB_points,0.10391597150222742,0.25
T11,1529.53,ModeB_points,0.21694834228707327,0.5
T12,816.35,ModeB_points,0.16290502376004576,0.375
