scan,tic,g,drift_obs_ppm,width_obs_ppm,drift_state_ppm,alpha_eff
0,3283382.1299397945,0.01522264820171936,-4.208791674172012,0.0,-4.208791674172012,0.3
1,2380487.9334179163,0.0,-7.4019407081210895,0.0,-5.166736384356735,0.3
2,2509873.474432647,0.0,-7.528600024802124,0.0,-5.8752954764903516,0.3
3,2525324.9732123613,0.0,-7.286297536398337,0.0,-6.298596094462747,0.3
4,2530265.7412890196,0.0,-8.390266480200756,0.0,-6.92609721018415,0.3
5,2401881.2098402977,0.0,-6.883318281965353,0.0,-6.913263531718511,0.3
6,2462515.8906633854,0.0,-8.535709058155092,0.0,-7.399997189649485,0.3
7,2390783.260497451,0.0,-6.677498633816026,0.0,-7.183247622899447,0.3
8,2351516.6440737844,0.0,-8.099092189478071,0.0,-7.458000992873035,0.3
9,2513904.681209579,0.0,-8.505725049887838,0.0,-7.772318209977476,0.3
10,2397256.0959011912,0.0,-9.705630520957316,0.0,-8.352311903271428,0.3
11,2923717.602377236,0.005007651206608168,-9.558065823473553,0.0,-8.714038079332065,0.3
12,3979136.5078048706,0.03498308698447094,-9.009569548367699,0.0,-8.802697520042756,0.3
13,5352533.394866943,0.07398956107161578,-4.341294795445141,0.0,-7.464276702663471,0.3
14,5944532.884994507,0.09080320976180689,-4.618921245841848,0.0,-6.610670065616985,0.3
15,5420561.153549194,0.0759216486067216,-11.252076320386768,0.0,-8.00309194204792,0.3
16,5281090.863632202,0.07196048901707718,-10.83299371274086,0.0,-8.852062473255803,0.3
17,4588534.853096008,0.05229088852987619,-10.131582959621806,0.0,-9.235918619165604,0.3
18,3770235.6350193024,0.02904999760742772,-8.967535992205756,0.0,-9.155403831077649,0.3
19,3789452.792415075,0.029595792897229415,-10.390862742443902,0.0,-9.526041504487525,0.3
20,4006572.075941518,0.03576229712224655,-7.95576789863869,0.0,-9.054959422732875,0.3
21,4677780.497927576,0.05482559496856623,-9.792470752096468,0.0,-9.276212821541954,0.3
22,6470132.466704965,0.1057310042379251,-9.9318951849339,0.0,-9.472917530559538,0.3
23,4969517.163305223,0.06311134163475109,-10.63178286132833,0.0,-9.820577129790177,0.3
24,5196242.3015419245,0.0695506661394487,-10.966877897879948,0.0,-10.164467360217108,0.3
25,4407854.425876617,0.04715930095400535,-9.881971009122502,16.343160621377137,-10.079718454888726,0.3
26,3548658.1138662696,0.02275687293343905,-9.186417694603282,4.478016278347198,-9.811728226803092,0.3
27,3556811.522005558,0.022988441612750245,-10.183740300268807,0.0,-9.923331848842807,0.3
28,3383915.835397616,0.0180779520208607,-8.537113317356207,0.0,-9.507466289396827,0.3
29,3149993.6343551874,0.011434220438733572,-8.23158911049933,0.0,-9.124703135727579,0.3
30,3117129.5615745187,0.010500832853984184,-8.677686441043699,0.0,-8.990598127322414,0.3
31,2675908.3499735594,0.0,-8.92839732326513,0.0,-8.971937886105229,0.3
32,2889038.8407482207,0.004022723812641156,-8.374834504300177,0.0,-8.792806871563712,0.3
33,2737897.081685409,0.0,-9.203101039140588,0.0,-8.915895121836774,0.3
34,2743086.2245913744,0.0,-8.307419920781275,0.0,-8.733352561520125,0.3
35,2613870.2637119293,0.0,-8.990179041543707,0.0,-8.810400505527198,0.3
36,2627059.1747295856,0.0,-9.414706982404416,0.0,-8.991692448590364,0.3
37,2602167.789901376,0.0,-9.881755735653302,0.0,-9.258711434709245,0.3
38,2791512.1459926367,0.0012528234818443256,-8.919810554684888,0.0,-9.157041170701937,0.3
39,2942203.378196666,0.005532674193243772,-10.094635695361434,0.0,-9.438319528099786,0.3
40,2581726.5941339135,0.0,-8.871752136547766,17.41144734465027,-9.26834931063418,0.3
41,2600754.642994046,0.0,-9.352984006968148,0.0,-9.29373971953437,0.3
42,2445801.4730727673,0.0,-9.715216712753737,0.0,-9.42018281750018,0.3
43,2505110.0495746136,0.0,-9.566804503169207,0.0,-9.464169323200888,0.3
44,2716225.1262152195,0.0,-7.926938197313952,0.0,-9.002999985434807,0.3
45,2503655.107281685,0.0,-9.377211044394233,0.0,-9.115263303122635,0.3
46,2587481.240337208,0.0,-8.853631918217022,0.0,-9.036773887650952,0.3
47,2507139.2566640377,0.0,-9.166025363993844,19.19965214316158,-9.07554933055382,0.3
48,2531004.30876565,0.0,-9.818266564533975,0.0,-9.298364500747866,0.3
49,2557580.4500437975,0.0,-8.794553672159472,0.0,-9.147221252171347,0.3
50,2733562.565334618,0.0,-7.970583813251378,0.0,-8.794230020495355,0.3
51,2574523.3049901724,0.0,-8.663690705331128,9.964277257393523,-8.755068225946086,0.3
52,2535436.4180521965,0.0,-8.14121315491471,0.0,-8.570911704636673,0.3
53,2611260.7055161,0.0,-8.616171866916078,0.0,-8.584489753320495,0.3
54,2954800.7348273993,0.005890457489253973,-11.517266076181349,0.0,-9.464322650178751,0.3
55,2598925.15540904,0.0,-7.974573560628772,0.0,-9.017397923313757,0.3
56,2690535.6353217363,0.0,-9.9826844220033,0.0,-9.30698387292062,0.3
57,2564435.408661008,0.0,-8.328550250176097,0.0,-9.013453786097262,0.3
58,2682699.087386906,0.0,-9.706626852752844,0.0,-9.221405706093936,0.3
59,2851852.79189156,0.0029665858056346778,-7.547546426729342,0.0,-8.719247922284557,0.3
60,2922249.0178829804,0.004965941265687522,-4.345212531873008,0.0,-7.407037305161093,0.3
61,2987734.656628251,0.0068258288880206,-8.870605189401022,7.147863818783261,-7.846107670433072,0.3
62,3247268.3142748475,0.014196963180737501,-9.78200616310325,0.0,-8.426877218234125,0.3
63,3214509.453015715,0.013266563756604411,-7.762223733250061,0.0,-8.227481172738907,0.3
64,3269178.038082123,0.014819231282548305,-9.967125105478853,5.194364344515471,-8.74937435256089,0.3
65,3233748.953124523,0.013812993612033326,-10.846829091401304,0.0,-9.378610774213014,0.3
66,3505608.9924468994,0.021534215116942104,-8.010070441886924,0.0,-8.968048674515186,0.3
67,4233696.8386154175,0.04221297154363685,-12.17958420546511,0.0,-9.931509333800163,0.3
68,3919608.039904356,0.03329239170003936,-10.332376251405496,0.0,-10.051769409081762,0.3
69,4261608.923187256,0.04300571544296128,-12.283473581655578,0.0,-10.721280660853907,0.3
70,3889347.121116638,0.03243293748424357,-5.513107684254032,0.0,-9.158828767873944,0.3
71,3746405.6513442993,0.02837319132552002,-10.909506055571898,0.0,-9.68403195418333,0.3
72,3716673.886604607,0.027528765856226323,-10.326545680795906,0.0,-9.876786072167103,0.3
73,3832144.6466293335,0.03080830380418429,-10.0364741652133,16.168068363388333,-9.924692500080962,0.3
74,4020065.4057964087,0.036145527364205225,-9.249062805093063,0.0,-9.722003591584592,0.3
75,4260896.807311118,0.04298549031377153,-9.764694514026575,0.0,-9.734810868317187,0.3
76,4689627.631510228,0.05516207083614096,-12.764318009110275,0.0,-10.643663010555112,0.3
77,5102414.388571829,0.0668858166044042,-8.735539866518149,0.0,-10.071226067344023,0.3
78,4665495.226771712,0.05447667535508156,-8.444318347467856,0.0,-9.583153751381174,0.3
79,5140934.102165222,0.06797983263449663,-11.25959022225968,0.0,-10.086084692644725,0.3
80,4772226.273013741,0.0575079926885869,-8.775450344176518,0.0,-9.692894388104262,0.3
81,4896607.81039381,0.06104060970588151,-11.986741473881054,0.0,-10.3810485138373,0.3
82,4295351.1615839,0.04396404421162223,-8.698300627153165,0.0,-9.876224147832058,0.3
83,4886333.841464043,0.060748814008216585,-7.459991113710137,5.018445665711526,-9.151354237595482,0.3
84,5285442.244533896,0.0720840745792582,-8.50843836618392,0.0,-8.958479476172014,0.3
85,5452445.287309647,0.07682720449448731,-9.335801662566817,0.0,-9.071676132090456,0.3
86,4220564.37770915,0.04183999050598754,-9.14199096532213,0.0,-9.092770582059957,0.3
87,3870722.2072480917,0.03190396277414149,-9.357872971379445,0.0,-9.172301298855803,0.3
88,4079702.517082572,0.037839308279197764,-8.584658124401143,0.0,-8.996008346519405,0.3
89,5215312.040950298,0.07009227454346405,-8.813575569100022,0.0,-8.94127851329359,0.3
90,5143407.142951012,0.06805007059865403,-12.000503135913338,0.0,-9.859045900079513,0.3
91,3757013.1493401527,0.028674459734967052,-10.644042570809843,10.208341487543166,-10.094544901298612,0.3
92,3933276.010826856,0.033680582002955234,-11.035055776348301,0.0,-10.376698163813519,0.3
93,4440196.455815375,0.04807786176087485,-10.039611594476433,10.646745268750646,-10.275572193012392,0.3
94,4239876.0878965445,0.0423884712329349,-10.070077096210834,0.0,-10.213923663971926,0.3
95,3764256.9345973134,0.0288801937981414,-9.94940415690446,0.0,-10.134567811851687,0.3
96,3752012.941782795,0.028532446549737217,-10.361123699351829,3.748686335162425,-10.20253457810173,0.3
97,4340373.873071313,0.045242754863663616,-10.54526525806319,0.0,-10.305353782090167,0.3
98,4987899.332145691,0.06363342203211901,-11.462666110270355,0.0,-10.652547480544223,0.3
99,7009391.792358398,0.12104675535874526,-9.72916756694413,0.0,-10.375533506464196,0.3
100,7556062.764671326,0.13657300805131797,-12.788874222595053,0.0,-11.099535721303454,0.3
101,5188003.0798950195,0.06931666023139998,-12.282620798470195,0.0,-11.454461244453476,0.3
102,4293570.498188019,0.043913470774865744,-10.825855343193666,0.0,-11.265879474075533,0.3
103,4304387.160774231,0.04422067976365342,-9.439640903839628,10.086942407070866,-10.71800790300476,0.3
104,4902058.185264587,0.06119540829918324,-12.460218434606057,0.0,-11.24067106248515,0.3
105,4253862.964233398,0.04278571891460154,-4.837005631227191,0.0,-9.319571433107763,0.3
106,4042722.4803390503,0.03678902131658238,-10.286323799230649,0.0,-9.60959714294463,0.3
107,3858367.503051758,0.03155307116106995,-3.7365023726328426,2.2228254277333717,-7.847668711851093,0.3
108,4462832.403274536,0.04872075567327662,-9.544061982096428,0.0,-8.356586692924694,0.3
109,3412083.8591529876,0.01887796496617206,-4.527448969424043,0.0,-7.2078453758744985,0.3
110,3496059.4582128525,0.021262994420904645,-10.125337324805425,5.4370496823783165,-8.083092960553776,0.3
111,3264508.66105026,0.014686614166613172,-4.041525437707841,0.0,-6.870622703699995,0.3
112,3260989.9749182463,0.014586678350009716,-9.623991038801034,0.0,-7.696633204230307,0.3
113,3404458.8074986935,0.018661402381409974,-8.343199371118901,0.0,-7.890603054296885,0.3
114,3346944.188667178,0.017027903346850042,-3.541521060592336,0.0,-6.585878456185521,0.3
115,3590300.906801939,0.023939588970488077,-9.915507991112818,6.208884444998613,-7.58476731666371,0.3
116,3344768.545293331,0.016966111902814975,-3.6412311597608276,0.0,-6.401706469592845,0.3
117,3256142.8438620567,0.01444901276060773,-5.432952762464976,0.0,-6.111080357454485,0.3
118,3450455.526619017,0.019967776270387264,-8.273144385792337,17.932123320908055,-6.759699565955841,0.3
119,3154716.690476656,0.011568362119080825,-4.143749142523443,0.0,-5.974914438926121,0.3
120,3875370.5659599304,0.03203598293914198,-10.341191655857799,0.0,-7.284797604005624,0.3
121,3373879.430688083,0.017792903493433248,-8.24115593881793,0.0,-7.5717051044493155,0.3
122,3647135.86583817,0.025553784675877416,-3.5783863549183668,0.0,-6.373709479590031,0.3
123,3891310.0801392533,0.032488688382597185,-9.720478597487531,0.0,-7.377740214959281,0.3
124,4549336.171291776,0.051177588812619794,-9.639802695060599,0.0,-8.056358958989676,0.3
125,4040755.8948100805,0.03673316742016064,-9.343777674789932,0.0,-8.442584573729754,0.3
126,3795392.6009188592,0.029764492119331985,-8.986683877595736,3.0049178705416493,-8.605814364889548,0.3
127,4013251.5364751406,0.03595200354045331,-9.305415761257944,0.0,-8.815694783800067,0.3
128,3863580.5674057007,0.03170112978968071,-4.2371148291956535,0.0,-7.4421207974187435,0.3
129,3766821.2320861816,0.028953023585723953,-10.790504882036,0.0,-8.44663602280392,0.3
130,4148478.5758514404,0.039792648627829684,-5.196189087128637,0.0,-7.471501942101336,0.3
131,4576936.4203186035,0.05196147612779108,-3.0571607708086916,0.0,-6.147199590713543,0.3
132,4802678.1818237305,0.05837287129949005,-10.261580048288247,7.912740750715131,-7.381513727985954,0.3
133,4623404.891983032,0.05328124847686431,-10.729653497239001,0.0,-8.385955658761869,0.3
134,4653616.053741455,0.0541392895204794,-9.898617843417824,0.0,-8.839754314158656,0.3
135,5284343.10546875,0.07205285742719772,-10.349333026284196,6.2749173759675365,-9.292627927796318,0.3
136,6009390.831939697,0.0926452700218056,-9.038742431927195,0.0,-9.21646227903558,0.3
137,5746353.049942017,0.0851746134882956,-8.846435070886024,0.0,-9.105454116590714,0.3
138,5801278.318511963,0.08673457119999983,-11.683852041178767,0.0,-9.87897349396713,0.3
139,6351931.8023376465,0.10237393302627415,-11.500513927024922,0.0,-10.365435623884467,0.3
140,7898415.006500244,0.14629631088924852,-10.289082494712616,0.0,-10.342529685132913,0.3
141,5392948.256210327,0.0751374020610464,-9.99729480456913,0.0,-10.238959220963778,0.3
142,4908772.805282593,0.061386113298011094,-13.458804711355725,0.0,-11.204912868081362,0.3
143,4345291.192054749,0.045382413892537575,-10.781718141648248,0.0,-11.077954450151427,0.3
144,4607010.428175926,0.05281562180063636,-9.316484097113168,0.0,-10.54951334423995,0.3
145,3722161.989967346,0.027684635993710172,-10.037018849435665,9.743265595342613,-10.395764995798665,0.3
146,3915703.651786804,0.033181501384670124,-6.611270348812161,3.984646087128872,-9.260416601702714,0.3
147,4300176.6064453125,0.04410109388147277,6.352850279472251,2.9600304543591536,-4.576436537350224,0.3
148,7418824.941955566,0.13267525378525888,-1.5733539575329274,2.9920410190226763,-3.6755117634050354,0.3
149,10588672.856689453,0.22270355639103664,-0.8305027747286383,3.550683391086029,-2.8220090668021163,0.3
150,17252564.335998535,0.4119677907546805,-1.628546368827564,4.7149036220256395,-2.4639702574097506,0.3
151,20996363.360229492,0.5182971417251279,-1.9266935067975235,2.9358905132157957,-2.3027872322260823,0.3
152,35684623.86376953,0.9354651563856073,-2.2242510773129758,2.9032344576441127,-2.27922638575215,0.3
153,55721656.213134766,1.0,-3.786944412735732,3.069843764397704,-2.731541793847225,0.3
154,99951005.55322266,1.0,-2.208116832081669,1.041489262591453,-2.574514305317558,0.3
155,176113554.0283203,1.0,-3.4402271231073165,4.246842190306706,-2.8342281506544857,0.3
156,272194480.96875,1.0,-5.188210069073426,4.591337258971112,-3.540422726180168,0.3
157,516808238.0097656,1.0,-2.5264436396638232,4.151988924414956,-3.2362290002252645,0.3
158,728585238.0585938,1.0,-2.918176342582029,3.7168003096502913,-3.1408132029322937,0.3
159,1280941971.609375,1.0,-2.2039105863766366,2.2435988714536412,-2.8597424179655966,0.3
160,2131005870.5703125,1.0,0.6295736678618055,2.8565152111294085,-1.812947592217376,0.3
161,3035006919.40625,1.0,-0.6568983599971879,3.8986645888740474,-1.4661328225513195,0.3
162,4332344245.5234375,1.0,0.5587596816757221,3.909910399215846,-0.858665071283207,0.3
163,5204067046.140625,1.0,-0.4437015696116069,3.91265928559244,-0.734176020781727,0.3
164,6635384790.234375,1.0,-0.5409783156268206,5.042686650084548,-0.676216709235255,0.3
