target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.02856740579239219,ModeA_points,ModeB_points,-0.11363636363636365,0.10241021383940732
T01,1359.8,1,0.07843906541447432,ModeA_points,ModeB_points,-0.050000000000000044,0.09578515122799267
T01,1359.8,2,0.10515980938415374,ModeA_points,ModeB_points,0.325,1.035381272181081
T01,1359.8,3,0.12429149635278947,ModeA_points,ModeB_points,-0.09999999999999998,1.320463061315813
T01,1359.8,4,0.13916901305263268,ModeA_points,ModeB_points,-0.25833333333333336,2.34319238468984
T01,1359.8,5,0.15052366605188,ModeA_points,ModeB_points,0.28125,5.2459940783739425
T01,1359.8,6,0.15903123329390342,ModeA_points,ModeB_points,-0.01785714285714285,12.03716108713311
T01,1359.8,7,0.5808853194327793,ModeA_points,ModeB_points,-0.15573770491803274,1.0030199336798316
T02,1359.47,0,0.007940820904474377,ModeA_points,ModeB_points,0.5,
T02,1359.47,1,0.03970340007685269,ModeA_points,ModeB_points,0.20833333333333331,
T02,1359.47,2,0.08142512747931963,ModeA_points,ModeB_points,0.3472222222222222,0.6743461086947247
T02,1359.47,3,0.10515980938415374,ModeA_points,ModeB_points,0.35,1.2023332485534899
T02,1359.47,4,0.12429149635278947,ModeA_points,ModeB_points,-0.39,3.1198359763307857
T02,1359.47,5,0.13916901305263268,ModeA_points,ModeB_points,-0.06666666666666665,1.8859348660154416
T02,1359.47,6,0.15052366605188,ModeA_points,ModeB_points,-0.0625,2.0631527206103026
T02,1359.47,7,0.5782071625459475,ModeA_points,ModeB_points,-0.017573696145124718,0.870754723725493
T03,1359.59,0,0.024270520016971782,ModeA_points,ModeB_points,0.19318181818181818,
T03,1359.59,1,0.07286155329274938,ModeA_points,ModeB_points,0.4144736842105263,0.549302918687475
T03,1359.59,2,0.10449188354485281,ModeA_points,ModeB_points,0.1590909090909091,
T03,1359.59,3,0.12428785300457175,ModeA_points,ModeB_points,-0.04807692307692307,
T03,1359.59,4,0.13916901305263268,ModeA_points,ModeB_points,0.008333333333333331,
T03,1359.59,5,0.15052366605188,ModeA_points,ModeB_points,0.15625,
T03,1359.59,6,0.15903123329390342,ModeA_points,ModeB_points,-0.23214285714285715,1.2290239639541471
T03,1359.59,7,0.5808853194327793,ModeA_points,ModeB_points,0.012295081967213128,1.2055263983410895
T04,1359.68,0,0.021992207811516912,ModeA_points,ModeB_points,0.0,
T04,1359.68,1,0.07144826296433338,ModeA_points,ModeB_points,0.0,
T04,1359.68,2,0.10449188354485281,ModeA_points,ModeB_points,0.03409090909090909,
