target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T10,1359.91,30.0,ModeA_points,0,0.0,0.018753198273131738,0.009376599136565869,8,1,0.125,0.9270308868358266,0.0,0.0
T10,1359.91,30.0,ModeB_points,0,0.0,0.018753198273131738,0.009376599136565869,9,0,0.0,,,0.0
T10,1359.91,30.0,ModeA_points,1,0.02195416985045082,0.08975723393690346,0.05585570189367714,17,1,0.058823529411764705,1.4905049016014391,0.0,0.0
T10,1359.91,30.0,ModeB_points,1,0.02195416985045082,0.08975723393690346,0.05585570189367714,8,2,0.25,0.13481954285904507,2.192950976747255,0.0
T10,1359.91,30.0,ModeA_points,2,0.09231208887500916,0.10148953939503402,0.09690081413502159,8,1,0.125,-0.2374766207872528,0.0,0.0
T10,1359.91,30.0,ModeB_points,2,0.09231208887500916,0.10148953939503402,0.09690081413502159,8,1,0.125,-0.20615195924089239,0.0,0.0
T10,1359.91,30.0,ModeA_points,3,0.10245239549485945,0.11692666445934849,0.10968952997710396,8,0,0.0,,,0.0
T10,1359.91,30.0,ModeB_points,3,0.10245239549485945,0.11692666445934849,0.10968952997710396,8,2,0.25,1.8102242954078007,1.0187104458578111,0.0
T10,1359.91,30.0,ModeA_points,4,0.11712097846963888,0.13649042807141726,0.12680570327052806,8,1,0.125,2.9838164989971316,0.0,0.0
T10,1359.91,30.0,ModeB_points,4,0.11712097846963888,0.13649042807141726,0.12680570327052806,31,4,0.12903225806451613,1.9581234916835664,0.5626686656038558,0.0
T10,1359.91,30.0,ModeA_points,5,0.1364910416520214,0.14625930619176128,0.14137517392189133,8,1,0.125,2.9449262854169733,0.0,0.0
T10,1359.91,30.0,ModeB_points,5,0.1364910416520214,0.14625930619176128,0.14137517392189133,28,2,0.07142857142857142,1.3859022640216199,1.4658459064834322,0.0
T10,1359.91,30.0,ModeA_points,6,0.14635301873484563,0.15820180894333458,0.1522774138390901,8,0,0.0,,,0.0
T10,1359.91,30.0,ModeB_points,6,0.14635301873484563,0.15820180894333458,0.1522774138390901,29,4,0.13793103448275862,1.8035359812298117,0.8016713226262412,0.0
T10,1359.91,30.0,ModeA_points,7,0.15887723277031496,1.0,0.5794386163851575,250,37,0.148,-0.7513359558674797,0.9547238545325262,0.0
T10,1359.91,30.0,ModeB_points,7,0.15887723277031496,1.0,0.5794386163851575,193,42,0.21761658031088082,-1.1497587091226888,1.424923038772733,0.0
