config_id,profile_scope,profile_form,L0_km,gamma_km_inv,mae_all_per_1M,mae_wide_per_1M,rmse_wide_per_1M,slot6_mae_per_1M,sign_rate,gamma_shift_mean_per_1M,dynamic_sensitive
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=1,by_channel,tilt_abs_quad,1.0,1.0,0.07666643286546582,0.11499964928704273,0.12950280298789263,2.231199253133198e-11,1.0,0.2051240066481576,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=1,by_channel,linear_abs_quad,1.0,1.0,0.08350032508029823,0.12525048760929136,0.1433468530692743,2.231199253133198e-11,1.0,0.15252850033006363,YES
scope=by_channel|form=abs_quad|L0=1|gamma=1,by_channel,abs_quad,1.0,1.0,0.08442568853110821,0.12663853278550632,0.13223324094041472,2.231199253133198e-11,1.0,0.1883597403857239,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=0,by_channel,linear_abs_quad,1.0,0.0,0.17025316672063204,0.2553797500697921,0.36048514876970195,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_quad|L0=1000|gamma=0.0001,by_channel,tilt_quad,1000.0,0.0001,0.19409290118791614,0.2911393517707182,0.410930359648001,2.231199253133198e-11,1.0,0.021551584747134207,YES
scope=by_channel|form=tilt_abs|L0=1000|gamma=0.001,by_channel,tilt_abs,1000.0,0.001,0.20130909933573535,0.301963648992447,0.42700959201853794,2.231199253133198e-11,1.0,0.019796717997935087,NO
scope=by_channel|form=tilt_quad|L0=1000|gamma=0.001,by_channel,tilt_quad,1000.0,0.001,0.20695298623243935,0.31042947933750303,0.42805117782938706,2.231199253133198e-11,1.0,0.00703198833144388,NO
scope=by_channel|form=tilt_abs|L0=1000|gamma=0.01,by_channel,tilt_abs,1000.0,0.01,0.21246703855900137,0.3187005578273461,0.4362477420323476,2.231199253133198e-11,1.0,0.0013931468560884435,NO
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=0,by_channel,tilt_abs_quad,0.001,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=0,by_channel,tilt_abs_quad,1.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs_quad|L0=1000|gamma=0,by_channel,tilt_abs_quad,1000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs_quad|L0=1e+06|gamma=0,by_channel,tilt_abs_quad,1000000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs|L0=0.001|gamma=0,by_channel,tilt_abs,0.001,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs|L0=1|gamma=0,by_channel,tilt_abs,1.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs|L0=1000|gamma=0,by_channel,tilt_abs,1000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=0,by_channel,tilt_abs,1000000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_quad|L0=0.001|gamma=0,by_channel,tilt_quad,0.001,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_quad|L0=1|gamma=0,by_channel,tilt_quad,1.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_quad|L0=1000|gamma=0,by_channel,tilt_quad,1000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_quad|L0=1e+06|gamma=0,by_channel,tilt_quad,1000000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=0,by_channel,linear_abs_quad,1000000.0,0.0,0.21254467124353782,0.31881700685415076,0.43573815708763525,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=linear_abs_quad|L0=1000|gamma=0,by_channel,linear_abs_quad,1000.0,0.0,0.21254553954883965,0.3188183093121035,0.4357397387561249,2.231199253133198e-11,1.0,0.0,NO
scope=by_channel|form=tilt_abs|L0=1000|gamma=0.1,by_channel,tilt_abs,1000.0,0.1,0.2132062036229152,0.3198093054232168,0.4370447089679836,2.231199253133198e-11,1.0,0.0006886264463714822,NO
scope=by_channel|form=tilt_abs|L0=1000|gamma=1,by_channel,tilt_abs,1000.0,1.0,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=1e-06,by_channel,tilt_abs,1000000.0,1e-06,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=0.0001,by_channel,tilt_abs,1000000.0,0.0001,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=0.001,by_channel,tilt_abs,1000000.0,0.001,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=0.01,by_channel,tilt_abs,1000000.0,0.01,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=0.1,by_channel,tilt_abs,1000000.0,0.1,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_abs|L0=1e+06|gamma=1,by_channel,tilt_abs,1000000.0,1.0,0.21321349921931354,0.31982024881781435,0.4370526814209469,2.231199253133198e-11,1.0,0.0007012418947517332,NO
scope=by_channel|form=tilt_quad|L0=1000|gamma=0.01,by_channel,tilt_quad,1000.0,0.01,0.21321643572059207,0.3198246535697321,0.43722747794058486,2.231199253133198e-11,1.0,0.0008718852020399323,NO
scope=by_channel|form=tilt_abs_quad|L0=1000|gamma=1,by_channel,tilt_abs_quad,1000.0,1.0,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=tilt_abs_quad|L0=1e+06|gamma=0.0001,by_channel,tilt_abs_quad,1000000.0,0.0001,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=tilt_abs_quad|L0=1e+06|gamma=0.001,by_channel,tilt_abs_quad,1000000.0,0.001,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=tilt_abs_quad|L0=1e+06|gamma=0.01,by_channel,tilt_abs_quad,1000000.0,0.01,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=tilt_abs_quad|L0=1e+06|gamma=0.1,by_channel,tilt_abs_quad,1000000.0,0.1,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=tilt_abs_quad|L0=1e+06|gamma=1,by_channel,tilt_abs_quad,1000000.0,1.0,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=0.0001,by_channel,linear_abs_quad,1000000.0,0.0001,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=0.001,by_channel,linear_abs_quad,1000000.0,0.001,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=0.01,by_channel,linear_abs_quad,1000000.0,0.01,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=0.1,by_channel,linear_abs_quad,1000000.0,0.1,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=1,by_channel,linear_abs_quad,1000000.0,1.0,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010106840918946856,NO
scope=by_channel|form=linear_abs_quad|L0=1000|gamma=1,by_channel,linear_abs_quad,1000.0,1.0,0.21350905695464867,0.320263585420817,0.4375643264396045,2.231199253133198e-11,1.0,0.0010097436446637419,NO
scope=by_channel|form=linear_abs_quad|L0=1e+06|gamma=1e-06,by_channel,linear_abs_quad,1000000.0,1e-06,0.21350905695776096,0.32026358542548544,0.4375643264414944,2.231199253133198e-11,1.0,0.0010106840950069615,NO
