run_id,label,window,slots,bitmask_hex,trials_valid,J_data,J_model,j_data_per_1M,j_model_per_1M,delta_J,delta_j_per_1M,sign_ok,provider,emp_N_pp_ab,emp_N_p0_abp,emp_N_0p_apb,emp_N_pp_apbp
01_11,real_run,slot6,6,0x20,337818518,122,122,0.361141,0.361141,0,0,YES,"DATA_RECON (plumbing only, NOT model)",2416,1101,1177,16
01_11,real_run,slots5-7,5-7,0x70,337818518,398,398,1.17815,1.17815,4.54747e-13,1.33227e-15,YES,"DATA_RECON (plumbing only, NOT model)",7248,3314,3473,63
01_11,real_run,slots4-8,4-8,0xf8,337818518,550,550,1.62809,1.62809,0,0,YES,"DATA_RECON (plumbing only, NOT model)",12082,5580,5836,116
02_54,real_run,slot6,6,0x20,203681460,8,8,0.039277,0.039277,0,0,YES,"DATA_RECON (plumbing only, NOT model)",1348,641,686,13
02_54,real_run,slots5-7,5-7,0x70,203681460,41,41,0.201295,0.201295,0,0,YES,"DATA_RECON (plumbing only, NOT model)",3983,1882,2022,38
02_54,real_run,slots4-8,4-8,0xf8,203681460,176,176,0.864094,0.864094,0,0,YES,"DATA_RECON (plumbing only, NOT model)",6653,3095,3312,70
03_31,training_stub,slot6,6,0x20,363,0,0,0,0,0,0,YES,"DATA_RECON (plumbing only, NOT model)",0,0,0,0
03_31,training_stub,slots5-7,5-7,0x70,363,0,0,0,0,0,0,YES,"DATA_RECON (plumbing only, NOT model)",0,0,0,0
03_31,training_stub,slots4-8,4-8,0xf8,363,0,0,0,0,0,0,YES,"DATA_RECON (plumbing only, NOT model)",0,0,0,0
03_43,real_run,slot6,6,0x20,107109594,13,13,0.121371,0.121371,0,0,YES,"DATA_RECON (plumbing only, NOT model)",783,370,391,9
03_43,real_run,slots5-7,5-7,0x70,107109594,49,49,0.457475,0.457475,0,0,YES,"DATA_RECON (plumbing only, NOT model)",2348,1082,1187,30
03_43,real_run,slots4-8,4-8,0xf8,107109594,151,151,1.40977,1.40977,2.27374e-13,2.22045e-15,YES,"DATA_RECON (plumbing only, NOT model)",3953,1801,1947,54
