run_id,label,window,slots,bitmask_hex,trials_valid,J_data,J_model,j_data_per_1M,j_model_per_1M,delta_J,delta_j_per_1M,sign_ok,provider,emp_N_pp_ab,emp_N_p0_abp,emp_N_0p_apb,emp_N_pp_apbp
01_11,real_run,slot6,6,0x20,337818518,122,122,0.361141,0.361141,1.35319e-08,4.00567e-11,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1.00986; beta_pair=-0.000834425),2416,1101,1177,16
01_11,real_run,slots5-7,5-7,0x70,337818518,398,398,1.17815,1.17815,6.43331e-09,1.90437e-11,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1.00986; beta_pair=-0.000834425),7248,3314,3473,63
01_11,real_run,slots4-8,4-8,0xf8,337818518,550,550,1.62809,1.62809,-1.2061e-09,-3.57026e-12,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1.00986; beta_pair=-0.000834425),12082,5580,5836,116
02_54,real_run,slot6,6,0x20,203681460,8,8,0.039277,0.039277,-6.78781e-10,-3.33256e-12,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=0.98749; beta_pair=0.00645129),1348,641,686,13
02_54,real_run,slots5-7,5-7,0x70,203681460,41,41,0.201295,0.201295,5.6599e-10,2.7788e-12,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=0.98749; beta_pair=0.00645129),3983,1882,2022,38
02_54,real_run,slots4-8,4-8,0xf8,203681460,176,176,0.864094,0.864094,-1.6548e-09,-8.1245e-12,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=0.98749; beta_pair=0.00645129),6653,3095,3312,70
03_31,training_stub,slot6,6,0x20,363,0,0,0,0,0,0,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1; beta_pair=0),0,0,0,0
03_31,training_stub,slots5-7,5-7,0x70,363,0,0,0,0,0,0,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1; beta_pair=0),0,0,0,0
03_31,training_stub,slots4-8,4-8,0xf8,363,0,0,0,0,0,0,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1; beta_pair=0),0,0,0,0
03_43,real_run,slot6,6,0x20,107109594,13,13,0.121371,0.121371,2.52207e-09,2.35467e-11,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1.01146; beta_pair=0.00964635),783,370,391,9
03_43,real_run,slots5-7,5-7,0x70,107109594,49,49,0.457475,0.457475,-3.22544e-10,-3.01137e-12,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1.01146; beta_pair=0.00964635),2348,1082,1187,30
03_43,real_run,slots4-8,4-8,0xf8,107109594,151,151,1.40977,1.40977,1.10862e-09,1.03502e-11,YES,PARAMMODEL v5.1 (calibrated bridge; direct CH channels; alpha_pair=1.01146; beta_pair=0.00964635),3953,1801,1947,54
