split,start_idx,end_idx,trials_valid,dropped_invalid,N_pp_ab,N_p0_abp,N_0p_apb,N_pp_apbp,J,J_per_1M_valid
0,0,20368146,20368146,0,632,305,321,9,-3,-0.14728881067525731
1,20368146,40736292,20368146,0,716,341,337,7,31,1.521984376977659
2,40736292,61104438,20368145,1,696,321,355,4,16,0.7855403621684743
3,61104438,81472584,20368146,0,703,312,327,3,61,2.9948724837302323
4,81472584,101840731,20368147,0,670,302,359,4,5,0.24548133907321074
5,101840731,122208877,20368145,1,675,307,333,10,25,1.2274068158882412
6,122208877,142577023,20368146,0,675,293,361,7,14,0.6873477831512008
7,142577023,162945169,20368146,0,651,317,294,9,31,1.521984376977659
8,162945169,183313315,20368146,0,631,301,304,6,20,0.9819254045017155
9,183313315,203681462,20368147,0,604,296,321,11,-24,-1.1783104275514116
