target_label,target_mz,compare,mean_abs_delta_p_success_occ,max_abs_delta_p_success_occ,mean_abs_delta_x_occ_mean
T01,1359.8,ModeB_holdout_points,0.004069458944567714,0.007514375771553006,0.04069458944567736
T01,1359.8,ModeB_points,0.004647944024504774,0.009189728669871444,0.04647944024504751
T02,1359.47,ModeB_holdout_points,0.006309555433166664,0.019116408934066187,0.06309555433166616
T02,1359.47,ModeB_points,0.0036181361741101925,0.01834091045473285,0.036181361741102334
T03,1359.59,ModeB_holdout_points,0.0025073378343593716,0.004960060799350963,0.025073378343593848
T03,1359.59,ModeB_points,0.0027821260615078225,0.005741083467899255,0.027821260615078065
T04,1359.68,ModeB_holdout_points,0.0040844524395808185,0.010612277558889716,0.040844524395808025
T04,1359.68,ModeB_points,0.002970812815003776,0.007902320641354876,0.029708128150037615
T05,816.22,ModeB_holdout_points,0.0004565431302004652,0.0009677274136771219,0.004565431302004569
T05,816.22,ModeB_points,0.001164737280399536,0.003937042599047813,0.01164737280399572
T06,874.45,ModeB_holdout_points,0.0017457826784586794,0.00524737913163098,0.017457826784586294
T06,874.45,ModeB_points,0.002933480408095393,0.005822468868859176,0.0293348040809545
T07,874.37,ModeB_holdout_points,0.001889196223469669,0.003903079913303964,0.0188919622346971
T07,874.37,ModeB_points,0.004034041915831316,0.008602760468326198,0.0403404191583135
T08,816.28,ModeB_holdout_points,0.0025079096409707513,0.008180855332534542,0.025079096409707465
T08,816.28,ModeB_points,0.003398461982650855,0.01588711431929346,0.03398461982650853
T09,816.15,ModeB_holdout_points,0.004042681566761713,0.0094346132363331,0.040426815667617466
T09,816.15,ModeB_points,0.0018419615760450758,0.002923642158466744,0.01841961576045096
T10,1359.91,ModeB_holdout_points,0.003369882549364253,0.011636242018007836,0.03369882549364303
T10,1359.91,ModeB_points,0.002522511708914557,0.008182808477248726,0.025225117089145613
T11,1529.53,ModeB_holdout_points,0.0032958490653019895,0.010884373008381742,0.03295849065301941
T11,1529.53,ModeB_points,0.003412944811149718,0.008218434899699423,0.03412944811149666
T12,816.35,ModeB_holdout_points,0.002494796814947367,0.007402093782416075,0.024947968149472866
T12,816.35,ModeB_points,0.004101426690446053,0.017887899021160836,0.04101426690446
