setting,target_id,target_mz,I_core,I_shoulder,I_outer,local_total,x_occ,rho,gate_occ_factor
ModeA_points,T01,1359.800000000000,831101571.409358978271,1760199638.211265563965,1607314887.376972198486,4198616096.997596740723,0.197946550056,0.100000000000,0.980205344994
ModeA_points,T02,1359.470000000000,893183716.487075805664,1582719636.073398590088,1574505722.487018585205,4050409075.047492980957,0.220516915684,0.100000000000,0.977948308432
ModeA_points,T03,1359.590000000000,916822656.477020263672,1862435290.592166900635,1643152104.153865814209,4422410051.223052978516,0.207312900852,0.100000000000,0.979268709915
ModeA_points,T04,1359.680000000000,993983642.426605224609,1731811206.718936920166,1786728498.418590545654,4512523347.564132690430,0.220272243680,0.100000000000,0.977972775632
ModeA_points,T05,816.220000000000,868873302.996560096741,2812279758.625589370728,1749068044.105171203613,5430221105.727320671082,0.160006984261,0.100000000000,0.983999301574
ModeA_points,T06,874.450000000000,758277247.318622589111,2381281837.663239479065,2151139779.600997924805,5290698864.582859992981,0.143322700219,0.100000000000,0.985667729978
ModeA_points,T07,874.370000000000,806409514.653705596924,2210655192.935505867004,2025169573.584274291992,5042234281.173485755920,0.159930988860,0.100000000000,0.984006901114
ModeA_points,T08,816.280000000000,860842917.150669574738,2750051491.140091419220,1731118170.600130081177,5342012578.890891075134,0.161145804964,0.100000000000,0.983885419504
ModeA_points,T09,816.150000000000,765436956.328833103180,2658406186.750938892365,1868007808.386940002441,5291850951.466711997986,0.144644466246,0.100000000000,0.985535553375
ModeA_points,T10,1359.910000000000,780149289.236190795898,1417665298.351200103760,1495383959.909698486328,3693198547.497089385986,0.211239466063,0.100000000000,0.978876053394
ModeA_points,T11,1529.530000000000,774574751.435831069946,1402818317.326169013977,1633278597.017555236816,3810671665.779555320740,0.203264626127,0.100000000000,0.979673537387
ModeA_points,T12,816.350000000000,748935027.341983795166,2511384366.987148761749,1796516160.653185367584,5056835554.982317924500,0.148103496584,0.100000000000,0.985189650342
ModeB_points,T01,1359.800000000000,1067577614.231536865234,1938144546.269821166992,1969441161.528942108154,4975163322.030300140381,0.214581420776,0.100000000000,0.978541857922
ModeB_points,T02,1359.470000000000,961043402.501350402832,1895167715.284690856934,1662750614.718036651611,4518961732.504077911377,0.212669072984,0.100000000000,0.978733092702
ModeB_points,T03,1359.590000000000,1149551267.639389038086,1974744104.047245025635,1964442553.295314788818,5088737924.981948852539,0.225901055347,0.100000000000,0.977409894465
ModeB_points,T04,1359.680000000000,1031327319.476215362549,2193868794.005310058594,2034724506.856098175049,5259920620.337623596191,0.196072791572,0.100000000000,0.980392720843
ModeB_points,T05,816.220000000000,1058687202.240971803665,3500135588.893161296844,2249837654.287685871124,6808660445.421819686890,0.155491261567,0.100000000000,0.984450873843
ModeB_points,T06,874.450000000000,1044819455.733323574066,2879703166.218316078186,2394931726.669803619385,6319454348.621442794800,0.165333808600,0.100000000000,0.983466619140
ModeB_points,T07,874.370000000000,946509323.043487548828,2818270080.802346706390,2246196639.120553016663,6010976042.966386795044,0.157463499485,0.100000000000,0.984253650052
ModeB_points,T08,816.280000000000,1010722194.511682271957,3445281501.036734580994,2444943098.413528919220,6900946793.961946487427,0.146461380545,0.100000000000,0.985353861945
ModeB_points,T09,816.150000000000,1042023290.696826457977,3229312434.294435024261,2094028043.351577281952,6365363768.342838287354,0.163702080293,0.100000000000,0.983629791971
ModeB_points,T10,1359.910000000000,930405076.767391204834,1757517838.387111663818,1623839286.893533706665,4311762202.048036575317,0.215783021690,0.100000000000,0.978421697831
ModeB_points,T11,1529.530000000000,968020256.609100341797,1583966049.703733682632,1929620335.619907379150,4481606641.932741165161,0.215998487585,0.100000000000,0.978400151241
ModeB_points,T12,816.350000000000,912781317.285357952118,3173879962.204660892487,2469160322.336276531219,6555821601.826295852661,0.139232177555,0.100000000000,0.986076782244
ModeB_holdout_points,T01,1359.800000000000,1192329158.847045898438,2102342513.338747501373,1922892554.741041183472,5217564226.926834106445,0.228522181422,0.100000000000,0.977147781858
ModeB_holdout_points,T02,1359.470000000000,908654637.677591323853,1825527010.564729690552,1772194066.586373329163,4506375714.828694343567,0.201637567566,0.100000000000,0.979836243243
ModeB_holdout_points,T03,1359.590000000000,1071481362.533924102783,2061717435.602817535400,2097819734.198596477509,5231018532.335338592529,0.204832262763,0.100000000000,0.979516773724
ModeB_holdout_points,T04,1359.680000000000,1172275693.813270568848,2213802117.877193450928,2028125312.333425998688,5414203124.023889541626,0.216518602454,0.100000000000,0.978348139755
ModeB_holdout_points,T05,816.220000000000,1302165983.183222770691,3923510790.287487030029,2533808517.309886932373,7759485290.780596733093,0.167816025727,0.100000000000,0.983218397427
ModeB_holdout_points,T06,874.450000000000,1184461816.422771453857,3521060665.482490539551,2822951964.788501739502,7528474446.693763732910,0.157330920734,0.100000000000,0.984266907927
ModeB_holdout_points,T07,874.370000000000,1138181438.384769439697,3324580145.428409576416,2645508982.140213012695,7108270565.953392028809,0.160120725263,0.100000000000,0.983987927474
ModeB_holdout_points,T08,816.280000000000,1117367860.679848432541,3978662623.905951023102,2739347746.415451049805,7835378231.001250267029,0.142605478349,0.100000000000,0.985739452165
ModeB_holdout_points,T09,816.150000000000,1130893898.790052652359,3755670951.083523273468,2502306006.567737579346,7388870856.441313743591,0.153053683135,0.100000000000,0.984694631686
ModeB_holdout_points,T10,1359.910000000000,949842394.631590366364,1912672286.167736053467,1843851675.941738128662,4706366356.741064071655,0.201820751432,0.100000000000,0.979817924857
ModeB_holdout_points,T11,1529.530000000000,1196906918.471016883850,1937807536.509112596512,2255215932.856512069702,5389930387.836641311646,0.222063520741,0.100000000000,0.977793647926
ModeB_holdout_points,T12,816.350000000000,1071646674.155200958252,3607919993.778969287872,2806048328.256079196930,7485614996.190248489380,0.143160805719,0.100000000000,0.985683919428
